# Video: P02-20240211-111219
# Narrations: 161
# Format: narration_id | timestamp | narration
#===========================================================

P02-20240211-111219-1 | 3.94s | place dirty bowl and spoon next to the sink in the washing up pile.
P02-20240211-111219-28 | 41.34s | Transfer this stack of large mixing bowl, colanders, and poached egg holders to the left hand from the right hand.
P02-20240211-111219-29 | 42.49s | Pick up the colanders and the poached egg holders using the right hand, lifting them out of the large mixing bowl.
P02-20240211-111219-30 | 43.73s | place the stack of colanders and poached egg holders back  into the cupboard on the top shelf using the right hand
P02-20240211-111219-31 | 45.54s | Close the cupboard door using the right hand.
P02-20240211-111219-32 | 45.95s | Realise there is some old food or dirt on the bottom of the bowl.
P02-20240211-111219-33 | 46.59s | Try to scratch away the food or dirt to see if it's on the bottom of the bowl or inside the bowl using the right hand.
P02-20240211-111219-34 | 47.66s | realize that the food or dirt is on the inside of the bowl.
P02-20240211-111219-35 | 49.74s | Grab the roll of kitchen roll.
P02-20240211-111219-36 | 52.42s | Grab the kitchen roll holder using the right hand.
P02-20240211-111219-37 | 52.52s | pull off one roll of kitchen roll using the left hand whilst holding the kitchen roll holder in the right hand
P02-20240211-111219-38 | 53.82s | place the kitchen roll holder back down on the countertop next to the microwave
P02-20240211-111219-39 | 55.22s | clean the bottom of the bowl using the kitchen roll in the right hand whilst holding the bowl down on the left hand
P02-20240211-111219-40 | 57.51s | Flip the bowl over using both hands.
P02-20240211-111219-41 | 58.00s | Wipe the inside of the bowl using the kitchen roll and a finger to see if it's dirty.
P02-20240211-111219-42 | 61.04s | check the kitchen roll in the right hand and realize that the mixing bowl will need to be washed before using
P02-20240211-111219-43 | 61.76s | Wipe around the inside of the bowl to remove any oil or food from it to make it easier to clean using the kitchen roll in the right hand.
P02-20240211-111219-44 | 67.82s | Lift up the bin lid using the right hand.
P02-20240211-111219-45 | 68.29s | Place the kitchen roll into the bin.
P02-20240211-111219-46 | 69.19s | Transfer the large mixing bowl from the left hand to the right hand.
P02-20240211-111219-47 | 70.16s | Place the large mixing bowl on the windowsill above the sink.
P02-20240211-111219-48 | 71.23s | Grab hold and lift up the washing up bowl in the sink to empty its contents so that clean water can be put into it.
P02-20240211-111219-51 | 72.68s | Move the tap away even further to the corner of the sink so that the washing up bowl can be placed back inside the sink, but won't be filled until the water is running hot enough.
P02-20240211-111219-49 | 72.74s | move the tap out of the way using the left hand
P02-20240211-111219-50 | 73.29s | turn on the hot water tap using the left hand
P02-20240211-111219-52 | 75.10s | place the washing up bowl back into the sink on the right hand side so that it doesn't get filled by the water
P02-20240211-111219-53 | 75.77s | pick up the washing up liquid bottle using the left hand
P02-20240211-111219-54 | 76.63s | Transfer the washing up liquid bottle from the left hand to the right hand.
P02-20240211-111219-55 | 77.20s | squeeze washing up liquid from the washing up liquid bottle into the washing up bowl
P02-20240211-111219-56 | 78.43s | Transfer the washing up liquid bottle from the right hand to the left hand.
P02-20240211-111219-57 | 79.18s | place the washing up liquid bottle down under the side of the sink
P02-20240211-111219-58 | 82.76s | dry hands on the towel drying on the radiator
P02-20240211-111219-59 | 88.23s | Check the temperature of the water from the tap to see if it's hot enough with the right hand.
P02-20240211-111219-60 | 90.65s | Push the tap into the centre of the sink using the left hand to fill up the washing up bowl. Push the washing up bowl into the centre of the sink also using the right hand.
P02-20240211-111219-61 | 92.01s | Pick up the sponge using the right hand.
P02-20240211-111219-62 | 92.72s | Submerge the sponge into the water and stir the water in the washing up bowl, using the sponge to create up the bubbles used for washing.
P02-20240211-111219-63 | 94.00s | pick up the large mixing bowl from the windowsill using the left hand.
P02-20240211-111219-64 | 94.74s | Wash the inside of the large mixing bowl using the sponge in the right hand whilst holding the large mixing bowl in the left hand.
P02-20240211-111219-65 | 100.16s | drop the sponge into the center of the large mixing bowl using the right hand to free it up
P02-20240211-111219-66 | 100.63s | turn off the hot water tap using the right hand as the bowl has filled enough for the small amount of washing up that is needed
P02-20240211-111219-67 | 101.64s | Grab hold of the sponge using the right hand and continue to clean the inside of the large mixing bowl.
P02-20240211-111219-68 | 102.95s | Tip out the water at the bottom of the large mixing bowl into the washing up bowl using the left hand.
P02-20240211-111219-69 | 103.45s | Squeeze out the sponge into the washing up bowl to remove any excess water from it using the right hand.
P02-20240211-111219-71 | 104.00s | turn on the cold water tap to swill around the inside of the large mixing bowl to make sure that the recipe isn't polluted by the washing up liquid inside
P02-20240211-111219-70 | 104.02s | drop the sponge into the washing up bowl to free it up
P02-20240211-111219-72 | 106.14s | Rotate the large mixing bowl as it is filling up to make sure that all of it has been rinsed through with the cold water.
P02-20240211-111219-73 | 109.41s | Tip the remaining cold water in the large mixing bowl into the washing up bowl using both hands.
P02-20240211-111219-74 | 111.03s | Turn off the cold water tap using the right hand.
P02-20240211-111219-75 | 112.47s | shake off the right hand into the sink to remove any excess water from it.
P02-20240211-111219-76 | 113.03s | Transfer the large mixing bowl from the left hand to the right hand.
P02-20240211-111219-77 | 113.75s | Shake the large mixing bowl to remove any water from the inside of it.
P02-20240211-111219-78 | 114.14s | Remove some bubbles and washing up liquid from the top part of the bowl using the left hand whilst holding the large mixing bowl in the right hand.
P02-20240211-111219-79 | 114.87s | shake off the left hand into the sink to remove the excess water from it.
P02-20240211-111219-80 | 115.43s | shake the large mixing bowl into the sink to remove the water from it
P02-20240211-111219-81 | 115.44s | Transfer the large mixing bowl from the right hand to the left hand.
P02-20240211-111219-82 | 117.79s | Place the large mixing bowl down onto the countertop using the left hand.
P02-20240211-111219-83 | 119.00s | Pick up the tea towel from the radiator using the left hand to dry the mixing bowl thoroughly.
P02-20240211-111219-84 | 119.63s | Pass the Tea towel from the left hand to the right hand.
P02-20240211-111219-85 | 120.33s | pick up the large mixing bowl using the left hand.
P02-20240211-111219-86 | 120.74s | Dry the inside of the large mixing bowl using the tea towel in the right hand whilst holding the large mixing bowl in the left hand.
P02-20240211-111219-87 | 124.35s | Flip over the large mixing bowl using the right hand, placing it into the left hand so that the back side of the mixing bowl can be dried.
P02-20240211-111219-88 | 124.79s | Dry the backside of the large mixing bowl, paying close attention to the inside rim of the large mixing bowl, using the tea towel in the right hand whilst holding the large mixing bowl in the left hand.
P02-20240211-111219-89 | 128.59s | Place the large mixing bowl onto the countertop using the left hand as it is now dry.
P02-20240211-111219-90 | 128.93s | place the kitchen towel down onto the countertop next to the large mixing bowl
P02-20240211-111219-91 | 130.60s | Open the kitchen cupboard above the kettle using the left hand.
P02-20240211-111219-92 | 131.90s | Grab the container of sugar from the kitchen cupboard using the left hand.
P02-20240211-111219-93 | 133.99s | Close the kitchen cupboard using the right hand.
P02-20240211-111219-94 | 136.24s | Place the container of sugar down onto the countertop using the left hand.
P02-20240211-111219-95 | 138.15s | Pick up the large mixing bowl in the right hand.
P02-20240211-111219-96 | 138.49s | Transfer the large mixing bowl from the right hand to the left hand.
P02-20240211-111219-97 | 138.87s | Pick up the tea towel in the right hand.
P02-20240211-111219-98 | 139.44s | dry the inside of the large mixing bowl using the right hand holding the tea towel whilst holding the large mixing bowl in the left hand this is important because the large mixing bowl needs to be fully dry so that the sugar doesn't get stuck to it
P02-20240211-111219-99 | 147.60s | Place the large mixing bowl down onto the countertop using the left hand.
P02-20240211-111219-100 | 148.38s | place the tea towel down on the countertop using the right hand
P02-20240211-111219-101 | 148.86s | Pick up the recipe book using the right hand and flipping it over so that the recipe can be seen.
P02-20240211-111219-102 | 149.72s | hold the recipe book open on the raspberry and lemon curd page and read through the recipe to check what needs to be done, what ingredients need to be taken out, and what utensils and other equipment need to be taken for the recipe.
P02-20240211-111219-103 | 184.60s | Holding the spine of the book in the right hand, bend back the book in the left hand to allow it to lie flat onto the countertop.
P02-20240211-111219-104 | 185.53s | Lie the book flat onto the countertop, using the right hand and the left hand.
P02-20240211-111219-105 | 186.40s | check to see that the book will lie flat
P02-20240211-111219-106 | 188.41s | pick up the recipe book as it looks like it will close itself using both hands holding either side of the spine
P02-20240211-111219-107 | 189.13s | Bend back the spine using both hands to make sure that the recipe book will lie flat onto the countertop.
P02-20240211-111219-108 | 190.43s | Place the recipe book back down onto the countertop using both hands.
P02-20240211-111219-109 | 193.23s | Pick up the bowl with the spoon and fill it with water to soak using both hands.
P02-20240211-111219-110 | 193.54s | Transfer the bowl from both hands into the right hand only.
P02-20240211-111219-111 | 194.00s | move the washing up bowl in the sink to the side using the left hand so that the water in the bowl in the right hand can be poured down the sink without it going into the washing up bowl
P02-20240211-111219-112 | 194.71s | lift up the washing up bowl on the right hand side of it so that it can overlap onto the sink using the left hand
P02-20240211-111219-113 | 195.95s | Pour down the contents of the bowl using the right hand, holding the spoon to make sure it doesn't fall, and pouring it so that it doesn't go into the washing up bowl.
P02-20240211-111219-114 | 197.43s | Transfer the bowl and spoon into the left hand.
P02-20240211-111219-115 | 198.37s | Grab the sponge in the washing up bowl using the right hand.
P02-20240211-111219-116 | 198.90s | Tip out the spoon in the bowl to soak at the bottom of the washing up bowl.
P02-20240211-111219-117 | 200.06s | wash the inside of the bowl using the sponge in the right hand holding the bowl in the left hand
P02-20240211-111219-118 | 202.92s | Rotate the bowl over using both hands and then holding it in the left hand.
P02-20240211-111219-119 | 203.89s | Wash the outside of the bowl using the sponge in the right hand, holding the bowl in the left hand.
P02-20240211-111219-120 | 206.78s | Rotate the bowl over using both hands.
P02-20240211-111219-121 | 207.14s | Wash the inside of the bowl once more using the sponge in the right hand to make sure that there's no food in it.
P02-20240211-111219-122 | 208.89s | squeeze out the sponge into the washing up bowl using the right hand to remove any excess water from it
P02-20240211-111219-123 | 210.10s | Place the sponge onto the side of the sink to free up the right hand.
P02-20240211-111219-124 | 210.42s | shake off the excess water from the right hand into the washing up bowl.
P02-20240211-111219-125 | 211.42s | Pick up the measuring jug from the drying portion of the sink using the right hand to make space for the bowl.
P02-20240211-111219-126 | 212.20s | Place the measuring jug next to the citrus juicer onto the countertop using the right hand.
P02-20240211-111219-127 | 213.10s | Grab the bowl with the right hand and rotate it upside down, tipping out any water from it into the washing up bowl.
P02-20240211-111219-128 | 214.43s | Check the inside of the bowl by flipping it over to make sure that there's no water in the bottom.
P02-20240211-111219-129 | 215.23s | place the bowl upside down by flipping it onto the drying portion of the sink
P02-20240211-111219-130 | 216.24s | Pick up the bowl next to the sink in the left hand and the sponge next to the sink in the right hand.
P02-20240211-111219-131 | 217.67s | Submerge the bowl into the water and clean the inside of the bowl using the sponge in the right hand, paying close attention to get rid of any food that has been stuck onto the bowl.
P02-20240211-111219-132 | 221.75s | Rotate the bowl over using both hands so that the backside can be cleaned.
P02-20240211-111219-133 | 222.67s | Wash the backside of the bowl using the sponge in the right hand holding the bowl in the left hand.
P02-20240211-111219-134 | 225.33s | rotate the bowl over to clean the inside once more
P02-20240211-111219-135 | 225.74s | Wash and clean the inside of the bowl, again paying attention to make sure that no food that was stuck on to the bowl is still present.
P02-20240211-111219-136 | 226.93s | Let go of the sponge so that it rests in the bowl, using the right hand.
P02-20240211-111219-137 | 227.86s | let go of the sponge in the right hand into the bowl
P02-20240211-111219-138 | 231.28s | Submerge both the sponge and the bowl using both hands so that the bowl which has some food stuck onto it may soak a bit.
P02-20240211-111219-139 | 231.99s | Scrub hard the inside of the bowl to remove the stuck food from it, using the sponge in the right hand, holding the bowl down under the water in the left hand.
P02-20240211-111219-140 | 236.37s | Lift up the bowl from the water and tip out the water inside.
P02-20240211-111219-141 | 237.28s | Squeeze the sponge in the right hand to remove any excess water from it.
P02-20240211-111219-142 | 238.41s | Wipe around the inside of the bowl once more using the sponge in the right hand.
P02-20240211-111219-143 | 239.02s | rinse the sponge in the water using the right hand
P02-20240211-111219-144 | 239.82s | Wipe down the inside of the bowl using a sponge in the right hand.
P02-20240211-111219-145 | 240.69s | Turn the bowl over using both hands to clean the back.
P02-20240211-111219-146 | 241.51s | Wipe around the outside portion of the bowl using the sponge in the right hand.
P02-20240211-111219-147 | 244.91s | Squeeze the sponge in the right hand.
P02-20240211-111219-148 | 245.90s | Shake the sponge in the right hand to remove any excess water from it.
P02-20240211-111219-149 | 246.65s | Place the sponge down on the right hand side of the sink on the draining portion.
P02-20240211-111219-150 | 247.03s | Transfer the bowl from the left hand to the right hand.
P02-20240211-111219-151 | 248.59s | Place the bowl where there is space on the draining portion of the sink using the right hand.
P02-20240211-111219-152 | 249.43s | reach in and search through the water for the spoon that is at the bottom of the washing up bowl
P02-20240211-111219-153 | 250.36s | Grab the spoon from the bottom of the washing-up bowl using the left hand.
P02-20240211-111219-154 | 250.52s | pick up the sponge from the side of the sink using the right hand.
P02-20240211-111219-155 | 251.24s | Clean and wipe down the spoon using the sponge in the right hand whilst holding the spoon in the left hand.
P02-20240211-111219-156 | 253.89s | Place the spoon in the utensils portion of the drying rack using the left hand.
P02-20240211-111219-157 | 254.78s | Place the sponge at the top side of the sink using the right hand.
P02-20240211-111219-158 | 255.45s | Lift up and pour out the washing up bowl using the left hand as the water inside is no longer needed.
P02-20240211-111219-159 | 258.17s | Place the washing up bowl back into the centre of the sink, using both hands.
P02-20240211-111219-160 | 258.72s | Shake off both hands into the washing up bowl in the sink to dry them.
P02-20240211-111219-161 | 261.56s | Dry the hands fully using the towel on top of the radiator.
