# Video: P02-20240210-122334
# Narrations: 312
# Format: narration_id | timestamp | narration
#===========================================================

P02-20240210-122334-27 | 56.44s | Move the tap into the center of the sink so that it can fill up the washing up bowl with ease.
P02-20240210-122334-28 | 57.07s | Rinse off the right hand under the flowing water.
P02-20240210-122334-29 | 57.75s | Shake off excess water from both hands into the washing up bowl.
P02-20240210-122334-30 | 59.45s | pick up the knife and fork from the plate to place into the bowl to soak
P02-20240210-122334-31 | 59.92s | Transfer the knife and fork from the left hand to the right hand as the right hand is closest to the sink.
P02-20240210-122334-32 | 60.70s | Place the knife and fork into the bottom of the washing up bowl to soak.
P02-20240210-122334-33 | 61.76s | Pick up the fork from the measuring jug that was used to beat the eggs.
P02-20240210-122334-34 | 62.12s | transfer the fork from the left hand to the right hand
P02-20240210-122334-35 | 62.46s | place the fork into the washing up bowl to soak.
P02-20240210-122334-36 | 63.10s | Pick up the frying pan full of dirty water with the left hand from the hob.
P02-20240210-122334-37 | 65.04s | Lift up the washing up bowl to the right hand side of the sink using the right hand so that the liquid from the frying pan, which is dirty, can be poured down the side of the sink and not into the bowl of fresh water.
P02-20240210-122334-38 | 67.48s | Pour the dirty water from the frying pan straight down into the sink.
P02-20240210-122334-39 | 70.62s | place the washing up bowl back down into the sink
P02-20240210-122334-40 | 71.19s | Fill up a small amount of hot water into the frying pan to loosen any excess grease or food from the bottom of the frying pan.
P02-20240210-122334-41 | 71.96s | Lift up the washing up bowl out of the sink again with the right hand to give space to pour down the liquid from the frying pan.
P02-20240210-122334-42 | 73.29s | Pour the water from the frying pan down the sink.
P02-20240210-122334-43 | 76.20s | Place the frying pan back down onto the hob which will be cleaned later.
P02-20240210-122334-44 | 77.98s | Place the washing up bowl back down into the sink using both hands to steady it as it's getting quite heavy with the water.
P02-20240210-122334-45 | 79.58s | Shake off the water from both hands into the washing up bowl.
P02-20240210-122334-46 | 80.89s | increase the flow of water from the hot water tap using the left hand
P02-20240210-122334-47 | 82.05s | pick up the cutting board that is now dry on the drying rack with the right hand to place it away.
P02-20240210-122334-48 | 83.26s | Open the cupboards.
P02-20240210-122334-49 | 84.40s | place the cutting board to the back right hand side of the cupboard out of the way
P02-20240210-122334-51 | 87.00s | Pick up the lid of the Tupperware box using the left hand.
P02-20240210-122334-50 | 87.11s | Pick up the Tupperware box using the right hand.
P02-20240210-122334-52 | 88.25s | Stack the lid and the Tupperware box together into the left hand.
P02-20240210-122334-53 | 89.43s | Turn off the hot water tap using the right hand as the bowl is filled up sufficiently for cleaning.
P02-20240210-122334-54 | 90.31s | Transfer the Tupperware lid and the Tupperware box into the right hand to free up the left hand to open the cupboard.
P02-20240210-122334-55 | 91.09s | Open the cupboard door using the left hand.
P02-20240210-122334-56 | 92.06s | Pick up the Tupperware box using the left hand to stack in the other Tupperware box.
P02-20240210-122334-57 | 92.83s | Stack the Tupperware box into the other Tupperware box on the shelf.
P02-20240210-122334-58 | 93.53s | Place the lid on top of both Tupperware boxes upside down so it doesn't leave an airtight seal.
P02-20240210-122334-59 | 95.12s | Push down the Tupperware box to make room for the lid.
P02-20240210-122334-60 | 95.62s | close the cupboard door
P02-20240210-122334-61 | 96.83s | Pick up both the larger plate and the smaller plate using the left and right hand respectively.
P02-20240210-122334-62 | 98.26s | Open the cupboard door with the left hand.
P02-20240210-122334-63 | 99.05s | Place the smaller plate on the stack of saucers using the right hand.
P02-20240210-122334-64 | 99.66s | Lift up the Tupperware lid from the stack of larger plates using the right hand to free up the space.
P02-20240210-122334-65 | 100.94s | Place the larger plate onto the other stack of plates.
P02-20240210-122334-66 | 101.53s | Place the Tupperware lid back onto the stack of plates.
P02-20240210-122334-67 | 102.17s | Close the cupboard door using the left hand.
P02-20240210-122334-68 | 102.54s | Roll up both sleeves using the left and right hands respectively on the right and left arms.
P02-20240210-122334-69 | 104.04s | Pick up the paring knife in the right hand.
P02-20240210-122334-70 | 104.58s | Place the paring knife into the left hand from the right hand so that the right hand can pick up more cutlery.
P02-20240210-122334-71 | 105.00s | pick up the chef's knife from the drying rack using the right hand
P02-20240210-122334-72 | 105.45s | Transfer the chef's knife from the right hand to the left hand to free up the right hand to pick up more cutlery.
P02-20240210-122334-73 | 105.84s | Pick up the small serrated knife using the right hand.
P02-20240210-122334-74 | 106.86s | Transfer the small serrated knife from the right hand to the left hand.
P02-20240210-122334-75 | 107.61s | Open the cutlery drawer using the right hand.
P02-20240210-122334-76 | 108.41s | Place the small serrated knife into the cutlery drawer.
P02-20240210-122334-77 | 109.08s | Place the paring knife into the cutlery drawer using the right hand.
P02-20240210-122334-78 | 109.85s | Place the chef's knife into the cutlery drawer with a larger component with the right hand.
P02-20240210-122334-79 | 111.81s | Pick up a butter knife and a normal knife using the right hand.
P02-20240210-122334-80 | 112.92s | Place the normal knife into the left hand whilst grabbing hold of the butter knife with the right hand.
P02-20240210-122334-81 | 114.03s | Hang the butter knife back onto the cutlery stack using the right hand
P02-20240210-122334-82 | 115.03s | Pick up the table spoon using the right hand.
P02-20240210-122334-83 | 116.39s | Place the tablespoon into the left hand to grab more cutlery.
P02-20240210-122334-84 | 116.96s | Pick up the teaspoon from the drying rack using the right hand.
P02-20240210-122334-85 | 119.05s | Place the teaspoon into the teaspoon slot of the cutlery using the right hand.
P02-20240210-122334-86 | 119.70s | Place the normal knife into the cutlery drawer.
P02-20240210-122334-87 | 120.04s | place the spoon into the cutlery drawer
P02-20240210-122334-88 | 120.71s | place the fork into the cutlery drawer
P02-20240210-122334-89 | 122.04s | Pick up the large spoon from the drying rack using the right hand.
P02-20240210-122334-90 | 124.19s | open the kitchen utensils drawer using the right hand
P02-20240210-122334-91 | 124.93s | Place the large spoon into the utensils drawer.
P02-20240210-122334-92 | 125.46s | Close the utensils drawer using the left hand.
P02-20240210-122334-93 | 126.66s | Pick up the bowl from the sink using both hands.
P02-20240210-122334-94 | 127.64s | pick up the other bowl from the sink using both hands.
P02-20240210-122334-95 | 129.06s | Stack the bowls together.
P02-20240210-122334-96 | 130.10s | Open the cupboard to place in the bowls using the left hand.
P02-20240210-122334-97 | 131.30s | Try to put the bowls onto the shelf but realise there is not enough room.
P02-20240210-122334-98 | 133.05s | Lift up the top bowl from the stack, using the right hand whilst holding the other bowl in the left hand.
P02-20240210-122334-99 | 134.18s | Place the bowl into the stack deep within the cupboard past the closest stack of bowls.
P02-20240210-122334-101 | 136.17s | Place the bowl into the closest stack on the shelf.
P02-20240210-122334-100 | 136.18s | Transfer the bowl from the left hand to the right hand.
P02-20240210-122334-102 | 137.98s | close the cupboard door with the left hand
P02-20240210-122334-103 | 139.64s | Pick up the spatula using the left hand from the countertop to begin washing up.
P02-20240210-122334-104 | 140.41s | Place the spatula into the liquid and realise that there is no sponge to wash up with.
P02-20240210-122334-105 | 141.78s | Close the cupboard door with the left hand whilst opening the drawer with the right hand where the sponges are contained.
P02-20240210-122334-106 | 143.33s | pick up the bag of sponges using the right hand
P02-20240210-122334-107 | 144.66s | Separate the sponges within the bag using both hands to grasp them.
P02-20240210-122334-108 | 147.48s | pull out one of the sponges from the bag using the left hand inside the bag.
P02-20240210-122334-109 | 149.80s | Place the bag of sponges back inside the drawer.
P02-20240210-122334-110 | 150.34s | close the drawer
P02-20240210-122334-111 | 151.00s | Transfer the sponge from the left hand to the right hand.
P02-20240210-122334-112 | 151.60s | Wet the sponge in the soapy water with the right hand.
P02-20240210-122334-113 | 152.79s | move the tap out of the way for the washing up
P02-20240210-122334-114 | 153.50s | Clean the spatula using a sponge in the right hand whilst holding it in the left hand, going over all parts of the spatula using the sponge.
P02-20240210-122334-115 | 162.06s | place the spatula in the drying up rack within the cutlery portion
P02-20240210-122334-116 | 162.65s | Place the sponge onto the sink.
P02-20240210-122334-117 | 162.90s | shake off excess water on the left hand
P02-20240210-122334-118 | 163.36s | shake off excess water in the right hand
P02-20240210-122334-119 | 165.50s | Look around the kitchen for other things that need to be washed up.
P02-20240210-122334-120 | 167.34s | pick up the baguette using the left hand.
P02-20240210-122334-121 | 169.00s | Unfold the top of the bag from the baguette using the right hand.
P02-20240210-122334-122 | 170.04s | slide down the bag of the baguette to reveal the baguette inside using both hands.
P02-20240210-122334-123 | 175.74s | Pick up the bread knife from the countertop using the right hand.
P02-20240210-122334-124 | 176.24s | Place the baguette onto the plate using the left hand.
P02-20240210-122334-125 | 176.86s | Try and find the halfway point of the baguette using the bread knife.
P02-20240210-122334-126 | 177.32s | Slide the bag out of the way of the bread knife using the left hand.
P02-20240210-122334-127 | 178.53s | Cut the baguette into quarters using the bread knife.
P02-20240210-122334-128 | 181.08s | Pick up the quarter of the baguette in the bag using the left hand.
P02-20240210-122334-129 | 181.72s | Allow the quarter of the baguette to fall down to the bottom of the bag using both hands.
P02-20240210-122334-130 | 183.73s | Fold the top of the baguette bag around the baguette to keep it fresh.
P02-20240210-122334-131 | 185.03s | Place the baguette bag and the quarter baguette back down onto the countertop with the bag underneath the baguette to keep it fresh.
P02-20240210-122334-132 | 186.72s | Lift up one quarter of the baguette using the left hand to get it ready to cut.
P02-20240210-122334-133 | 187.59s | Slice down the center of the baguette using the bread knife in the right hand whilst holding it in the left hand.
P02-20240210-122334-134 | 193.39s | Place the bread knife back down onto the countertop.
P02-20240210-122334-135 | 196.04s | Lift up and unfold the bag from beneath the baguette using the left hand whilst holding the quarter of the baguette using the right hand.
P02-20240210-122334-136 | 198.22s | Open up the end of the baguette using the left hand to place the quarter baguette that has been sliced inside it.
P02-20240210-122334-137 | 199.73s | Place the sliced quarter of the baguette inside the baguette bag using both hands.
P02-20240210-122334-138 | 201.35s | Holding the bag vertical, let the sliced quarter of baguette fall down to the bottom of the bag.
P02-20240210-122334-139 | 204.05s | Fold the bag beneath the two baguette quarters using the left hand to keep them fresh.
P02-20240210-122334-140 | 204.58s | Place the bag full of the baguette quarters down onto the countertop.
P02-20240210-122334-141 | 205.00s | Pick up the bread knife using the right hand.
P02-20240210-122334-142 | 206.33s | Transfer the bread knife from the right hand to left hand to clean it.
P02-20240210-122334-143 | 207.11s | Pick up the sponge from the sink using the right hand.
P02-20240210-122334-144 | 207.61s | rinse both the bread knife and the sponge into the soapy water.
P02-20240210-122334-145 | 207.93s | wipe off and clean the bread knife using the sponge in the right hand whilst holding it in the left hand
P02-20240210-122334-146 | 213.12s | Place the bread knife, knife side down, into the cutlery portion of the drying rack.
P02-20240210-122334-147 | 216.82s | Pick up the larger saucepan from the hob using the left hand.
P02-20240210-122334-148 | 218.18s | Place the saucepan back down onto the hob, realizing that there are other things to clean, which are cleaner than the saucepan, so that the water doesn't become too dirty too quickly.
P02-20240210-122334-149 | 219.50s | Pick up the farthest plate from the countertop using the left hand.
P02-20240210-122334-150 | 220.73s | Submerge the plate into the soapy water using the left hand.
P02-20240210-122334-151 | 220.90s | wash the plate using the sponge in the right hand whilst holding it in the left hand
P02-20240210-122334-152 | 227.19s | Flip over the plate using both hands.
P02-20240210-122334-153 | 227.65s | Clean the backside of the plate using the sponge in the right hand whilst holding the plate in the left hand.
P02-20240210-122334-154 | 230.95s | Squeeze out any excess water from the sponge in the right hand.
P02-20240210-122334-155 | 231.96s | Place the plate onto the drying rack using the left hand.
P02-20240210-122334-156 | 232.99s | Shake off excess water from the left hand.
P02-20240210-122334-157 | 234.75s | Pick up the remaining plate from the countertop past the hob using the left hand.
P02-20240210-122334-158 | 236.20s | Wash the top side of the plate using the sponge in the right hand, submerging it into the soapy water.
P02-20240210-122334-159 | 242.51s | Turn over the plate using both hands.
P02-20240210-122334-160 | 243.16s | Clean the backside of the plate using the sponge in the right hand whilst holding the plate in the left hand.
P02-20240210-122334-161 | 246.44s | Squeeze out any excess water from the sponge in the right hand.
P02-20240210-122334-162 | 247.43s | Stack the plate into the drying rack, not too close to the other plate to give them room to air out and dry.
P02-20240210-122334-163 | 250.49s | Pick up the cheese grater from the side of the sink using the left hand.
P02-20240210-122334-164 | 251.39s | Submerge the cheese grater in the sink using the side that was used for grating cheese face down into the water to soak.
P02-20240210-122334-165 | 251.93s | Pick up the measuring jug using the left hand.
P02-20240210-122334-166 | 252.75s | submerge it into the hot water using the left hand
P02-20240210-122334-167 | 254.45s | Clean and wash the inside of the measuring jug using the sponge in the right hand whilst holding the measuring jug in the left hand.
P02-20240210-122334-168 | 257.05s | squeeze out any excess water from the sponge in the right hand
P02-20240210-122334-169 | 258.17s | Wipe down the surface of the drying portion of the sink using the sponge in the right hand.
P02-20240210-122334-170 | 260.16s | Submerge the measuring jug back in the water and clean out the inside using the sponge in the right hand whilst holding the measuring jug in the left hand.
P02-20240210-122334-171 | 261.56s | Clean the outside of the measuring jug using the sponge in the right hand.
P02-20240210-122334-172 | 265.85s | squeeze out the excess water from the sponge
P02-20240210-122334-173 | 267.27s | place the measuring jug down onto the side of the sink for it to dry
P02-20240210-122334-174 | 267.97s | Pick up the cheese grater using the left hand.
P02-20240210-122334-175 | 269.15s | Wash the cheese grater using the sponge in the right hand, using strokes away from myself so that the sponge doesn't get ripped or damaged from the cheese grater.
P02-20240210-122334-176 | 269.59s | Turn over the cheese grater.
P02-20240210-122334-177 | 276.63s | Wash the inside of the cheese grater using the sponge.
P02-20240210-122334-178 | 279.19s | Shake the cheese grater to get rid of any liquid inside of it into the sink.
P02-20240210-122334-179 | 280.20s | Place the cheese grater onto the draining side of the sink using the left hand.
P02-20240210-122334-180 | 283.04s | Pick up the frying pan from the hob using the left hand.
P02-20240210-122334-181 | 283.25s | Place the frying pan back down onto the hob, realising there is something else to clean first.
P02-20240210-122334-182 | 284.69s | Pick up the butter knife from the side using the right hand.
P02-20240210-122334-183 | 285.65s | Transfer the butter knife from the right hand to the left hand.
P02-20240210-122334-184 | 286.86s | Wet both the butter knife and the sponge into the hot soapy water.
P02-20240210-122334-185 | 287.58s | Clean off the butter knife using the sponge in the right hand whilst holding the butter knife in the left hand.
P02-20240210-122334-186 | 290.98s | Place the butter knife into the cutlery portion of the drying rack using the left hand, doing this blade side down.
P02-20240210-122334-187 | 291.46s | Push down the cutlery portion of the drying rack so that it is straight.
P02-20240210-122334-188 | 293.99s | Take up the smaller frying pan from the top right burner of the hob using the left hand.
P02-20240210-122334-189 | 294.99s | submerge the pan into the soapy water
P02-20240210-122334-190 | 295.69s | Clean the inside of the frying pan using the sponge in the right hand whilst holding the frying pan in the left hand.
P02-20240210-122334-191 | 310.44s | squeeze the sponge in the right hand
P02-20240210-122334-192 | 311.28s | Flip the frying pan over in the left hand.
P02-20240210-122334-193 | 311.88s | Wash the back of the frying pan using the sponge in the right hand whilst holding the frying pan in the left hand.
P02-20240210-122334-194 | 315.18s | Place the frying pan into the drying rack, leaving space for the other frying pan.
P02-20240210-122334-195 | 319.95s | shake off the left hand to remove any excess water
P02-20240210-122334-196 | 320.70s | pick up the remaining frying pan from the bottom left burner using the left hand.
P02-20240210-122334-197 | 322.28s | Place the sponge on the side of the washing up bowl and the sink using the right hand.
P02-20240210-122334-198 | 322.72s | Adjust the frying pan's position in the drying up rack to give more space for it to dry, but still leaving space for the other frying pan that is yet to be washed up.
P02-20240210-122334-199 | 324.78s | Adjust the plates so that they are not leaning onto the cutlery portion of the drying rack too much.
P02-20240210-122334-200 | 326.19s | Pick up the sponge with the right hand.
P02-20240210-122334-201 | 326.43s | Submerge the frying pan in the water and clean it using the sponge in the right hand whilst holding the frying pan in the left hand.
P02-20240210-122334-202 | 328.33s | Watch the magpie out of the window to see what it is doing in the garden.
P02-20240210-122334-203 | 329.03s | Watch the magpie out of the window to see what it is doing in the garden.
P02-20240210-122334-204 | 342.09s | Flip over the frying pan using both hands.
P02-20240210-122334-205 | 343.37s | Clean the back of the frying pan using the sponge in the right hand whilst holding the frying pan in the left hand.
P02-20240210-122334-206 | 346.49s | Watch the magpie out of the window to see what it is doing in the garden.
P02-20240210-122334-207 | 349.23s | Wet and submerge the sponge in the soapy water using the right hand.
P02-20240210-122334-208 | 350.33s | Squeeze off any excess water using the right hand.
P02-20240210-122334-209 | 351.43s | Wash and clean the backside of the frying pan using the sponge in the right hand, whilst holding the frying pan in the left hand.
P02-20240210-122334-210 | 352.08s | Flip over the frying pan to check that it is clean.
P02-20240210-122334-211 | 353.44s | Clean the inside of the frying pan using the sponge in the right hand whilst holding it in the left hand.
P02-20240210-122334-212 | 355.32s | Place the frying pan into the back of the drying up rack using the left hand.
P02-20240210-122334-213 | 358.63s | Submerge the sponge and look through for cutlery on the bottom of the water.
P02-20240210-122334-214 | 360.13s | pick up a fork using the left hand
P02-20240210-122334-215 | 361.12s | clean the fork using the sponge in the right hand whilst holding the fork in the left hand.
P02-20240210-122334-216 | 363.19s | Place the fork into the cutlery portion of the drying up rack using the left hand.
P02-20240210-122334-217 | 363.96s | Watch the magpie in the garden.
P02-20240210-122334-218 | 365.46s | pick up a fork from the bottom of the washing up bowl.
P02-20240210-122334-219 | 366.16s | clean the fork using the sponge in the right hand whilst holding the fork in the left hand
P02-20240210-122334-220 | 368.21s | Place the fork into the cutlery side of the drying up rack.
P02-20240210-122334-221 | 369.00s | Pick up a knife in the bottom of the bowl using the left hand.
P02-20240210-122334-222 | 370.53s | Wash the knife using the sponge in the right hand whilst holding the knife in the left hand.
P02-20240210-122334-223 | 372.51s | Place the knife into the cutlery portion of the drying up rack.
P02-20240210-122334-224 | 373.34s | Check the bottom of the washing up bowl to make sure there are no more cutlery items in it.
P02-20240210-122334-225 | 376.31s | squeeze out the sponge in the left hand to remove any excess water from it.
P02-20240210-122334-226 | 380.08s | shake off hands into the sink to remove any excess water
P02-20240210-122334-227 | 380.20s | Look around the countertop to make sure there is nothing else to clean.
P02-20240210-122334-228 | 382.63s | Pick up the food bin using the left hand.
P02-20240210-122334-229 | 383.85s | open the food bin using the right hand
P02-20240210-122334-230 | 385.25s | wipe down the surfaces to remove any excess food using the sponge in the right hand and holding the food bin open against the edge of the surface using the left hand so that the food can be scraped into it
P02-20240210-122334-231 | 401.73s | wipe down the top of the fridge using the sponge in the right hand positioning the food bin so that any food will get put into the food bin
P02-20240210-122334-232 | 402.89s | Wipe down the surfaces to remove any excess food using the sponge in the right hand and holding the food bin open against the edge of the surface using the left hand so that the food can be scraped into it.
P02-20240210-122334-233 | 405.26s | Close the lid of the food bin using the thumb of the left hand.
P02-20240210-122334-234 | 406.24s | Open the food bin, realizing there is more stuff to clean on the other side of the kitchen.
P02-20240210-122334-235 | 407.42s | Wipe down the surfaces to remove any excess food using the sponge in the right hand and holding the food bin open against the edge of the surface using the left hand so that the food can be scraped into it.
P02-20240210-122334-236 | 408.88s | Clean the side of the hob using the sponge in the right hand, pushing any food into the food bin that is being held next to the countertop in the left hand.
P02-20240210-122334-237 | 409.42s | Clean the inside of the hob around the pan supports using the sponge in the right hand.
P02-20240210-122334-238 | 413.60s | Wipe down the surfaces to remove any excess food using the sponge in the right hand and holding the food bin open against the edge of the surface using the left hand so that the food can be scraped into it.
P02-20240210-122334-239 | 414.42s | Place the sponge back down onto the countertop using the right hand.
P02-20240210-122334-240 | 415.45s | pick up a bit of food from the hob using the right hand.
P02-20240210-122334-241 | 416.00s | place the bit of food into the food bin
P02-20240210-122334-242 | 417.17s | pick up a bit of food from the hob using the right hand
P02-20240210-122334-243 | 417.85s | Place the bit of food into the food bin.
P02-20240210-122334-244 | 419.00s | pick up a bit of food from the hob using the right hand.
P02-20240210-122334-245 | 419.88s | place the food into the food bin
P02-20240210-122334-246 | 420.61s | Pick up a bit of food from the hob using the right hand.
P02-20240210-122334-247 | 422.86s | Place the bits of food into the food bin.
P02-20240210-122334-248 | 424.24s | Wipe down the countertop using the sponge in the right hand whilst positioning the food bin against the side of the countertop so that any food gets pushed into the food bin.
P02-20240210-122334-249 | 428.20s | Close the lid of the food bin using the thumb of the left hand.
P02-20240210-122334-250 | 428.57s | Push down the lid of the food bin to make sure it clicks into place using the right hand.
P02-20240210-122334-251 | 429.04s | Place the food bin back down onto the floor out of way using the left hand.
P02-20240210-122334-252 | 432.96s | Submerge both hands and the sponge into the sink to rinse them off.
P02-20240210-122334-253 | 433.81s | Squeeze the sponge to remove any excess water from it.
P02-20240210-122334-254 | 434.59s | Clean around the sink using the sponge in the left hand.
P02-20240210-122334-255 | 439.28s | Clean around the tap using the sponge in the left hand.
P02-20240210-122334-256 | 443.25s | lift up the washing up bowl full of liquid to pour it out
P02-20240210-122334-257 | 443.57s | Pour out most of the liquid in the washing up bowl, leaving a small amount in the bottom so that it can be used to clean.
P02-20240210-122334-258 | 447.09s | place the washing up bowl on the side of the countertop near the sink
P02-20240210-122334-259 | 449.13s | check the drain protector to make sure that the food isn't preventing the flow of water
P02-20240210-122334-260 | 450.24s | shake off any excess water from the right hand
P02-20240210-122334-261 | 450.61s | Transfer the sponge from the left hand to the right hand.
P02-20240210-122334-262 | 451.26s | Tip out the rest of the water from the washing up bowl using both hands.
P02-20240210-122334-263 | 455.12s | Turn on the hot water tap using the left hand to rinse out the inside of the washing up bowl, whilst holding the washing up bowl under the tap using the right hand.
P02-20240210-122334-264 | 456.50s | Swill the bowl out using both hands.
P02-20240210-122334-265 | 459.26s | Tip out the water from the bowl using the right hand.
P02-20240210-122334-266 | 460.50s | Turn off the hot water tap using the left hand.
P02-20240210-122334-267 | 462.80s | Wipe and clean the bottom of the washing up bowl using the sponge in the right hand whilst holding the washing up bowl in the left hand.
P02-20240210-122334-268 | 466.79s | Place the washing up bowl onto the hob using the left hand.
P02-20240210-122334-269 | 467.67s | Transfer the sponge from the right hand to the left hand.
P02-20240210-122334-270 | 469.39s | shake off the right hand to remove any excess water from it.
P02-20240210-122334-271 | 469.44s | Place the sponge down on the side of the sink using the left hand.
P02-20240210-122334-272 | 471.45s | Pick up the food bin using the left hand.
P02-20240210-122334-273 | 472.68s | Open the lid of the food bin using the right hand.
P02-20240210-122334-274 | 473.74s | Pick up the sponge from the side of the sink using the right hand.
P02-20240210-122334-275 | 474.15s | Place the food bin down on the sink where the sponge was.
P02-20240210-122334-276 | 475.51s | Transfer the sponge from the right hand to the left hand.
P02-20240210-122334-277 | 476.59s | Move the tap out of the way to get easier access to the drain protector.
P02-20240210-122334-278 | 477.98s | remove the food that has been caught in the drain protector to allow the water in the bottom of the sink to drain correctly
P02-20240210-122334-279 | 480.29s | shake off the right hand to remove any excess water from it
P02-20240210-122334-280 | 481.22s | Place the sponge down onto the left-hand side of the sink.
P02-20240210-122334-281 | 482.00s | Pull up the right arm sleeve using the left hand.
P02-20240210-122334-282 | 482.98s | Close the open lid of the washing up liquid bottle using the left hand.
P02-20240210-122334-283 | 486.85s | Turn on the cold water using the right hand whilst holding onto the tap with the left hand.
P02-20240210-122334-284 | 487.56s | Move the tap back and forth using the left hand to spray water around the sink.
P02-20240210-122334-285 | 490.26s | Turn off the cold water.
P02-20240210-122334-286 | 491.12s | Try to pick up the drain protector from the sink, but realize there are too many bubbles on it still.
P02-20240210-122334-287 | 492.91s | turn on the cold water tap to remove some of the bubbles from the sink
P02-20240210-122334-288 | 494.23s | wash hands at the same time using the cold water.
P02-20240210-122334-289 | 496.34s | clear the bubbles from the bottom of the sink using the right hand
P02-20240210-122334-290 | 499.82s | Turn off the cold water using the right hand.
P02-20240210-122334-291 | 502.00s | Scrape all the food into the middle of the drain protector and pick it up using the right hand.
P02-20240210-122334-292 | 504.55s | Transfer the drain protector from the right hand to the left hand.
P02-20240210-122334-293 | 505.18s | pick up a bit of food from the side of the drain using the right hand
P02-20240210-122334-294 | 506.11s | Place a bit of food into the drain protector.
P02-20240210-122334-295 | 506.65s | Transfer the drain protector from the left hand to the right hand.
P02-20240210-122334-296 | 507.32s | tap the drain protector against the side of the food bin to remove any food from it
P02-20240210-122334-297 | 509.51s | Turn over the drain protector using both hands.
P02-20240210-122334-298 | 510.29s | Tap the drain protector against the side of the food bin using the right hand to remove any excess food from it.
P02-20240210-122334-299 | 511.73s | Remove some food from the back of the drain protector using the left hand, placing them into the food bin.
P02-20240210-122334-300 | 518.49s | Turn on the hot water using the left hand to rinse out the drain protector.
P02-20240210-122334-301 | 519.00s | Clean round the drain using the left hand.
P02-20240210-122334-302 | 521.36s | Rinse off the drain protector, holding it in both hands and flipping it.
P02-20240210-122334-303 | 523.09s | Place the drain protector back down into the center of the sink using the left hand.
P02-20240210-122334-304 | 523.48s | Turn off the hot water tap using the left hand.
P02-20240210-122334-305 | 524.58s | shake off both hands to remove any excess water from them into the sink
P02-20240210-122334-306 | 525.64s | Close the lid of the food bin using the left hand.
P02-20240210-122334-307 | 526.74s | Pick up the washing up bowl from the hob using the left hand.
P02-20240210-122334-308 | 527.82s | place the washing up bowl back into the sink using both hands
P02-20240210-122334-309 | 528.67s | shake the right hand to remove any excess water from it into the washing up bowl
P02-20240210-122334-310 | 529.24s | pick up the food bin from the side of the sink using the left hand.
P02-20240210-122334-311 | 530.54s | Place the food bin down onto the floor out of the way using the left hand.
P02-20240210-122334-312 | 532.38s | dry both hands using the towel on the radiator
