P01-20240204-120411-1 | Pick up the mug with the right hand and the empty bowl with a spoon inside with the left hand.
P01-20240204-120411-51 | Close the left door of the upper cupboard with the left hand as I couldn't find what I was looking for.
P01-20240204-120411-52 | Once again, open the right door of the lower cupboard with the right hand.
P01-20240204-120411-53 | Pick up a tupperware with the left hand from inside the cupboard without its lid.
P01-20240204-120411-54 | Place down the Tupperware on top of the toaster on the upper shelf from the left hand.
P01-20240204-120411-55 | Open the left door of the lower cupboard with the left hand.
P01-20240204-120411-56 | Pick up a smaller tupperware with the left hand from inside the cupboard.
P01-20240204-120411-57 | Partially close the right door of the lower cupboard with the right hand.
P01-20240204-120411-58 | Open the right door of the right cupboard with the right hand again.
P01-20240204-120411-59 | Tap the fingers of the right hand on the open door of the cupboard so as to think what to do next. Looks like I can't find what I'm looking for.
P01-20240204-120411-60 | Close the right door of the lower cupboard with the right hand.
P01-20240204-120411-61 | Put the small tupperware from the left hand on the countertop.
P01-20240204-120411-62 | Open the left door of the lower cupboard with the right hand.
P01-20240204-120411-63 | Change hands and continue to open the same door with the left hand.
P01-20240204-120411-64 | Pick up the bag of rice from the lower shelf of the cupboard with the right hand.
P01-20240204-120411-65 | Place the rice bag on the countertop with the right hand and continue to hold it so as to support it.
P01-20240204-120411-66 | Off the screen, place the rice.
P01-20240204-120411-67 | Open the right-hand door of the upper cupboard with the left hand.
P01-20240204-120411-68 | Pick up a glass from the middle shelf with the left hand.
P01-20240204-120411-69 | rotate the glass with the left hand so that it's facing up.
P01-20240204-120411-70 | Place the glass inside the small tupperware with the left hand.
P01-20240204-120411-71 | Slide the rice bag with the right hand on the countertop a very short distance.
P01-20240204-120411-72 | Hold the rice bag with the left hand from the top.
P01-20240204-120411-73 | Open the clipper that is closing the rice bag with the right hand so as to take some of the rice from it.
P01-20240204-120411-74 | remove the clipper using the right hand.
P01-20240204-120411-75 | Lift the rice bag with the left hand.
P01-20240204-120411-76 | Place the clipper on the countertop from the right hand.
P01-20240204-120411-77 | hold the rice bag from the bottom with the right hand and rotate it so that the opened part of it can be directed towards the glass to pour some rice out of it.
P01-20240204-120411-78 | Move the rice bag from the right hand to the left hand.
P01-20240204-120411-79 | Return the bag to the right hand. I seem to have wanted to shift positions of objects but then changed my mind.
P01-20240204-120411-80 | Tilt the rice bag which is being held with the right hand side and support it with the left hand so that rice can be poured out of it.
P01-20240204-120411-81 | Pour the rice from the rice bag by tilting it. The rice bag is being supported by both hands. The rice is falling inside the glass and is being measured. The glass is supported by the plastic tupperware. The rice is being poured inside the glass so as to measure its amount.
P01-20240204-120411-82 | Tilt the rice bag in the other direction to stop pouring rice as the glass is now filled with rice.
P01-20240204-120411-83 | place the right bag on the counter top and continue to support it with the left hand.
P01-20240204-120411-84 | Support the bag with the right hand and then with both hands.
P01-20240204-120411-85 | Close the bag by gathering its upper half into the left hand.
P01-20240204-120411-86 | Pick up the clipper from the countertop with the right hand.
P01-20240204-120411-87 | Place the clipper around the upper part of the rice bag so as to close it.
P01-20240204-120411-88 | Push the clipper with the right hand around the upper part of the rice bag and clip it with the left hand.
P01-20240204-120411-89 | Lift the rice bag off the counter through the clipper. The right hand is holding the clipper, which in turn is supporting the rice bag. By lifting the clipper, both the clipper and the rice bag are lifted off the counter top.
P01-20240204-120411-90 | Open the left part of the lower cupboard with the left hand.
P01-20240204-120411-91 | Place the right bag in the lower shelf of the cupboard with the right hand.
P01-20240204-120411-92 | Push the rice bag inside the cupboard with the right hand so it fits in.
P01-20240204-120411-93 | Close the left side of the lower cupboard with the left hand.
P01-20240204-120411-94 | carry the glass filled with rice with the right hand and the tupperware supporting it with the left hand and move both of them together.
P01-20240204-120411-95 | Place both the glass filled with rice and the tupperware supporting it on the other countertop.
P01-20240204-120411-96 | Slide the blue chopping board with the left hand slightly on the countertop.
P01-20240204-120411-97 | Pick up the glass filled with rice with the right hand.
P01-20240204-120411-98 | Support the Tupperware with the left hand.
P01-20240204-120411-101 | Hold the glass with the right hand upside down on top of the Tupperware so all the rice falls inside the Tupperware.
P01-20240204-120411-99 | Tilt the glass filled with rice with the right hand so the rice falls inside the tupperware.
P01-20240204-120411-100 | Move the Tupperware while rice is falling inside it.
P01-20240204-120411-102 | Shake the tupperware with the left hand so as to distribute rice evenly inside it.
P01-20240204-120411-103 | Rotate the glass in the right hand upright as it's now empty and can be discarded.
P01-20240204-120411-104 | Place the glass from the right hand on the countertop.
P01-20240204-120411-105 | Rotate the tupperware 90 degrees with the right hand while it's also being supported by the left hand. This makes it more aligned with the sink so it's filled with water.
P01-20240204-120411-106 | Place the Tupperware with the rice inside it under the tap so that you can fill it with water.
P01-20240204-120411-107 | Open the right side of the tap so water can fill the container which is filled with rice being supported by the left hand under the tap.
P01-20240204-120411-108 | Move the tupperware in a circular manner under the tap as water fills it so that water is distributed equally, first supported by the left hand and then supported by both hands.
P01-20240204-120411-109 | Close the tap with the right hand as rice now is covered with water and is soaked inside the Tupperware.
P01-20240204-120411-111 | Move the tupperware supported by both hands from the sink to place it on the countertop.
P01-20240204-120411-110 | Support the Tupperware filled with rice and water with both hands.
P01-20240204-120411-112 | Carefully place the Tupperware filled with water and rice on the countertop.
P01-20240204-120411-113 | Pick up the salt bottle with the right hand from the countertop. Salt is needed to be added to the rice.
P01-20240204-120411-114 | Open the plastic cap of the salt bottle with the left hand, while the bottle is being supported with the right hand during moving it.
P01-20240204-120411-115 | Rotate the salt bottle with both hands so as its open cap side is directed towards the taparware filled with rice and water.
P01-20240204-120411-116 | Tilt the salt bottle with the right hand to pour salt out of it.
P01-20240204-120411-117 | Slightly shake and move the salt bottle on top of a tupperware filled with water and rice to add salt to the mixture.
P01-20240204-120411-118 | tilt the salt bottle up again to stop pouring salt from it.
P01-20240204-120411-119 | Close the cap of the salt bottle with the left hand, while the bottle is supported with the right hand.
P01-20240204-120411-120 | put down the salt bottle on the countertop next to the pot-upperware with the right hand.
P01-20240204-120411-121 | Place the index finger of the right hand inside the Tupperware and move it around to distribute the salt inside the water.
P01-20240204-120411-122 | Dry the right hand with a towel to dry the index finger that was placed inside the water.
P01-20240204-120411-123 | Slide the kettle along with its base on the countertop using the right hand side to change its position.
P01-20240204-120411-124 | Move the black flask with the right hand on the countertop to change its position.
P01-20240204-120411-125 | Slide the tupperware filled with rice and water using both hands on the countertop to get it further from the edge.
P01-20240204-120411-126 | Pick up the salt bottle from the countertop with the right hand.
P01-20240204-120411-127 | Open the upper cupboard with the left hand.
P01-20240204-120411-128 | Lift the salt bottle to place it on the middle shelf, only to realize it doesn't fit.
P01-20240204-120411-129 | Place the salt bottle on the lower shelf of the cupboard with the right hand.
P01-20240204-120411-131 | Close the upper cupboard using the left hand.
P01-20240204-120411-130 | Push the salt bottle inside the upper shelf using the right hand, pushing glass jars behind it.
P01-20240204-120411-132 | Pick up a glass from the countertop with the left hand.
P01-20240204-120411-133 | Slide the water filter jug with the right hand on the countertop from left to right.
P01-20240204-120411-134 | put down the glass from the left hand on the countertop.
P01-20240204-120411-135 | Softly clap both hands.
P01-20240204-120411-136 | Open the left side of the lower cupboard
P01-20240204-120411-137 | Lift two pans with the right hand inside the cupboard so as to free the pan under them to be removed.
P01-20240204-120411-138 | Pick up the pan using the left hand from the upper shelf of the cupboard.
P01-20240204-120411-139 | put down the two pans being supported by the right hand back in their place inside the cupboard.
P01-20240204-120411-140 | Close the left side of the lower cupboard with the right hand.
P01-20240204-120411-141 | Lift part of the towel with the right hand without removing it from the rail.
P01-20240204-120411-142 | Insert the towel using the left hand inside the pan which is supported with the left hand to clear some dirt inside it.
P01-20240204-120411-143 | Wipe the inside of the pan using the towel. The pan is supported by the left hand and towel is being moved inside the pan using the right hand.
P01-20240204-120411-144 | Remove the towel from inside the pan and let it fall back onto the rail by releasing it from the right hand.
P01-20240204-120411-145 | Place the pan on top of the chopping board that is on top of the counter using the lift hand.
