P01-20240202-161354-1 | Switch the light on.
P01-20240202-161354-31 | Place the glass under the tap nozzle and open the tap using the handle, the right handle with the right hand.
P01-20240202-161354-32 | Fill the glass with water from the tap to rinse it.
P01-20240202-161354-33 | Turn the glass upside down to empty the water inside it into the sink using the left hand.
P01-20240202-161354-34 | Turn the glass using the left hand to point upwards.
P01-20240202-161354-35 | Place the glass under the nozzle of the tap, using the left hand holding it from its rim, and open the tap using the right handle with the right hand to fill the glass with water.
P01-20240202-161354-36 | Fill the glass with water from the tap to rinse it.
P01-20240202-161354-37 | Rotate the glass upside down to empty its contents into the sink using the left hand.
P01-20240202-161354-38 | Open the dishwasher's door by rotating it downwards.
P01-20240202-161354-39 | Slide the drawer of the dishwasher using the right hand outwards.
P01-20240202-161354-41 | Place the glass using the left hand inside the dishwasher's drawer.
P01-20240202-161354-40 | Lift the flap of the drawer of the dishwasher using the right hand.
P01-20240202-161354-42 | Pick up one of the mugs from the right side of the sink using the left hand, holding it from its handle.
P01-20240202-161354-43 | Place the mug under the nozzle of the tap and open the tap from the right handle using the right hand to rinse it.
P01-20240202-161354-44 | Rinse the mug.
P01-20240202-161354-45 | Close the tap.
P01-20240202-161354-46 | Pick up the sponge using the right hand.
P01-20240202-161354-47 | Scrub the inside sides of the mug using the sponge.
P01-20240202-161354-48 | Put down the sponge.
P01-20240202-161354-49 | Place the mug with the left hand under the tap's nozzle and open the tap using the right handle.
P01-20240202-161354-50 | Rinse the mug.
P01-20240202-161354-51 | Move the mug from the left hand to the right hand, holding it from its base, pointing downwards.
P01-20240202-161354-52 | Lift the flap of the dishwasher's drawer using the left hand and keep holding it.
P01-20240202-161354-53 | Place the mug in the dishwasher's drawer using the right hand then release the flap from the left hand
P01-20240202-161354-54 | Pick up the second mug from the right of the sink using the right hand, holding it from its handle.
P01-20240202-161354-55 | Move the mug from the right hand to the left hand holding it from its base and place it under the tap's nozzle.
P01-20240202-161354-56 | Open the tap using the right hand with the right handle.
P01-20240202-161354-57 | Rinse the mug.
P01-20240202-161354-58 | Close the tap.
P01-20240202-161354-59 | Place the mug in the dishwasher's drawer using the right hand.
P01-20240202-161354-60 | Slide back the dishwasher's drawer using the left hand.
P01-20240202-161354-61 | Pick up the plate from the right of the sink using the right hand.
P01-20240202-161354-62 | Pass the plate from the right hand to the left hand, holding it under the tap's nozzle.
P01-20240202-161354-63 | Open the tap using the right handle with the right hand.
P01-20240202-161354-64 | Rinse the plate using the left hand and pick up the sponge using the right hand.
P01-20240202-161354-65 | Lather the plate using the sponge, rotating it counterclockwise.
P01-20240202-161354-66 | Put down the sponge.
P01-20240202-161354-67 | Close the tap.
P01-20240202-161354-68 | slide open the dishwasher's drawer using the left hand.
P01-20240202-161354-69 | place the plate in the dishwasher's drawer using the right hand.
P01-20240202-161354-70 | Lift the plastic container using the left hand so as to slide the plate in the right hand in its right place in the dishwasher's drawer.
P01-20240202-161354-71 | Slide back the dishwasher's drawer using the left hand.
P01-20240202-161354-72 | Close the dishwasher's door by rotating it upwards using the right hand.
P01-20240202-161354-73 | Remove the left glove.
P01-20240202-161354-74 | Place the left glove on the rim of the sink.
P01-20240202-161354-75 | Open the lower drawer using the right hand.
P01-20240202-161354-76 | Pick up the pasta box using the right hand from the drawer.
P01-20240202-161354-77 | rotate the box, moving it from the right hand to the left hand.
P01-20240202-161354-78 | put down the box on the countertop to the right of the oven using the left hand.
P01-20240202-161354-79 | Close the drawer using the right leg by pushing it.
P01-20240202-161354-80 | Open the fridge.
P01-20240202-161354-81 | Pick up the butter from the third shelf of the fridge using the left hand.
P01-20240202-161354-82 | Pick up the parmesan cheese from the second shelf of the fridge using the right hand.
P01-20240202-161354-83 | Unroll the pack of the parmesan cheese using the right hand to check its content.
P01-20240202-161354-84 | Move a plastic bag in the third shelf to check what's behind it.
P01-20240202-161354-85 | move the yoghurt in the second shelf to check what's behind it.
P01-20240202-161354-86 | slightly move the plastic box of tomatoes in the third shelf.
P01-20240202-161354-87 | slightly move the plastic container of the grapes in the fourth shelf to check what's behind it.
P01-20240202-161354-88 | Check the contents of the fridge door by looking at it.
P01-20240202-161354-89 | Close the fridge.
P01-20240202-161354-90 | Place the parmesan, cheese and the butter on the countertop to the right of the pasta box.
P01-20240202-161354-91 | Move the pasta box on the countertop using the right hand.
P01-20240202-161354-92 | Open the left side of the cupboard, upper cupboard, using the right hand.
P01-20240202-161354-93 | Pick up a plate from the second shelf of the cupboard.
P01-20240202-161354-94 | Place the plate on top of the scale on the countertop using the right hand.
P01-20240202-161354-95 | Slightly move the scale on the countertop using both hands.
P01-20240202-161354-96 | Turn on the scale by pressing its button using the right hand.
P01-20240202-161354-97 | Press the second button of the scale using the left hand to switch it on.
P01-20240202-161354-98 | Pick up the pasta box using the left hand by holding it from the top.
P01-20240202-161354-99 | Using the right hand, slide both the parmesan cheese and the butter on the countertop, pushing them away.
P01-20240202-161354-100 | Put down the pasta box close to the scale using the left hand.
P01-20240202-161354-101 | Open the pasta box by holding it with the left hand and opening the top of it with the right hand.
P01-20240202-161354-102 | open both sides of the pasta box using both hands.
P01-20240202-161354-103 | Pick up the pasta box using both hands.
P01-20240202-161354-104 | pour pasta from the pasta box into the plate that's on top of the scale by rotating it and tilting it using both hands.
P01-20240202-161354-105 | Pick up one fallen piece of pasta on the countertop using the left hand and put it in the plate.
P01-20240202-161354-106 | Pick up another pasta piece that has fallen on the countertop using the left hand and place it on the plate.
P01-20240202-161354-107 | Put down the pasta box.
P01-20240202-161354-108 | Close the flaps on top of the pasta box using both hands.
P01-20240202-161354-109 | Pick up the pasta box and place it further down on the countertop using the left hand.
P01-20240202-161354-110 | Close the upper cupboard using the left hand.
P01-20240202-161354-111 | Open the lower cupboard using the right hand, then hold the cupboard's door with the left hand.
P01-20240202-161354-112 | Pick up two pans from the upper shelf of the cupboard using the right hand. The pans are piling on top of one another.
P01-20240202-161354-113 | Separate the two pans by holding the lower one with the left hand, the upper one with the right hand.
P01-20240202-161354-114 | Return the pan in the right hand to the upper shelf of the cupboard.
P01-20240202-161354-115 | Close the cupboard's door using the right hand.
P01-20240202-161354-116 | Put the pan in the left hand on the hob.
P01-20240202-161354-117 | Open the upper cupboard using the right hand, then hold its handle with the left hand.
P01-20240202-161354-118 | Pick up the jar of black pepper from the lower shelf of the cupboard using the right hand.
P01-20240202-161354-119 | put down the jar of black pepper on the countertop using the right hand.
P01-20240202-161354-120 | Pick up the strainer from the hob and place it on the countertop using the left hand.
P01-20240202-161354-121 | Pick up the water filter from the countertop using the right hand.
P01-20240202-161354-122 | Tilt the water filter to pour water from it into the glass that is on the countertop.
P01-20240202-161354-123 | tilt up the kettle to stop pouring water from it.
P01-20240202-161354-124 | Put down the kettle on the countertop.
P01-20240202-161354-125 | Pick up the glass of water from the countertop that's filled with water, using the right hand to drink from it.
P01-20240202-161354-126 | drink water from the glass, being held with the right hand.
P01-20240202-161354-127 | Put down the empty glass on the countertop using the right hand.
P01-20240202-161354-128 | Move the strainer on the countertop using the left hand.
P01-20240202-161354-129 | Pick up another pan from the hob using the left hand.
P01-20240202-161354-130 | put down that pan in the sink.
P01-20240202-161354-131 | Open the lower cupboard using the right hand, then hold it with the door with the left hand.
P01-20240202-161354-132 | Pick up two pans, piled from the upper shelf of the cupboard.
P01-20240202-161354-133 | Remove one pan from the pile using the left hand and return it to the cupboard.
P01-20240202-161354-134 | Close the cupboard using the right hand.
P01-20240202-161354-135 | put down the second pan on the hob using the left hand on the far side.
P01-20240202-161354-136 | pick up the kettle with the boiling water from its base using the right hand.
P01-20240202-161354-137 | Turn on the hob using the left hand by rotating the dial, pressing it downwards.
P01-20240202-161354-138 | Pour water from the kettle into the second pan on the far side of the hob to fill it with hot water.
P01-20240202-161354-139 | Tilt the kettle upwards to stop pouring water.
P01-20240202-161354-140 | Return the kettle to its base using the right hand.
P01-20240202-161354-141 | Open the upper cupboard using the right hand, then hold its handle with the left hand.
P01-20240202-161354-142 | Pick up the bottle of salt from the lower shelf of the cupboard using the right hand.
P01-20240202-161354-143 | Open the salt bottle using the left hand by opening part of the blue lid, flipping it upwards while holding the bottle with the right hand.
P01-20240202-161354-144 | Pour salt from the salt bottle into the pan filled with hot water.
P01-20240202-161354-145 | Put down the salt bottle on the countertop using the right hand.
P01-20240202-161354-146 | Pick up the plate filled with pasta, uncooked, from the scale on the countertop using the right hand.
P01-20240202-161354-147 | Pour the pasta from the plate into the pan filled with hot water to boil it.
P01-20240202-161354-148 | Put down the plate on the countertop using the right hand.
P01-20240202-161354-149 | Hold the handle of the pan using the left hand and shake it slightly to move the pasta pieces inside the water in the pan.
P01-20240202-161354-150 | Press the button on the oven to set the timer using the right hand thumb.
P01-20240202-161354-151 | Press a second button on the panel of the oven with the right hand thumb to adjust the timer's time pressing and holding several times until the time is adjusted.
