P01-20240204-145458-1 | Put the food trash bin that has been emptied on the countertop.
P01-20240204-145458-154 | Add more hot oil into the pot by positioning the kettle on top of the pot and tilting it.
P01-20240204-145458-157 | Hold the pots handle with the left hand.
P01-20240204-145458-158 | stir the contents of the pot, distributing the rice and the vermicelli with the water evenly in the pot in circular motions.
P01-20240204-145458-160 | pick the kettle up from the countertop.
P01-20240204-145458-161 | Pour a little more hot water from the kettle by positioning the kettle on top of the pot and tilting it to pour hot water into the pot.
P01-20240204-145458-163 | hold the wooden spoon with the right hand,
P01-20240204-145458-164 | Stir the content of the pot by moving the wooden spoon in circular motion, distributing the rice and the water evenly, holding the pot with the left hand using the handle to keep it steady.
P01-20240204-145458-165 | hit the wooden spoon against the edge of the pot to drop any excess liquid
P01-20240204-145458-166 | Adjust the temperature by moving the dial using the left hand counterclockwise.
P01-20240204-145458-169 | Cover the pot by putting the lid on it using the right hand.
P01-20240204-145458-171 | Lift the lid off the pan containing cooked meat using the left hand, holding the lid on top of the pan, so that any steam drips off it falls into the pan.
P01-20240204-145458-172 | Stir the content of the pan, the cooked meat a little bit, to check the remaining water on it by moving the meat with the wooden spoon to look into the amount of water left a few times.
P01-20240204-145458-173 | shake the spoon on top of the pan
P01-20240204-145458-174 | Cover the pan again by putting the lid back.
P01-20240204-145458-178 | Insert the hand into the shelf and pick the jar of spice from the shelf behind some of the other jars, holding the jars at the front by supporting them with the left hand so they don't fall off while I pick up the jar from behind.
P01-20240204-145458-18 | Pick the pan from its handle from the current burner and move it across the hob to the burner that has been just switched on on the top left of the hob.
P01-20240204-145458-180 | Put the spice jar on the counter top using the right hand.
P01-20240204-145458-181 | Open the spice jar by holding the jar with the left hand, holding the lid with the right hand, and rotating the lid counterclockwise to unlock it and open it.
P01-20240204-145458-183 | Pick the jar from the countertop.
P01-20240204-145458-185 | Lift the lid of the pan containing meat using the left hand.
P01-20240204-145458-188 | Hold the jar with the left hand and pinch some of the spice from the jar using the right hand.
P01-20240204-145458-189 | Sprinkle the spice from the right hand onto the pan by positioning the hand on top of the pan, releasing the spice while rotating the hand around the pan to distribute the spice on the cooked meat.
P01-20240204-145458-190 | Take another smaller pinch of spice from the jar that's being held with the left hand using the right hand.
P01-20240204-145458-191 | Sprinkle the added spice into the pan using the right hand.
P01-20240204-145458-192 | Shake the hand on top of the pan to drop any spice stuck to the hand into the pan.
P01-20240204-145458-197 | pick the wooden spoon from the plate next to the hob
P01-20240204-145458-198 | Mix the content of the pan by stirring the content using the wooden spoon, mixing the spice that was just added with all the meat in the pan, and stirring thoroughly.
P01-20240204-145458-2 | pick the glass of orange juice from the countertop using the left hand
P01-20240204-145458-201 | Pick up the jar as the label reads grounded cinnamon.
P01-20240204-145458-202 | open the jar by holding the jar with the left hand holding the lid with the right hand and rotating the lid counterclockwise
P01-20240204-145458-203 | pour some cinnamon from the jar into the lid by holding the lid under the jar tilting the jar so cinnamon pours into the lid this is to avoid pouring too much or too little directly into the pan
P01-20240204-145458-204 | Pour the cinnamon from the lid into the pan by turning the lid upside down on top of the pan so the cinnamon falls into the pan, moving the lid around the pan to distribute the cinnamon.
P01-20240204-145458-207 | hold the spoon that's been resting on the pan
P01-20240204-145458-208 | Mix the content of the pan that's mixing the spice and the meat using the wooden spoon, holding the pan's handle with the left hand to steady it, ensuring that we mix thoroughly.
P01-20240204-145458-209 | hit the wooden spoon against the edge of the pan to drop any of the meat stuck to it back into the pan
P01-20240204-145458-211 | pick the lid from the top of the hob
P01-20240204-145458-212 | cover the pan for the meat to continue cooking by putting the lid on the pan using the left hand
P01-20240204-145458-235 | Uncover the rice by lifting the lid off using the left hand.
P01-20240204-145458-236 | Cover the rice again.
P01-20240204-145458-238 | Lift the lid off the pot to check on the rice.
P01-20240204-145458-239 | Cover the pot by putting the lid back on.
P01-20240204-145458-249 | Uncover the pot by lifting the lid with the right hand slightly.
P01-20240204-145458-250 | Cover the pot by returning the lid to its place.
P01-20240204-145458-251 | Adjust the heat on the burner under the rice, lowering it by turning the dial using the right hand counterclockwise.
P01-20240204-145458-252 | uncover the pot by removing the lid again.
P01-20240204-145458-253 | Cover the pot by placing the lid back on, checking exactly that the rice is ready for the next stage.
P01-20240204-145458-254 | Lift the pan using the left hand and at the same time pick up the heat diffuser from the other burner using the right hand.
P01-20240204-145458-255 | Put the heat diffuser on the burner that is on the bottom right.
P01-20240204-145458-256 | place the pan on top of the heat diffuser the heat diffuser will ensure that the heat is better distributed and less intensive on the rice in the pan so it doesn't burn
P01-20240204-145458-260 | uncover the pan with the meat being cooked by lifting the lid with the left hand and holding it tilted on top of the pan with the left hand
P01-20240204-145458-261 | Stir the meat using the wooden spoon by moving the meat around the pan, checking if there is any water left in the pan.
P01-20240204-145458-262 | Hit the wooden spoon against the edge of the pan to drop any meat stuck to it back into the pan
P01-20240204-145458-263 | Cover the pan by putting the lid back on which was lifted with the left hand, putting it back on the pan.
P01-20240204-145458-3 | move the glass to the right hand
P01-20240204-145458-36 | pick up the glass with fresh orange juice
P01-20240204-145458-37 | drink some of the juice
P01-20240204-145458-39 | Pick up the bottle of vegetable oil from the countertop.
P01-20240204-145458-4 | Drink some of the orange juice in the glass.
P01-20240204-145458-40 | open the bottle by holding the bottle with the right hand, holding the lid with the left hand and flipping the the lid up to open it.
P01-20240204-145458-42 | pour vegetable oil into the pot by holding the bottle on top of the pot tilting it to pour oil into the pot
P01-20240204-145458-43 | Close the bottle by pushing the lid back on and pressing it to click.
P01-20240204-145458-435 | Turn off the hob as the cooking of the meat in the pan has concluded. So turn off the hob under the pan by turning the dial clockwise using the right hand.
P01-20240204-145458-438 | uncover the pan by lifting the lid with the left hand
P01-20240204-145458-439 | Stir the content of the pan using the wooden spoon by moving the cooked meat around. Just to distribute the heat evenly. The burner has been switched off.
P01-20240204-145458-44 | put down the bottle of vegetable oil on the countertop using the right hand
P01-20240204-145458-440 | hit the wooden spoon against the edge of the pan
P01-20240204-145458-441 | cover the pan again by putting the lid down
P01-20240204-145458-471 | Pick up the wooden spoon from the plate next to the hob.
P01-20240204-145458-472 | Uncover the pot containing rice by lifting the lid.
P01-20240204-145458-474 | Stir the rice by using the wooden spoon, inserting it under the rice and turning it upside down to stir the rice, ensuring that the bottom part of the rice doesn't stick and that all the rice cooks evenly and dries evenly, repeating the turning all across the pot. So inserting the wooden spoon under part of the rice, turning it on and continuing all around, holding the handle of the pot in the process and using the handle to rotate the pot to access all its content of rice all around during turning.
P01-20240204-145458-475 | hit the wooden spoon against the edge of the pot to drop any rice stuck to it
P01-20240204-145458-476 | spread the rice around the pot using the wooden spoon by flattening the surface.
P01-20240204-145458-477 | Hit the wooden spoon against the edge of the pot again to drop any rice stuck to it.
P01-20240204-145458-480 | Cover the pot again by putting the lid on it using the left hand.
P01-20240204-145458-5 | Put the glass down on the counter top.
P01-20240204-145458-53 | Pick a plate from the top of the pile of bowls and plates from the second shelf of the cupboard using the right hand.
P01-20240204-145458-55 | put the plate on the counter
P01-20240204-145458-58 | Pick up the plastic bag with vermicelli using the right hand.
P01-20240204-145458-59 | Hold the plastic bag with your left hand and insert the right hand into the bag.
P01-20240204-145458-6 | Pick the wooden spoon from the plastic packaging on the countertop using the right hand.
P01-20240204-145458-60 | Take one nest of vermicelli from the bag using the right hand.
P01-20240204-145458-61 | put the nest of vermicelli on the plate on the countertop
P01-20240204-145458-62 | Insert the hand again and pick another vermicelli nest.
P01-20240204-145458-63 | Put the vermicelli nest on the plate.
P01-20240204-145458-64 | Close the bag by folding and crumpling its top.
P01-20240204-145458-68 | Pick one vermicelli nest from the plate.
P01-20240204-145458-69 | break the nest into pieces by holding the nest with two hands and pushing to break it into pieces
P01-20240204-145458-7 | Uncover the pan containing meat being cooked by lifting the lid using the left hand.
P01-20240204-145458-70 | Break the part that's already in the right hand into pieces by crumbling the vermicelli inside the hand, breaking it into smaller pieces.
P01-20240204-145458-71 | Break the vermicelli again by holding the nest with the left hand and breaking another part of it with the right hand.
P01-20240204-145458-72 | break the vermicelli nest again
P01-20240204-145458-73 | Break the vermicelli nest by holding the nest with the left hand and breaking another part of it with the right hand.
P01-20240204-145458-74 | Break the vermicelli nest by holding the nest with the left hand and breaking another part of it with the right hand.
P01-20240204-145458-75 | Break the vermicelli nest by holding the nest with the left hand and breaking another part of it with the right hand.
P01-20240204-145458-76 | Pick the second vermicelli nest from the plate.
P01-20240204-145458-77 | Break part of the vermicelli nest by holding the nest with the left hand and pressing the part with the right hand until it breaks.
P01-20240204-145458-78 | Break more of the vermicelli nest using the right hand.
P01-20240204-145458-79 | break more of the vermicelli nest using the right hand
P01-20240204-145458-8 | Put the lid on the hob.
P01-20240204-145458-80 | Break more of the vermicelli nest using the right hand.
P01-20240204-145458-81 | break more of the vermicelli nest using the right hand
P01-20240204-145458-82 | Break more of the vermicelli nest using the right hand.
P01-20240204-145458-83 | break more of the vermicelli nest using the right hand
P01-20240204-145458-84 | Break more of the vermicelli nest using the right hand.
P01-20240204-145458-85 | Break more of the vermicelli nest using the right hand.
P01-20240204-145458-86 | crumble more of the vermicelli in the plate by putting both hands in the plate and just pressing the vermicelli to break it further, repeating multiple times.
P01-20240204-145458-87 | turn on the burner on the hob by pressing and holding the dial with the right hand then rotating counterclockwise
P01-20240204-145458-89 | pick a wooden spoon from the cutlery tray in the top drawer
P01-20240204-145458-9 | stir the meat in the pan using the wooden spoon by moving the meat around using the wooden spoon in various directions in the pan
P01-20240204-145458-91 | Pick up the glass of orange juice from the countertop.
P01-20240204-145458-92 | Drink the remaining orange in the glass.
P01-20240204-145458-93 | put the empty glass back on the countertop
P01-20240204-145458-94 | open the fridge
P01-20240204-145458-95 | Pick the box of chicken cube stock from the shelf in the door of the fridge using the right hand.
P01-20240204-145458-96 | hold the box with the left hand and insert the right hand in the box to pick one chicken stock cube from the box
P01-20240204-145458-97 | put back the box of chicken stock cube in the shelf of the door of the fridge
P01-20240204-145458-99 | put the chicken stock cube on the countertop
