P01-20240203-132119-1 | Pick up the spatula from the plate on the countertop.
P01-20240203-132119-25 | Mix the content of the pot in an attempt to dissolve the stock cube, stirring clockwise in circular fashion.
P01-20240203-132119-250 | Pick up the blue can of drinking cocoa from the countertop.
P01-20240203-132119-251 | return the blue can to the cupboard since it won't be used using the right hand.
P01-20240203-132119-253 | pick up a packet of biscuits from the upper shelf using the right hand.
P01-20240203-132119-254 | Place the biscuits on the countertop next to the condensed milk, the butter and the cocoa gathering all the ingredients for the recipe.
P01-20240203-132119-255 | Pick up a bowl from the drainer.
P01-20240203-132119-256 | Place the bowl on the countertop to be used in the recipe.
P01-20240203-132119-26 | Hit the spatula against the rim of the pot to remove any excess liquid on it.
P01-20240203-132119-27 | Put the spatula on the plate next to the hob on the counter.
P01-20240203-132119-28 | reach out with two fingers, two index fingers of both hands, under the cover of the hob to reach out to a piece of carrot that has fallen there. However, the carrot just slips off and is pushed further.
P01-20240203-132119-29 | Push the carrot again using one finger, then decide it's difficult to access and leave it there.
P01-20240203-132119-3 | Hit the spatula against the rim of the pot to drop any onion pieces that had stuck to it.
P01-20240203-132119-30 | pick up an empty mug next to the hob.
P01-20240203-132119-31 | Put the mug on the countertop close to the sink.
P01-20240203-132119-32 | Return to the hob and with two fingers pinch again the carrot piece on the hob, this time getting it successfully.
P01-20240203-132119-33 | Open the lid of the food waste bin.
P01-20240203-132119-339 | Pick up the lid of the food processor from the countertop.
P01-20240203-132119-34 | drawer the carrot piece into the food waste bin.
P01-20240203-132119-340 | Close the food processor by attaching the lid, putting it on top and then rotating it clockwise to lock it in place.
P01-20240203-132119-341 | Now start the food processor by rotating the dial clockwise, hearing the sound and realizing it is correctly now assembled.
P01-20240203-132119-342 | Switch the food processor off by turning the dial back off. At least it's now fully assembled.
P01-20240203-132119-344 | Open the food processor by unlocking the lid, turning it counterclockwise and pulling it up.
P01-20240203-132119-345 | Put the lid on the countertop.
P01-20240203-132119-347 | Pick up the lid again from the countertop.
P01-20240203-132119-348 | Place the lid on the upper shelf.
P01-20240203-132119-349 | Lift the package of biscuit which is lying on the countertop and allow it to stand vertically in order to open it.
P01-20240203-132119-35 | Release the lid allowing the bin to close.
P01-20240203-132119-350 | hold the two sides of the plastic packaging using both hands and pull it apart to open the packaging, pinching the two sides and pulling away.
P01-20240203-132119-351 | remove one plastic tube containing biscuits from this packaging. The packaging is a multi-packet packaging, so get one packet which is a tube of biscuits from inside this packaging and allow the package to fall back onto the countertop.
P01-20240203-132119-352 | Turn the packet of biscuits upside down to open it.
P01-20240203-132119-353 | find the exact location where the plastic packaging can be opened, pinching and pulling away, holding the package with the left hand and pulling away with the right hand.
P01-20240203-132119-354 | open the plastic packaging, accessing the biscuits inside.
P01-20240203-132119-355 | Position the plastic packaging on top of the food processor, so when the packaging is removed, the biscuits fall. Around 10 biscuits fall from the packaging into the bowl of the food processor.
P01-20240203-132119-356 | Push some of the biscuits that had fallen into the food processor around to distribute them.
P01-20240203-132119-359 | Close the food processor by placing the lid on top and rotating it clockwise to lock it.
P01-20240203-132119-36 | pick up this spatula from the plate next to the hob.
P01-20240203-132119-360 | Turn on the food processor by holding the dial and rotating it clockwise, starting the food processor, which now contains biscuits, which are now going to be crushed by the blade that had been inserted inside the food processor.
P01-20240203-132119-362 | switch off the food processor by turning the dial counterclockwise with the left hand.
P01-20240203-132119-364 | turn the food processor back on by turning the handle clockwise.
P01-20240203-132119-365 | Turn off the food processor by turning the handle, rotating it counter-clockwise, using the right hand.
P01-20240203-132119-366 | Peel off more of the plastic packaging around the biscuits using both hands.
P01-20240203-132119-367 | Take a handful of biscuits from the packaging using the right hand.
P01-20240203-132119-368 | open the food processor by turning the lid counterclockwise and lifting it up.
P01-20240203-132119-369 | Throw the biscuits into the bowl of the food processor.
P01-20240203-132119-37 | stir the contents of the pan using the spatula in circular motions, holding the pan's handle with the left hand.
P01-20240203-132119-371 | Peel more of the packaging of the biscuits.
P01-20240203-132119-372 | Take another handful of biscuits from the packaging, using the right hand.
P01-20240203-132119-373 | Lift the lid of the food processor.
P01-20240203-132119-374 | Throw the biscuits into the food processor bowl.
P01-20240203-132119-375 | Close the food processor by putting the lid back and locking it in by rotating clockwise. The putting the lid back in place struggles a little bit in this occasion. Take several iterations to get it fit in location.
P01-20240203-132119-376 | Turn the food processor on by holding the dial with the right hand and rotating it clockwise.
P01-20240203-132119-378 | switch the food processor off by turning the dial counterclockwise.
P01-20240203-132119-38 | Move the content of the pan using the spatula in vertical motions up and down.
P01-20240203-132119-380 | Switch on the foot processor by turning the dial clockwise using the left hand. The right hand is still holding the top of the lid to keep it in place.
P01-20240203-132119-381 | Turn off the food processor by turning the dial counterclockwise.
P01-20240203-132119-383 | pick up a glass from the second shelf to be used to weigh the biscuits.
P01-20240203-132119-384 | Turn the glass upside down.
P01-20240203-132119-385 | Place the glass inside the bowl. The glass will be used to weigh the biscuits.
P01-20240203-132119-386 | Open the food processor by holding the lid and rotating it counterclockwise and lifting it off.
P01-20240203-132119-387 | Hit the lid against the rim of the food processor bowl to allow the fine biscuit to fall onto the bowl from the lid.
P01-20240203-132119-389 | Unlock the food processor bowl by holding it with both hands and rotating it counter-clockwise.
P01-20240203-132119-39 | Heat the spatula against the rim of the pot to remove excess liquid.
P01-20240203-132119-390 | Lift the food processor bowl.
P01-20240203-132119-391 | pick up the blade with the centre piece from the bowl, holding the bowl with the right hand, the centre piece with the left hand and sliding it out.
P01-20240203-132119-392 | shake the blades to drop any of the biscuits stuck to them into the bowl.
P01-20240203-132119-394 | Pick up the glass from the bowl and hold it with the left hand to weigh biscuits.
P01-20240203-132119-395 | pour biscuits from the food processor bowl into the glass, tilting the bowl so the biscuits fall into the glass.
P01-20240203-132119-396 | Measure one glass of biscuits, ground biscuits.
P01-20240203-132119-397 | empty the glass into the bowl by turning the glass upside down.
P01-20240203-132119-398 | Turn the glass again upright and place it inside the bowl to prepare to measure further glasses.
P01-20240203-132119-399 | Turn the food processor bowl on top of the white bowl and hit it on its side a few times so any remaining biscuits can fall into the bowl.
P01-20240203-132119-4 | Put the spatula on the plate on the countertop.
P01-20240203-132119-40 | Put the spatula on the plate on the countertop.
P01-20240203-132119-400 | Turn the bowl again upright.
P01-20240203-132119-401 | return the food processor bowl onto the food processor, sliding it in and rotating it clockwise to lock it in place.
P01-20240203-132119-402 | pick up the blade and the center piece from the upper shelf.
P01-20240203-132119-403 | slide the blade into the center of the food processor bowl.
P01-20240203-132119-404 | Pick up the packaging with remaining biscuits from the countertop using the left hand.
P01-20240203-132119-405 | Peel more of the packaging using the right hand.
P01-20240203-132119-406 | Turn the packaging on top of the food processor bowl upside down so the remaining biscuits will fall into the bowl.
P01-20240203-132119-407 | shaking the packages to help the biscuits fall.
P01-20240203-132119-408 | Pick up the lid of the food processor from the upper shelf.
P01-20240203-132119-409 | Close the food processor by placing the lid and turning it clockwise to lock it in place.
P01-20240203-132119-410 | Turn the food processor on by turning the dial, rotating it clockwise using the right hand.
P01-20240203-132119-412 | Increase the speed of the food processor by turning the dial further clockwise using the right hand.
P01-20240203-132119-414 | slow the food processor by turning the dial one notch counterclockwise.
P01-20240203-132119-415 | Turn the food processor off by rotating the handle counterclockwise.
P01-20240203-132119-416 | Open the lid of the bin.
P01-20240203-132119-417 | Throw the empty packaging into the bin.
P01-20240203-132119-418 | Close the lid.
P01-20240203-132119-419 | Open the food processor by holding the lid and rotating it counterclockwise.
P01-20240203-132119-420 | hit the lid on the edge of the food processor bowl to drop any of the fine biscuits that stuck to it, into the bowl.
P01-20240203-132119-422 | pick up the blade by sliding it out.
P01-20240203-132119-423 | also hit the plastic piece and the blade on the edge of the food processor to drop any of the biscuits into the bowl that are stuck to it.
P01-20240203-132119-425 | Unlock the food processor bowl by rotating it counterclockwise, holding it with both hands.
P01-20240203-132119-426 | Lift the bowl.
P01-20240203-132119-427 | shake the bowl to move the biscuits inside it to help in pouring the biscuits later.
P01-20240203-132119-428 | Pick up the glass from the other white bowl to weigh a second glass of biscuits.
P01-20240203-132119-429 | Pour biscuits from the bowl into the glass, holding the glass with the left hand, holding the food processor bowl with the right hand and tilting it for the biscuits to fall into the glass.
P01-20240203-132119-430 | measure a second glass of biscuits and then turn the glass upside down for the biscuit to fall into the big bowl.
P01-20240203-132119-431 | Turn the glass upright.
P01-20240203-132119-432 | hit the food processor bowl on the edge of the glass so the remaining biscuits will fall into the glass.
P01-20240203-132119-433 | turn the glass upside down for these biscuits to fall into the white bowl.
P01-20240203-132119-434 | Turn the glass upright.
P01-20240203-132119-435 | Place the glass in the bowl to measure further biscuits later.
P01-20240203-132119-436 | return the food processor bowl into the food processor, sliding it in place and then locking it by turning it clockwise.
P01-20240203-132119-438 | Pick up the blade from the countertop.
P01-20240203-132119-439 | Insert the blade into the food processor bowl, sliding it in the center piece.
P01-20240203-132119-440 | Pick up the second packaging of biscuits from the multi-package plastics, holding the multi-package plastic with the right hand and the inner package with the left hand and pulling it out.
P01-20240203-132119-442 | open the biscuit packaging, holding it with the left hand, then finding the end that can be pinched and peeled, pinching it and peeling it with the right hand.
P01-20240203-132119-443 | As soon as the package is opened, one biscuit falls off the package onto the countertop.
P01-20240203-132119-444 | Pick up the biscuit that has fallen on the counter top using the right hand.
P01-20240203-132119-445 | throw the biscuit that has fallen onto the countertop into the food processor bowl.
P01-20240203-132119-446 | Place the packaging on top of the food processor bowl and turn it upside down for the biscuits to start falling into the bowl.
P01-20240203-132119-447 | When the food processor bowl is mostly full, tilt the package upright.
P01-20240203-132119-449 | Distribute the biscuit slightly inside the bowl to spread evenly.
P01-20240203-132119-450 | Pick up another biscuit that has fallen further into the countertop using the left hand.
P01-20240203-132119-451 | open the lid of the food waste bin.
P01-20240203-132119-452 | throw this biscuit into the bin as it probably has fallen into part of the countertop that's not so clean.
P01-20240203-132119-453 | Release the lid of the food waste bin to allow it to close.
P01-20240203-132119-454 | pick up the lid of the food processor from the upper shelf.
P01-20240203-132119-455 | Close the food processor by placing the lid on it and rotating it clockwise to lock it in place.
P01-20240203-132119-456 | Turn the food processor by rotating the dial clockwise using the right hand.
P01-20240203-132119-458 | Increase the speed of the food processor by turning the dial further, clockwise.
P01-20240203-132119-459 | Decrease the speed by turning the dial again counterclockwise one notch.
P01-20240203-132119-460 | Switch the food processor off by turning the dial counterclockwise.
P01-20240203-132119-462 | Turn on the food processor by turning the dial clockwise, using the right hand.
P01-20240203-132119-463 | Increase the speed of the processor by turning the dial again one notch clockwise.
P01-20240203-132119-49 | Cover the pot containing the soup with the lid. This lid fits.
P01-20240203-132119-5 | pick up the kettle from its base using the right hand.
P01-20240203-132119-50 | Adjust the heat, lowering it, turning the knob using the right hand counterclockwise.
P01-20240203-132119-56 | Close the bag of flour by folding its top multiple times using both hands.
P01-20240203-132119-6 | Pour hot water from the kettle onto the pot, until it covers, the water covers the carrot and the onions fully.
P01-20240203-132119-67 | Pick up the box of chicken stock from the countertop using the right hand.
P01-20240203-132119-68 | Close the box by folding its top in.
P01-20240203-132119-69 | Open the fridge.
P01-20240203-132119-7 | Put down the kettle back on its base.
P01-20240203-132119-70 | Put the box of chicken stock on the second shelf of the door of the fridge using the left hand, allowing it to slide in.
P01-20240203-132119-71 | Close the fridge.
P01-20240203-132119-8 | Pick up the spatula from the plate on the countertop.
P01-20240203-132119-9 | adjust the heat, turning it higher by rotating the knob clockwise.
