P01-20240204-121042-1 | open the fridge
P01-20240204-121042-59 | throw the pit into the food waste bin
P01-20240204-121042-60 | put the date both halves together into the second bowl
P01-20240204-121042-61 | pick up a date from the first bowl
P01-20240204-121042-62 | break the date into two halves by holding the date with both hands and tearing it apart
P01-20240204-121042-63 | remove the pit
P01-20240204-121042-64 | throw the pit into the food waste bin
P01-20240204-121042-65 | put the date that has been pitted into the second bowl
P01-20240204-121042-66 | pick up a date from the first bowl
P01-20240204-121042-67 | break the date into two halves by holding the date with both hands and tearing it apart
P01-20240204-121042-68 | remove the pit
P01-20240204-121042-69 | throw the pit into the food waste bin
P01-20240204-121042-70 | put the pitted date into the second bowl
P01-20240204-121042-71 | pick a date from the first bowl
P01-20240204-121042-72 | break the date into two halves
P01-20240204-121042-73 | remove the pit
P01-20240204-121042-74 | put the pitted date into the second bowl
P01-20240204-121042-75 | throw the pit into the food waste bin
P01-20240204-121042-76 | pick up a date from the first bowl
P01-20240204-121042-77 | break the date into two halves
P01-20240204-121042-78 | remove the pit from the date
P01-20240204-121042-79 | throw the pit into the food waste bin
P01-20240204-121042-80 | put the pitted dates into the bowl
P01-20240204-121042-81 | pick up a date from the first bowl
P01-20240204-121042-82 | break the date into two halves
P01-20240204-121042-83 | remove the pit from the date
P01-20240204-121042-84 | throw the pit into the food waste bin
P01-20240204-121042-85 | put the pitted date into the second bowl
P01-20240204-121042-86 | pick up a date from the first bowl
P01-20240204-121042-87 | break the date into two halves
P01-20240204-121042-88 | put the half that doesn't have the pit into the second bowl
P01-20240204-121042-89 | remove the pit from the second half
P01-20240204-121042-91 | put the second half of the date now pitted it into the second bowl
P01-20240204-121042-90 | throw the pit in the food waste bin
P01-20240204-121042-92 | pick up a date from the first bowl
P01-20240204-121042-93 | break the date into two halves
P01-20240204-121042-94 | put one half that doesn't have the pit into the second bowl
P01-20240204-121042-95 | remove the pit
P01-20240204-121042-96 | throw the pit into the food waste bin
P01-20240204-121042-97 | put the second half into the second bowl
P01-20240204-121042-98 | pick up a date from the first bowl
P01-20240204-121042-99 | break the date into two halves
P01-20240204-121042-101 | remove the pit
P01-20240204-121042-100 | remove one part of the date and throw it into bin
P01-20240204-121042-102 | throw the pit into the food waste bin
P01-20240204-121042-103 | put the pitted date into the second bowl
P01-20240204-121042-104 | pick up a date from the first bowl
P01-20240204-121042-105 | break the date into two halves
P01-20240204-121042-106 | remove the end of the date and throw it in the bin
P01-20240204-121042-107 | remove the pit
P01-20240204-121042-108 | throw the pit into the food waste bin
P01-20240204-121042-109 | put the pitted date into the second bowl
P01-20240204-121042-110 | pick up a date from the first bowl
P01-20240204-121042-111 | break the date into two halves
P01-20240204-121042-112 | remove the pit
P01-20240204-121042-113 | throw the pit into the second bowl this is an error
P01-20240204-121042-114 | remove the end of the date and throw it in the food waste bin
P01-20240204-121042-115 | realizing the error pick the pit from the second bowl where it was thrown in correctly
P01-20240204-121042-116 | throw the pit into the food waste bin
P01-20240204-121042-117 | put the pitted date into the second bowl
P01-20240204-121042-118 | pick a date from the first bowl
P01-20240204-121042-119 | break the date into two halves
P01-20240204-121042-120 | remove the pit
P01-20240204-121042-121 | throw the pit into the food waste bin
P01-20240204-121042-122 | put the pitted date into the second bowl
P01-20240204-121042-123 | pick a date from the first bowl
P01-20240204-121042-124 | break the date into two halves
P01-20240204-121042-125 | remove the end of the date and throw it into the food waste bin
P01-20240204-121042-126 | remove the pit
P01-20240204-121042-127 | throw the pit into the food waste bin
P01-20240204-121042-128 | put the pitted date into the second bowl
P01-20240204-121042-129 | pick up a date from the first bowl
P01-20240204-121042-130 | break the date into two halves
P01-20240204-121042-131 | remove the pit
P01-20240204-121042-132 | throw the pit into the food waste bin
P01-20240204-121042-133 | put the pitted date in the second bowl
P01-20240204-121042-134 | pick the date from the first bowl
P01-20240204-121042-135 | break the date into two halves
P01-20240204-121042-136 | remove the pit
P01-20240204-121042-137 | throw the pit into the food waste bin
P01-20240204-121042-138 | put the pitted date in the second bowl
P01-20240204-121042-139 | pick up the first bowl that has now been emptied from dates from the countertop it has some water out of the washing of the dates
P01-20240204-121042-140 | turn the bowl upside down on top of the sink so all the water inside it falls out
P01-20240204-121042-141 | put the empty bowl which had been filled with unpitted dates before on the countertop
P01-20240204-121042-142 | open the upper cupboard
P01-20240204-121042-143 | move one glass on the second shelf of the cupboard to access what's behind it by sliding it slightly to the left on the shelf
P01-20240204-121042-144 | pick up a glass from the second shelf using the right hand
P01-20240204-121042-145 | put the glass next to the bowl with pitted dates
P01-20240204-121042-146 | take a handful of dates from the second bowl then return it to the bowl changing my mind as i need to measure the dates
P01-20240204-121042-147 | pick up the empty glass with the right hand and the bowl filled with dates in the left hand together from the countertop
P01-20240204-121042-148 | put the glass on the scale to weigh the dates
P01-20240204-121042-149 | press the button on the scale to start it on
P01-20240204-121042-150 | put the bowl on the counter top next to the scale
P01-20240204-121042-151 | press the button on the right hand side of the scale to change the measurement to grams
P01-20240204-121042-152 | pick up a handful of pitted dates from the bowl
P01-20240204-121042-153 | throw the pitted dates one by one into the glass
P01-20240204-121042-154 | pick up one more date from the bowl and put it in the glass
P01-20240204-121042-155 | move two more dates from the bowl to the glass
P01-20240204-121042-156 | move a few more pitted dates from the bowl to the glass
P01-20240204-121042-157 | move a few more dates from the bowl to the glass and press them in to squeeze them into the glass
P01-20240204-121042-158 | move a few more dates from the bowl to the glass
P01-20240204-121042-159 | having filled the glass read the measurement
P01-20240204-121042-160 | pick up the empty bowl from the countertop
P01-20240204-121042-161 | turn the bowl upside down on top of the sink to drop any liquid that's inside it
P01-20240204-121042-162 | pour all the dates that are inside the glass into the bowl realizing the glass is too small to measure by turning the glass upside down on top of the bowl
P01-20240204-121042-163 | put down the glass with already weighed dates on the countertop
P01-20240204-121042-164 | return the glass to the scale
P01-20240204-121042-165 | pick up the pen from the notepad
P01-20240204-121042-166 | write the measurement of the first part of the dates that had already been weighed before starting to weigh the remaining dates
P01-20240204-121042-167 | write the word dates next to the measurement to know what the measurement is about
P01-20240204-121042-168 | put down the pen on the note paper
P01-20240204-121042-169 | move pitted dates from the bowl to the glass
P01-20240204-121042-170 | move a few more dates from the bowl to the glass
P01-20240204-121042-171 | move the remaining dates from the bowl to the glass
P01-20240204-121042-172 | pick up the bag of dates from the countertop i need more dates
P01-20240204-121042-173 | gather all the remaining dates from the plastic bag by holding the bag with the left hand inserting the right hand into the bag and gathering all the scattered dates in the bag
P01-20240204-121042-174 | open the tap
P01-20240204-121042-175 | wash the dates by using both hands holding the dates and scrubbing the dates against one another,under the water
P01-20240204-121042-176 | close that tap
P01-20240204-121042-177 | shake the hands containing the dates on top of the sink to drop an excess liquid some of the action is off-screen
P01-20240204-121042-178 | put two dates from the right hand into the empty bowl
P01-20240204-121042-179 | put the dates from the left hand into the empty bowl
P01-20240204-121042-180 | pick up the bowl from the countertop
P01-20240204-121042-181 | put the bowl next to the food waste bin as they need to be pitted
P01-20240204-121042-182 | pick up one date from the bowl
P01-20240204-121042-183 | break the date into two halves by holding the date with both hands and pulling them away to break into two halves
P01-20240204-121042-184 | remove the pit
P01-20240204-121042-185 | throw the pit into the food waste bin
P01-20240204-121042-186 | put the pitted date back into the same bowl
P01-20240204-121042-187 | pick up a non-pitted date
P01-20240204-121042-188 | break the date into two halves by holding the date with both hands and pulling them away to break into two halves
P01-20240204-121042-189 | remove the pit
P01-20240204-121042-190 | throw the pit into the food waste bin
P01-20240204-121042-191 | put the pitted date back into the bowl
P01-20240204-121042-192 | pick up a non pitted date
P01-20240204-121042-193 | break the date into two halves
P01-20240204-121042-194 | remove the pit
P01-20240204-121042-195 | throw the pit into the food waste bin
P01-20240204-121042-196 | return the pitted date into the bowl
P01-20240204-121042-197 | pick up an unpitted date
P01-20240204-121042-198 | break the date into two halves by holding the date with both hands and pulling them away to break into two halves
P01-20240204-121042-199 | remove the pit
P01-20240204-121042-200 | throw the pit into the food waste bin
P01-20240204-121042-201 | return the pitted date into the bowl
P01-20240204-121042-202 | pick up an unpitted date
P01-20240204-121042-203 | break the date into two halves
P01-20240204-121042-204 | remove the pit
P01-20240204-121042-205 | throw the pit into the food waste bin
P01-20240204-121042-206 | return the pitted date into the bowl
P01-20240204-121042-207 | carry the board now only containing pitted dates from the countertop
P01-20240204-121042-208 | pick up one pitted date from the bowl
P01-20240204-121042-209 | put the date into the glass,to measure it
P01-20240204-121042-211 | pick up the glass from the scale
P01-20240204-121042-212 | tilt the glass on top of the bowl putting all the dates back into the bowl to weigh them all again
P01-20240204-121042-213 | press the button on the scale to switch it on
P01-20240204-121042-214 | put the glass back on the scale
P01-20240204-121042-210 | as the scale has been switched off the second part of the measuring needs to be redone
P01-20240204-121042-215 | move one date from the bowl to the glass
P01-20240204-121042-216 | move another date from the bowl to the glass
P01-20240204-121042-217 | move a handful of pitted dates from the bowl to the glass
P01-20240204-121042-218 | move a handful of dates from the bowl to the glass
P01-20240204-121042-219 | move a handful of dates from the bowl to the glass
P01-20240204-121042-220 | move one date from the bowl to the glass pushing it in
P01-20240204-121042-221 | move a few dates from the bowl to the glass
P01-20240204-121042-222 | move the final date from the bowl to the glass
P01-20240204-121042-223 | open the tap
P01-20240204-121042-224 | rinse both hands by scrubbing them against one another under the water
P01-20240204-121042-225 | close the tap
P01-20240204-121042-226 | shake both hands on top of the sink to drop excess liquid
P01-20240204-121042-227 | dry both hands while holding the edge of the towel that's on the handrail of the oven and drying both hands
P01-20240204-121042-228 | pick up the pen
P01-20240204-121042-229 | write the second measurement of dates on the notepad next to the first measurement. Together they form the amount of dates added to the recipe
P01-20240204-121042-230 | put the pen back on the notebook
P01-20240204-121042-231 | pick up the glass from the scale filled with pitted dates
P01-20240204-121042-232 | pour the pitted dates from the glass into the bowl because the glass is mostly full and this will be piled on top of the already available dates in the bowl the left hand is acting as a barrier or support so the dates don't fall off and pile in the plate
P01-20240204-121042-233 | pick up two dates that have fallen onto the countertop and put them on the bowl
P01-20240204-121042-234 | put the empty glass on the countertop next to the sink to be washed
P01-20240204-121042-235 | close the food waste bin using the left hand side by pushing its lid
P01-20240204-121042-236 | pick up the bowl with pitted dates from the countertop holding it with both hands
P01-20240204-121042-237 | put the bowl on the counter top next to the hob
P01-20240204-121042-238 | pick up the empty plastic bag from the countertop
P01-20240204-121042-239 | crumple the plastic bag that's empty
P01-20240204-121042-240 | open the trash bin
P01-20240204-121042-241 | throw the plastic bag using the right hand
P01-20240204-121042-242 | close the trash bin. This action is off screen
P01-20240204-121042-243 | open the first drawer
P01-20240204-121042-244 | pick up a wooden spatula from the cutlery tray in the first drawer
P01-20240204-121042-245 | close the drawer
P01-20240204-121042-246 | put the spatula on the countertop next to the hob
P01-20240204-121042-247 | switch on the bottom left burner on the hob by pressing and holding the dial and rotating it counterclockwise
P01-20240204-121042-248 | pick up the spatula from the countertop
P01-20240204-121042-249 | move the block of butter around the pot by holding it with the spatula moving the spatula around so the butter moves around the pot
P01-20240204-121042-250 | put down the spatula on the countertop
P01-20240204-121042-251 | pick up the food processor bowl from the drainer using the right hand holding it from its handle
P01-20240204-121042-252 | turn the bowl to point upright
P01-20240204-121042-253 | shake the bowl on top of the drainer to drop any water stuck to its surface
P01-20240204-121042-254 | pick up a plastic piece of the food processor from the drainer
P01-20240204-121042-255 | put the food processor bowl on the food processor motor by sliding it around the center from the top and then locking it in place.
P01-20240204-121042-256 | pick up the food processor from the upper shelf holding it using both hands. While moving, the mesh with two oranges actually falls from the top shelf to the countertop this is an unintentional motion
P01-20240204-121042-257 | put the food processor on the countertop next to the socket
P01-20240204-121042-258 | plug the food processor into the socket by finding the end of the wire holding the plug putting it in front of the socket and pushing it in place using the left hand
P01-20240204-121042-259 | move around the room looking for something which i can't find
P01-20240204-121042-260 | Pick up the wooden spatula from the counter top
P01-20240204-121042-261 | move the butter block around the pot by holding the wooden spatula on top of the butter and moving the butter using the spatula
P01-20240204-121042-262 | adjust the temperature on the hob by holding the dial and rotating it counterclockwise to decrease the temperature
P01-20240204-121042-263 | put the spatula on the countertop
P01-20240204-121042-264 | open the cupboard by pulling it out
P01-20240204-121042-265 | close the cupboard
P01-20240204-121042-266 | lift the lid inside the sink looking what's under it then return it to place
P01-20240204-121042-267 | lift a plate next to the sink to look what's under it then return it to place
P01-20240204-121042-268 | lift the towel that's on the countertop by pulling it up looking what's under it then return it to place by dropping it back to the countertop
P01-20240204-121042-269 | continue looking around the room
P01-20240204-121042-271 | put the pan to the side so that in the drainer so that i can access the plate
P01-20240204-121042-270 | lift a pan that is on the drainer to look what's under it finally i can find the blade
P01-20240204-121042-272 | pick up the blade of the food processor by holding it carefully from the plastic center avoiding the blades from the drainer
P01-20240204-121042-273 | dry the plate using the towel that is on the handrail on the oven by holding the edge of the towel and carefully drying the plate
P01-20240204-121042-274 | pick up a plastic center piece of the blade from the counter top using the right hand
P01-20240204-121042-275 | turn the blade upright
P01-20240204-121042-276 | insert the center piece into the middle of the blade the plastic component by pushing it in and twisting to lock it in place
P01-20240204-121042-277 | insert the blade with its center piece into the middle of the food processor bowl,rotating it to the right to lock it in place
P01-20240204-121042-278 | pick up an already opened package with biscuits from the shelf under the countertop
P01-20240204-121042-279 | open the package by holding it with the right hand and unfolding its top with the left hand
P01-20240204-121042-280 | Shake the package of biscuits holding it with the right hand, shaking it so that the biscuits inside it fall inside the food processor bowl, having positioned it on top of the bowl.
P01-20240204-121042-281 | two biscuits fall out of the bowl and onto the countertop during this process
P01-20240204-121042-282 | distribute the biscuits inside the bowl by pushing the tower of biscuits so some of the biscuits fall into the bowl
P01-20240204-121042-283 | pick up the two biscuits that have fallen on the countertop using the right hand
P01-20240204-121042-284 | throw the two biscuits also inside the food processor bowl
P01-20240204-121042-285 | crumple the empty plastic packaging of biscuits having now been emptied of all biscuits inside it in order to throw it away
P01-20240204-121042-286 | open the food waste bin
P01-20240204-121042-287 | throw the plastic packaging, it doesn't automatically go in so catch it and throw it again into the food waste bin
P01-20240204-121042-288 | close the food waste bin, this action is off screen
P01-20240204-121042-289 | pick up the wooden spatula from the countertop
P01-20240204-121042-290 | stir the already melted butter inside the pot using the spatula by moving it in circular motions clockwise
P01-20240204-121042-291 | pick up the bowl with pitted dates from the countertop using the right hand
P01-20240204-121042-292 | tilt the bowl slowly on top of the pot so all pitted dates fall inside the pot with butter
P01-20240204-121042-293 | put the empty bowl back on the countertop
P01-20240204-121042-294 | stir the dates inside the pot with the butter trying to coat all the dates with butter using the spatula held in the right hand to move the dates around and holding the pot's handle with the left hand to steady it
P01-20240204-121042-295 | hit the spatula against the rim of the pot to drop any dates that are stuck to it into the pot
P01-20240204-121042-296 | Put the spatula inside the empty bowl. The spatula has been touching dates so it's probably sticky so best not to put it back on the counter top. The bowl is there to just support the spatula which will be used later.
P01-20240204-121042-297 | press the timer on the panel of the oven to set the timer
P01-20240204-121042-298 | press the button to increase the time until the set time by pressing it repeatedly until the time is set
P01-20240204-121042-299 | pick up a new packet of biscuits from the upper shelf using the right hand
P01-20240204-121042-300 | rotate the packet of biscuits around both hands to check where the best place to open it from is
P01-20240204-121042-301 | put the packet of biscuits standing upright on the countertop
P01-20240204-121042-302 | open the packet of biscuit by holding the two sides from one end using both hands and pulling away so the packet opens
P01-20240204-121042-303 | remove one of the two packets of biscuit inside the big packaging using the right hand
P01-20240204-121042-304 | put one of the packets of biscuits in the shelf under the countertop, this won't be used
P01-20240204-121042-305 | pick the second packet of biscuits from the big packaging holding the packaging with the left hand and pulling this plastic packaging using the right hand
P01-20240204-121042-306 | crumple the package of biscuits that's now empty
P01-20240204-121042-307 | open the food waste bin
P01-20240204-121042-308 | throw the crumpled plastic packaging into the waste bin
P01-20240204-121042-309 | close the waste bin this action is off screen
P01-20240204-121042-310 | pick up the wooden spatula that's resting on the plate on the countertop
P01-20240204-121042-311 | stir the dates inside the pot using the spatula moving the dates around basically getting the one to the bottom to the top and the other way around while holding both the handle of the pot and the plastic package with the left hand
P01-20240204-121042-312 | hit the spatula against the rim of the pot to drop any excess dates on it
P01-20240204-121042-313 | rest the spatula again on the bowl on the countertop
P01-20240204-121042-314 | turn the biscuit packaging around to check where best to open it from
P01-20240204-121042-315 | open the packaging by holding the edge of the strip that allows it to open pinching it with the thumb and the index finger of the right hand and then pulling away so the strip opens around the edge of the packaging supporting the packaging with the left hand
P01-20240204-121042-316 | lift the end of the packaging to access the biscuits inside using the right hand
P01-20240204-121042-317 | drop two biscuits from the packaging into the food processor bowl
P01-20240204-121042-318 | pick one biscuit from the biscuit packaging and throw it into the food processor bowl
P01-20240204-121042-319 | using the thumb of the left hand that's holding the packaging push a few biscuits out of the packaging by inserting the thumb under them and pushing them up
P01-20240204-121042-320 | pick four biscuits from the packaging using the right hand and throw them in the food processor bowl
P01-20240204-121042-321 | put the packaging with the remaining biscuits on the countertop standing upright using the right hand
P01-20240204-121042-322 | pick the lid of the food processor from the upper shelf using the right hand
P01-20240204-121042-323 | close the food processor by putting the lid in place and rotating it clockwise to lock it in place
P01-20240204-121042-324 | switch on the food processor by turning the dial on its motor using the right hand side clockwise
P01-20240204-121042-325 | hold the top of the lid with the right palm and the lid with the left hand to support the food processor while it's operating
P01-20240204-121042-326 | remove the left hand from the lid of the processor keeping only the right hand
P01-20240204-121042-327 | increase the speed of the food processor by turning the dial on the motor clockwise using the left hand
P01-20240204-121042-328 | decrease the speed of the food processor by turning the dial using the left hand counter-clockwise
P01-20240204-121042-329 | switch off the food processor by turning the dial on the motor of the food processor using the left hand counterclockwise
P01-20240204-121042-330 | look inside the food processor once it settles to check how soft the biscuits have been crumbled into
P01-20240204-121042-331 | turn on the food processor by turning the dial on the motor using the left hand clockwise, the biscuits need to be broken into smaller pieces
P01-20240204-121042-332 | switch off the food processor by turning the dial on the motor counterclockwise using the left hand
P01-20240204-121042-333 | open the lower cupboard
P01-20240204-121042-334 | pick a white plastic bowl from the upper shelf of the cupboard using the right hand
P01-20240204-121042-335 | put the bowl on the countertop
P01-20240204-121042-336 | pick an empty glass from the countertop using the right hand
P01-20240204-121042-337 | place the glass inside the bowl to use it to measure the biscuits
P01-20240204-121042-338 | move an empty bowl across the table top to get it further from the working place
P01-20240204-121042-339 | move the chopping board with the notepad and the pen right on the countertop sliding it across to get it away from the working space
P01-20240204-121042-340 | pick up the scale from the countertop
P01-20240204-121042-341 | lift the bowl with the glass from the countertop
P01-20240204-121042-342 | put the scale on the counter top
P01-20240204-121042-343 | put the bowl with the glass inside it on the countertop
P01-20240204-121042-344 | turn on the scale to start the weighing of the biscuits
P01-20240204-121042-345 | open the food processor by unlocking the lid turning it counterclockwise and lifting it up
P01-20240204-121042-346 | hit the sides of the lid using the left hand while turning it around to drop any biscuits that are stuck to the lid into the food processor bowl
P01-20240204-121042-347 | shake the top of the lid by moving the plastic part up and down to drop any biscuits that are stuck inside the tower inside the lid into the bowl
P01-20240204-121042-348 | put the lid on the countertop
P01-20240204-121042-349 | pick up the blade from the food processor bowl using the right hand
P01-20240204-121042-350 | hit the blade against the rim of the food processor bowl to drop any biscuits that are stuck into it into the bowl
P01-20240204-121042-351 | put the blade on the countertop
P01-20240204-121042-352 | pick up the food processor bowl by rotating it counterclockwise to unlock it then lifting it up
P01-20240204-121042-353 | shake the food processor bowl to settle the biscuits inside it
P01-20240204-121042-354 | lift the food processor bowl
P01-20240204-121042-355 | tilt the food processor bowl on top of the plastic bowl with the glass inside it to pour biscuits from the food processor bowl into the glass
P01-20240204-121042-356 | fill the glass with crumbled biscuits measuring one full glass of biscuits
P01-20240204-121042-357 | turn the food processor upside down and tap it on the side to drop any biscuit stuck to it inside the bowl
P01-20240204-121042-358 | pick up the pen from the notepad
P01-20240204-121042-359 | write the word biscuits to take its measure, and write the measurement until now
P01-20240204-121042-361 | turn the food processor's bowl upright
P01-20240204-121042-360 | put down the pen on the notepad
P01-20240204-121042-362 | put the food processor's bowl on the counter top
P01-20240204-121042-363 | press the button on the socket to switch it off using the right hand index finger
P01-20240204-121042-364 | unplug the food processor by removing the plug from the socket
P01-20240204-121042-365 | lift the glass from inside the bowl filled with crumbled biscuits
P01-20240204-121042-366 | tilt and turn the glass upside down to empty all the biscuits inside the bowl
P01-20240204-121042-367 | hit the glass on its side shaking it to drop any biscuit that are stuck inside it (fine biscuits) into the bowl
P01-20240204-121042-368 | put the glass on the counter top next to the sink
P01-20240204-121042-369 | pick up the packet containing the remaining biscuits from the countertop using the right hand
P01-20240204-121042-370 | open the first drawer
P01-20240204-121042-371 | pick up one crumpled plastic bag
P01-20240204-121042-372 | flatten the plastic bag and open it
P01-20240204-121042-373 | insert the packet of biscuits inside the plastic bag to store it away
P01-20240204-121042-374 | close the bag by rolling its end around the packet
P01-20240204-121042-375 | put the biscuits inside the plastic bag in the shelf under the countertop to store it away
P01-20240204-121042-376 | pick up the spatula that is resting on the wall on the countertop
P01-20240204-121042-377 | stir the dates that are slowly melting with the butter by turning them upside down inside the pot using the spatula and holding the pot's handle with the left hand to steady it,turning the content of the pot upside down and then pressing with the spatula down to assist the softening and the melting of the dates so turn and tap turn and tap multiple times
P01-20240204-121042-378 | hit the spatula against the rim of the pot
P01-20240204-121042-379 | rest the spatula on the bowl on the countertop
P01-20240204-121042-380 | clap both hands to drop any of the fine biscuits stuck to them
P01-20240204-121042-381 | wear the right glove by holding the glove with the left hand and sliding the right hand inside it
P01-20240204-121042-382 | wear the left glove by holding the glove with the right hand and sliding the left hand inside it
P01-20240204-121042-383 | pick up a spoon from the sink
P01-20240204-121042-384 | pick up a sponge
P01-20240204-121042-385 | pick up the washing up liquid bottle
P01-20240204-121042-386 | turn the bottle upside down to pour washing up liquid onto the sponge positioning the bottle on top of the sponge while pouring
P01-20240204-121042-387 | put down the washing up liquid bottle
P01-20240204-121042-388 | lather the spoon holding the spoon with the left hand and the sponge with the right hand
P01-20240204-121042-389 | pick up a fork from the plate next to the sink
P01-20240204-121042-390 | lather the fork
P01-20240204-121042-391 | pick up a spoon from the bowl next to the sink
P01-20240204-121042-392 | lather the spoon
P01-20240204-121042-393 | put down the sponge on the plate next to the sink
P01-20240204-121042-394 | open the tap
P01-20240204-121042-395 | rinse the cutlery in the left hand that's two spoons and one fork
P01-20240204-121042-396 | close the tap
P01-20240204-121042-397 | shake both hands on top of the sink to drop excess water
P01-20240204-121042-398 | open the dishwasher by pushing the door down
P01-20240204-121042-399 | open the top drawer containing the cutlery tray
P01-20240204-121042-400 | put the spoon in the cutlery tray by slotting it into one of the slots
P01-20240204-121042-401 | put the fork into the cutlery tray by putting it in a slot
P01-20240204-121042-402 | move one knife in the cutlery tray from one slot to the other
P01-20240204-121042-403 | put the knife in the cutlery tray by putting it on one of the slots
P01-20240204-121042-404 | pick up a fork from the counter top
P01-20240204-121042-405 | put this fork in the cutlery tray by adding it to a slot
P01-20240204-121042-406 | pick up a lid from the sink
P01-20240204-121042-407 | pick up the sponge
P01-20240204-121042-408 | lather the lid,from one of the surfaces then around the rim then from the top surface
P01-20240204-121042-409 | put down the sponge
P01-20240204-121042-410 | open the tap
P01-20240204-121042-411 | rinse the lid
P01-20240204-121042-412 | close the tap
P01-20240204-121042-413 | put the lid on the drainer
P01-20240204-121042-414 | pick up a strainer from the sink
P01-20240204-121042-415 | pick up a sponge
P01-20240204-121042-416 | lather the strainer
P01-20240204-121042-417 | put down the sponge
P01-20240204-121042-418 | open the tap
P01-20240204-121042-419 | rinse the strainer
P01-20240204-121042-420 | close the tap
P01-20240204-121042-421 | put the strainer on the drainer
P01-20240204-121042-422 | pick up sponge
P01-20240204-121042-423 | pick up plastic spoon from the sink
P01-20240204-121042-424 | lather the plastic spoon
P01-20240204-121042-425 | put down the sponge
P01-20240204-121042-426 | open the tap
P01-20240204-121042-427 | rinse the plastic spoon
P01-20240204-121042-428 | close the tap
P01-20240204-121042-429 | put the plastic spoon on the drainer
P01-20240204-121042-430 | pick up a pot from the sink
P01-20240204-121042-431 | tilt the pot to empty the water that has been soaking it slowly
P01-20240204-121042-432 | pick up a sponge
P01-20240204-121042-433 | lather the pot starting from the inside
P01-20240204-121042-434 | lather the rim and the outside of the pot
