P01-20240202-110250-1 | Open the upper cupboard by holding the handle of the cupboard with the left hand.
P01-20240202-110250-37 | Using both hands, pick up the food processor from the shelf and place on the countertop.
P01-20240202-110250-38 | Hold the plug of the food processor using the right hand.
P01-20240202-110250-39 | using the left hand, unplug another plug from the socket.
P01-20240202-110250-40 | Using the left hand, place the removed plug on the countertop, and using the right hand, plug the food processor's plug into this socket.
P01-20240202-110250-41 | As the plug isn't fitting into the socket, use both hands, the thumbs of both hands, to push the plug correctly into the socket.
P01-20240202-110250-42 | Hold the bowl of the food processor using the left hand and use the right hand to turn the lid of the food processor counterclockwise to remove it from the bowl.
P01-20240202-110250-43 | Put down the lid on the shelf using the right hand.
P01-20240202-110250-44 | Open the lower sliding cupboard using the left hand.
P01-20240202-110250-45 | Move some plastic parts inside the cupboard, looking for something.
P01-20240202-110250-46 | Pick up the juicer part from the cupboard using the right hand.
P01-20240202-110250-47 | Close the cupboard by sliding it using the left hand.
P01-20240202-110250-48 | A box seems to be stuck, thus not allowing the cupboard to close fully. Move the box using the left hand to allow the cupboard to close.
P01-20240202-110250-49 | Continue sliding the cupboard using the left hand to close it.
P01-20240202-110250-50 | Hold the handle of the cupboard using the left hand and push it to close it fully.
P01-20240202-110250-51 | Place the juicer part on top of the bowl of the food processor.
P01-20240202-110250-52 | Turn the juicer part clockwise to lock it in place in the food processor. Use both hands to rotate the juicer part.
P01-20240202-110250-53 | Lift the cone from the juicer and put it back in its place, rotating it clockwise to lock it in place.
P01-20240202-110250-54 | Rotate the dial on the food processor, realizing it doesn't work, because the power plug is switched off.
P01-20240202-110250-55 | Switch the button of the socket using the left hand. This enables the power to access the food processor so as to start it.
P01-20240202-110250-56 | Turn the dial of the food processor using the right hand to start it on, checking that it works. You can hear the sound of the machine confirming that it's correctly now plugged in and working.
P01-20240202-110250-57 | Turn the dial counterclockwise to stop the operation of the food processor having confirmed it is correctly operating.
P01-20240202-110250-58 | Pick up one orange using the right hand from the countertop.
P01-20240202-110250-59 | Place the orange on the chopping board.
P01-20240202-110250-60 | Open the drawer using the right hand.
P01-20240202-110250-61 | Pick up a bunch of recyclable green bags using the left hand from the drawer.
P01-20240202-110250-62 | Hold the roll of the green recyclable bag using the left hand. With the right hand, pick up the end of the roll and pull the roll outwards to pull one bag out of the roll using the right hand.
P01-20240202-110250-63 | Feel through the flattened part of the roll to check where the breaking point is.
P01-20240202-110250-64 | Hold the roll with the left hand. With the right hand, pull one bag out of the roll by tearing it at the right breaking point.
P01-20240202-110250-65 | Return the green roll of recyclable bags into the drawer using the left hand.
P01-20240202-110250-66 | Close the drawer using the left hand.
P01-20240202-110250-67 | Using both hands, pull the sides of the flattened green recyclable bag to open it.
P01-20240202-110250-68 | Shake the bag using both hands twice to fully open it.
P01-20240202-110250-69 | Open the food recycling bin's lid using the left hand by lifting it.
P01-20240202-110250-70 | Put the green recyclable bag inside the food recycling bin using both hands and tuck its ends around the rim of the bin.
P01-20240202-110250-71 | Close the lid of the food recycling bin using the right hand by flipping it.
P01-20240202-110250-72 | Using the left hand, hold the panel of the boiler to open it. Using the right hand, push the top end of the panel inwards so it opens outwards.
P01-20240202-110250-73 | Hold the opened panel of the boiler using the left hand.
P01-20240202-110250-74 | Press the button on the boiler to turn the heating on twice.
P01-20240202-110250-75 | Close the panel of the boiler by flipping it upwards and pushing the top side with the right hand to lock it in place.
P01-20240202-110250-76 | hold the mug of coffee with the left hand and rotate it so that the handle is facing to the left side. Then hold the milk frother with the right hand.
P01-20240202-110250-77 | Pick up the milk frother with the right hand from its base.
P01-20240202-110250-78 | Hit the milk frother on the countertop using the right hand to set the milk frothing inside.
P01-20240202-110250-79 | Tilt the milk frother to pour the frothed milk from inside it into the mug which is being held using the left hand.
P01-20240202-110250-80 | Lift and drop the milk-frother slightly using the right hand up and down twice to get rid of all the froth inside it.
P01-20240202-110250-81 | Tilt the milk frothing back upwards and place it on the countertop.
P01-20240202-110250-82 | using the left hand, lift the lid of the box of wooden stirrers using the left hand while holding the cover. Pick up one wooden stirrer from inside the box using the left hand as well.
P01-20240202-110250-83 | Move the wooden stirrer from the left hand to the right hand.
P01-20240202-110250-84 | Using the wooden stirrer, stir the coffee and the frothed milk in the mug using the right hand rotating clockwise. The left hand is holding the mug to steady it while the coffee and the milk froth are being stirred.
P01-20240202-110250-85 | Now stir the coffee and the milk frothing using the wooden stirrer but stirring a counter-clockwise.
P01-20240202-110250-86 | Do one final stirring clockwise and then remove the wooden stirrer from the mug.
P01-20240202-110250-87 | Shake the wooden stirrer using the right hand to get rid of any excess liquid on it.
P01-20240202-110250-88 | using the right hand, open the lid of the trash bin.
P01-20240202-110250-89 | throw the wooden stirrer which is in the right hand inside the bin.
P01-20240202-110250-90 | Close the cover of the trash bin using the right hand. This action occurs off screen, but we can hear it.
P01-20240202-110250-91 | Pick up the milk frother from the countertop using the left hand.
P01-20240202-110250-92 | Open the right handle of the tap using the right hand while holding the milk frother with the left hand under the tap to get water inside it so as to rinse it.
P01-20240202-110250-93 | Move the milk frother under the water tap, the water running, in circular motions to remove the excess froth inside it and rinse it.
P01-20240202-110250-94 | using the right hand index finger clean inside the milk frother.
P01-20240202-110250-95 | Rotate the milk frother downwards to empty all the water from inside it.
P01-20240202-110250-96 | Remove the movable cone from inside the milk frother. This is very dark, so not visible.
P01-20240202-110250-97 | Continue rinsing the milk frother by pouring water inside it and moving it in circular motions.
P01-20240202-110250-98 | using the right hand with two fingers clean the inside of the milk frother.
P01-20240202-110250-99 | Pick up the green sponge using the right hand.
P01-20240202-110250-101 | Using a circular motion, scrub the sponge inside the milk frother, which is being held by the left hand.
P01-20240202-110250-100 | insert the sponge inside the milk frother to scrub it.
P01-20240202-110250-102 | Continue rinsing the milk frother under the water tap using the left hand while returning the green sponge to the counter top using the right hand.
P01-20240202-110250-103 | Pick up the small cone on the right side of the sink to return it inside the milk frother.
P01-20240202-110250-104 | Close the water tap using the right hand.
P01-20240202-110250-105 | Tilt the milk frother using the left hand downwards to empty all the water inside it.
P01-20240202-110250-106 | Return the cone which is in the right hand inside the milk frother.
P01-20240202-110250-107 | Place the milk frother on its base using the right hand.
P01-20240202-110250-108 | Pick up the lid of the milk frother from the countertop and place it on top of the milk frother on the base using the right hand.
P01-20240202-110250-109 | Pick up the end of the towel that is on the handrail of the oven and dry both hands.
P01-20240202-110250-110 | Hold the orange that's on the chopping board using the left hand and pick up the knife from the chopping board using the right hand.
P01-20240202-110250-111 | Using saw-like motion back and forth, cut the orange into two halves using the knife that's being held using the right hand.
P01-20240202-110250-112 | put down the knife on the chopping board using the right hand and pick up one of the two halves of the orange, the left half, using the left hand.
P01-20240202-110250-113 | Flip the orange and place it on the cone of the juice presser, holding it using the right hand.
P01-20240202-110250-114 | Turn the dial of the food processor clockwise to switch it on. The juicer will now start rotating.
P01-20240202-110250-115 | Using the left hand on top of the right hand on top of the orange, press the orange onto the cone of the juicer.
P01-20240202-110250-116 | Continue pressing and rotating the orange half using the right hand on the cone of the juicer.
P01-20240202-110250-117 | Turn off the food processor by rotating the dial counterclockwise using the left hand.
P01-20240202-110250-118 | Remove the orange half from the juicer, turning it to face the camera to check that all the juice has been removed and only the skin remains.
P01-20240202-110250-119 | Lift the lid of the food recycling bin using the left hand.
P01-20240202-110250-120 | Throw the half orange skin inside the food recycling bin.
P01-20240202-110250-121 | Pick up the second half of the orange from the chopping board using the right hand.
P01-20240202-110250-122 | Flip and place the orange half on the cone of the juicer using the right hand.
P01-20240202-110250-123 | Turn on the food processor using the left hand by rotating the dial clockwise.
P01-20240202-110250-124 | Press the orange half on the cone of the juicer using both hands, right hand on top of the orange half and left hand on top of the right hand, and press downwards.
P01-20240202-110250-125 | Turn off the food processor by rotating the dial using the left hand counter-clockwise.
P01-20240202-110250-126 | Flip the orange half towards the camera to check that all the juice has been removed.
P01-20240202-110250-127 | open the lid of the food recycling bin using the left hand.
P01-20240202-110250-128 | throw the half orange skin inside the food processing bin using the right hand.
P01-20240202-110250-129 | Pick up the second orange from the countertop using the right hand.
P01-20240202-110250-130 | Place the orange on the chopping board.
P01-20240202-110250-131 | Pick up the knife from the chopping board.
P01-20240202-110250-132 | holding the orange using the left hand, slice the orange into two halves using a sewing-like motion of the knife using the right hand.
P01-20240202-110250-133 | Put down the knife on the chopping board.
P01-20240202-110250-134 | Pick up one of the halves of the orange using the left hand and pass it to the right hand.
P01-20240202-110250-135 | Flip the half of the orange using the right hand, place it downwards, facing downwards, on the cone of the juice processor.
P01-20240202-110250-136 | Switch the food processor on using the dial with the left hand rotating it clockwise.
P01-20240202-110250-137 | Press the orange half using both hands, right hand on the orange and left hand on the right hand, pressing it downwards on the cone of the juicer.
P01-20240202-110250-138 | Turn the food processor off by rotating the dial using the left hand counter-clockwise.
P01-20240202-110250-139 | Open the lid of the food recycling bin using the left hand and remove the orange from the cone of the juicer using the right hand.
P01-20240202-110250-140 | throw the half skin orange from the right hand inside the food recycling bin.
P01-20240202-110250-141 | Pick up the second half of the second orange using the right hand from the chopping board.
P01-20240202-110250-142 | Place the half of the orange facing downwards on the cone of the juicer.
P01-20240202-110250-143 | Turn on the food processor by rotating the dial using the left hand clockwise.
P01-20240202-110250-144 | Press the orange half downwards using both hands on the cone of the juicer.
P01-20240202-110250-145 | Turn off the food processor by rotating the dial using the left hand counterclockwise.
P01-20240202-110250-146 | Lift the lid of the food recycling bin using the left hand and rotate the orange skin half in the right hand to check that it's empty.
P01-20240202-110250-147 | throw the half orange skin inside the food processing bin using the right hand.
P01-20240202-110250-148 | Pick up the third orange using the right hand from the countertop.
P01-20240202-110250-149 | Place the orange on the chopping board.
P01-20240202-110250-150 | Pick up the knife using the right hand from the chopping board.
P01-20240202-110250-151 | Holding the orange with the left hand, use the knife with the right hand in a sewing-like motion to cut the orange into two halves.
P01-20240202-110250-152 | Put down the knife on the chopping board.
P01-20240202-110250-153 | Using the right hand, stop one of the halves of the orange from crawling on the counter top.
P01-20240202-110250-154 | Pick up half of the orange using the right hand from the chopping board.
P01-20240202-110250-155 | Place the half of the orange on the cone of the juicer facing downwards using the right hand.
P01-20240202-110250-156 | Turn on the food processor using the left hand by rotating the dial clockwise.
P01-20240202-110250-157 | Press the orange half on the cone of the juicer using both hands.
P01-20240202-110250-158 | Turn off the food processor using the left hand by rotating the dial counterclockwise.
P01-20240202-110250-159 | Rotate the half orange in the right hand towards the camera to check whether all the juice has been removed.
P01-20240202-110250-160 | Rotate back the half orange as some juice is still left, placing it on the cone of the juicer.
P01-20240202-110250-161 | Again, rotate the dial of the food processor to turn it on using the left hand clockwise.
P01-20240202-110250-162 | Turn the food processor off using the left hand by rotating the dial counterclockwise.
P01-20240202-110250-163 | Open the lid of the food recycling bin using the left hand.
P01-20240202-110250-164 | throw the orange half skin into the food processing bin using the right hand.
P01-20240202-110250-165 | Pick up the half orange using the right hand from the chopping board.
P01-20240202-110250-166 | Place the half orange on the cone of the juicer using the right hand facing downwards.
P01-20240202-110250-167 | Turn on the food processing machine using the dial, rotating it clockwise using the left hand.
P01-20240202-110250-168 | Press the half orange on the juicer using both hands.
P01-20240202-110250-169 | Turn the food processor off using the left hand by rotating the dial counterclockwise.
P01-20240202-110250-170 | Lift the orange half, rotating it towards the camera, checking it still has juice, and then place it again, return it to the cone of the juicer.
P01-20240202-110250-171 | Turn on the food processing machine using the left hand by rotating the dial clockwise.
P01-20240202-110250-172 | turn off the food processing machine using the left hand by rotating the dial counterclockwise.
P01-20240202-110250-173 | Remove the orange half skin from the cone of the juicer and shake it to drop excess liquid.
P01-20240202-110250-174 | Open the lid of the food processing machine using the left hand.
P01-20240202-110250-175 | Throw the half orange skin into the food recycling bin using the right hand.
P01-20240202-110250-176 | Pick up the knife from the chopping board using the right hand.
P01-20240202-110250-177 | Using the knife in the right hand, move the remaining content inside the juicer bowl to get any remaining juice to go through the holes. Do that by moving the content of the juicer back and forth using the knife.
P01-20240202-110250-178 | Put the knife on the chopping board using the right hand.
P01-20240202-110250-179 | Remove the cone from the juicer using the right hand.
P01-20240202-110250-180 | Shake the removed cone using the right hand to remove excess liquid.
P01-20240202-110250-181 | Put the cone under the tap nozzle and open the tap to rinse the cone of the juicer, which is being held using the left hand.
P01-20240202-110250-182 | Rinse the cone using both hands under the water running from the tap.
P01-20240202-110250-183 | Pick up the sponge using the right hand.
P01-20240202-110250-184 | Wipe the cone using the sponge.
P01-20240202-110250-185 | Put down the sponge.
P01-20240202-110250-186 | Rinse the cone.
P01-20240202-110250-187 | Turn off the tap.
P01-20240202-110250-188 | Place the cone in the drainer using the left hand.
P01-20240202-110250-189 | Rotate the juicer bowl counterclockwise to release it from the food processing machine.
P01-20240202-110250-190 | Lift the juicer bowl from the food processing machine and shake it to remove excess liquid.
P01-20240202-110250-191 | Open the lid of the food recycling bin using the left hand.
P01-20240202-110250-192 | Throw the remaining content inside the juicer by flipping the juicer on top of the food recycling bin and shaking it so that any excess content inside it would fall into the bin.
P01-20240202-110250-193 | Hit the juicer bowl flipped downwards on the rim of the food recycling bin to get rid of any of its content and throw these inside the food recycling bin.
P01-20240202-110250-194 | Close the food recycling bin's lid.
P01-20240202-110250-195 | Place the juicer bowl under the nozzle of the tap.
P01-20240202-110250-196 | Open the tap so water is running to rinse the juicer bowl.
P01-20240202-110250-197 | Rinse the juicer bowl under the tap using the right hand to distribute and sprinkle water on the various holes of the juicer bowl.
P01-20240202-110250-198 | Rotate the juicer bowl upwards.
P01-20240202-110250-199 | continue rinsing the juicer.
P01-20240202-110250-200 | Close the tap.
P01-20240202-110250-201 | Place the juicer bowl in the drainer using the left hand.
P01-20240202-110250-202 | Pick up the end of the towel that is on the rim of the oven and dry both hands.
P01-20240202-110250-203 | Open the cupboard using the right hand by holding its handle.
P01-20240202-110250-204 | Pick up a glass from the middle shelf of the cupboard using the left hand.
P01-20240202-110250-205 | Rotate the glass in hand so it's pointing upwards.
P01-20240202-110250-206 | Place the glass on the countertop next to the food processing machine using the left hand.
P01-20240202-110250-207 | Rotate the bowl of the food processor counterclockwise to unlock it from the machine using both hands.
P01-20240202-110250-208 | Lift the bowl from the food processing machine using the right hand.
P01-20240202-110250-209 | Pick up the glass from the countertop using the left hand.
P01-20240202-110250-210 | While holding the glass using the left hand, tilt the food processor bowl, which is in the right hand, so that the juice inside it would be poured into the glass that's being held with the left hand.
P01-20240202-110250-211 | Place the glass now filled with orange juice on the countertop next to the coffee machine.
P01-20240202-110250-212 | Place the bowl under the nozzle of the tap.
P01-20240202-110250-213 | Open the cap so water flows to rinse the bowl of the food processor.
P01-20240202-110250-214 | Rinse the food processor.
P01-20240202-110250-215 | Close the tap.
P01-20240202-110250-216 | Pick up the sponge.
P01-20240202-110250-217 | Scrub the inside of the bowl using the sponge to clean it in circular motion of the sponge around its sides.
P01-20240202-110250-218 | Put down the sponge.
P01-20240202-110250-219 | Open the tap.
P01-20240202-110250-220 | Rinse the bowl, which is being held using the left hand, using the water coming from the tap, with the right hand distributing water inside the bowl.
P01-20240202-110250-221 | Turn off the tap.
P01-20240202-110250-222 | Tilt the bowl to empty all the water inside it.
P01-20240202-110250-223 | Rotate the bowl to point downwards and place it on the drainer using the left hand.
P01-20240202-110250-224 | Pick up the end of the towel and dry both hands.
