P01-20240203-123350-1 | Lift the plate that's covering the bowl of yeast to check the progress of the yeast fermentation.
P01-20240203-123350-283 | pick up a second handful of minced meat from the package, studying the package with the left hand and picking the handful of minced meat with the right hand.
P01-20240203-123350-284 | Tear and drop pieces of minced meat, uncooked, from the hands onto the pan.
P01-20240203-123350-285 | Take another handful of minced meat from the package, lifting the whole thing and then taking a piece.
P01-20240203-123350-286 | Tear and drop pieces of minced meat onto the pan using both hands.
P01-20240203-123350-287 | Take another handful of minced meat from the package using the right hand.
P01-20240203-123350-288 | Tear and drop minced meat pieces or strands onto the pan using both hands.
P01-20240203-123350-289 | Take another handful of mincemeat from the package, using the left hand to steady the package and the right hand to take a part.
P01-20240203-123350-29 | Pour a bit of water from the jug into the bowl with mixture. The dough needs a little bit more hydration.
P01-20240203-123350-290 | Tear and drop mincemeat on the pan using both hands.
P01-20240203-123350-291 | Take another handful of minced meat from the package.
P01-20240203-123350-292 | Tear and drop minced meat onto the pan.
P01-20240203-123350-293 | Take another handful of minced meat.
P01-20240203-123350-294 | Tear and drop minced meat onto the pan using both hands.
P01-20240203-123350-295 | Take the last handful of minced meat from the package using the right hand, while using the left hand to steady the package.
P01-20240203-123350-296 | Tear and drop the minced meat onto the pan using both hands.
P01-20240203-123350-298 | Hold the wooden spoon sideways, put the wooden spoon through the minced meat as if slicing it, thus dividing it into even smaller pieces, multiple times going throughout the pan.
P01-20240203-123350-299 | turn the minced meat inside the pan, bringing what's at the bottom to the top, putting what's at the top at the bottom, using the wooden spoon. This way the cooked or slightly cooked minced meat at the bottom of the pan moves up so it doesn't burn and the uncooked minced meat at the top gets the chance to be exposed to the heat.
P01-20240203-123350-300 | continue slicing through the minced meat and turning it multiple times, thus dividing it into more pieces, and also moving the somehow cooked minced meat at the bottom to the top and putting the uncooked closer to the pan. Continue this process until most of the minced meat had been exposed to the bottom of the pan and thus somehow cooked, While doing this, the left hand is holding the handle of the pan and rotating it at times to better access various parts of its content.
P01-20240203-123350-301 | Hit the wooden spoon on the rim of the pan to drop any stuck meat pieces on the pan so that they get cooked.
P01-20240203-123350-303 | Lower the heat, adjusting the knob on the hob by rotating it using the left hand counterclockwise.
P01-20240203-123350-305 | Cover the pan with minced meat using the lid. This allows now the meat to be cooked slowly while covered, on lower heat. Note that the meat had all mostly browned and thus the first process of browning the minced meat has been completed.
P01-20240203-123350-308 | Pick up the plastic package of meat that is now empty to be discarded from the countertop using the left hand.
P01-20240203-123350-31 | Mix the mixture into a dough, moving parts of it from the sides to the center and squeezing parts with fingers.
P01-20240203-123350-311 | Throw the paper that has been gathered and is in the right hand into the trash bin.
P01-20240203-123350-312 | Empty the content of the plastic package by turning it upside down on top of the trash bin, hitting it on the side of the bin, so that any content inside it would fall into the bin.
P01-20240203-123350-313 | tear off the cover of the plastic package.
P01-20240203-123350-314 | Throw the cover into the trash bin.
P01-20240203-123350-315 | Remove the remaining parts still attached to the sides of the package from the cover, by tearing it away.
P01-20240203-123350-316 | throw the torn plastic into the trash bin.
P01-20240203-123350-317 | Throw the full package into the trash bin, having realized it's very difficult to clear it off its cover and use it.
P01-20240203-123350-320 | Pick up a mug made of dark glass from the bottom shelf of the drawer. From the end of the shelf it is behind several mugs, using the right hand.
P01-20240203-123350-324 | Pour some already heated water from the kettle into the glass mug, filling around one fourth of the mug.
P01-20240203-123350-326 | Pick up the box of chicken stock from the door of the fridge, second shelf, using the left hand.
P01-20240203-123350-327 | Turn the box upside down so one stock cube falls from inside the box onto the left hand.
P01-20240203-123350-33 | Pour a little more water into the bowl. The dough still needs more hydration.
P01-20240203-123350-330 | Open the cover of the chicken cube by unfolding the sides of the cover, holding the cube with the left hand and unfolding the sides with the right hand. All four sides.
P01-20240203-123350-333 | Drop the chicken cube inside the mug with hot water to melt it forming some stock using the left hand.
P01-20240203-123350-339 | Pick up a plastic package containing salad from the countertop using the left hand.
P01-20240203-123350-341 | Put the plastic package of salad onto the second shelf of the fridge on top of the package of minced meat in the space previously freed by the other package, sliding it in using the left hand.
P01-20240203-123350-346 | Insert the spoon into the mug with chicken cube and hot water.
P01-20240203-123350-347 | Stir the content of the mug using the spoon to assist in melting the chicken cube with the hot water.
P01-20240203-123350-35 | Continue mixing and kneading the dough.
P01-20240203-123350-350 | Slice the chicken cube inside the mug using the spoon. The spoon is inserted into the cube multiple times to divide it into smaller pieces to assist in it dissolving.
P01-20240203-123350-351 | Stir the content of the mug, which is the pieces of the chicken cube, with the hot water to melt these.
P01-20240203-123350-352 | Again, insert a spoon several times into the mug hitting its bottom to divide any remaining pieces of the chicken cube into smaller pieces to assist in dissolving these.
P01-20240203-123350-353 | Stir the content of the mug to dissolve all the remaining chicken cubes, stirring fast in quick circular motions, clockwise, quickly.
P01-20240203-123350-354 | To dissolve the remaining pieces visible from the chicken cube stock, push these pieces on the surface of the water towards the edge using the spoon, pushing them along the inside wall of the mug to press them and thus assist in dissolving these.
P01-20240203-123350-355 | Continue stirring the content of the mug, using the spoon in circular motions clockwise quickly.
P01-20240203-123350-356 | Once again, push any pieces on the surface of the water towards the sides of the mug, pressing them against the inner wall of the mug or side of the mug to dissolve these.
P01-20240203-123350-357 | Pick up the remaining pieces that could not be dissolved using the spoon from the mug.
P01-20240203-123350-36 | Pick up the bowl with dough.
P01-20240203-123350-364 | Lift the lid off the pan using the left hand.
P01-20240203-123350-366 | Stir the content of the pan using the motions of slicing the pieces into smaller pieces and turning the cooked meat at the bottom at the top, allowing the meat at the top to get closer to the pan multiple times until all the content has been mixed.
P01-20240203-123350-371 | Cover the pan with meat using the lid again to continue cooking it.
P01-20240203-123350-377 | Take one carrot out of the bag of carrots using the left hand.
P01-20240203-123350-38 | Continue kneading and mixing the dough.
P01-20240203-123350-389 | pick up the single carrot from the countertop.
P01-20240203-123350-39 | Knead the dough while turning the bowl. Knead and then turn the bowl slightly clockwise and then knead again and turn again continuously.
P01-20240203-123350-394 | Remove the plastic cover of the peeler by unhooking it from both ends.
P01-20240203-123350-398 | pull away the cover on top of the peeler having finally caught its end. The peeler is being held with the right hand and the cover, the plastic cover, which is transparent and blue using the left hand.
P01-20240203-123350-4 | Pick up the bottle of vegetable oil.
P01-20240203-123350-40 | Open the bag of flour by unfolding its top.
P01-20240203-123350-400 | Throw the plastic cover.
P01-20240203-123350-402 | Pick up the carrot from the countertop using the left hand.
P01-20240203-123350-403 | Hold the carrot with the left hand, peel skin of the carrot by holding the peeler against the carrot using the right hand and sliding it down the length of the carrot to peel it, continuing this several times, while rotating the carrot with the left hand to access all its sides, As the carrot is positioned on top of the plastic bowl, the peel is falling into the bowl.
P01-20240203-123350-405 | Pick up a second carrot from the plastic bag.
P01-20240203-123350-406 | Position the carrot on top of the bowl so the peel falls into the bowl. Again, peel the skin off the carrot by holding the carrot with the left hand, holding the peel with the right hand, and then pushing and sliding the peel along the edge of the carrot to peel it, rotating it with the left hand so all its sides are peeled, continuously sliding the peel across the length of the carrot.
P01-20240203-123350-408 | Pick up the third carrot from the bag.
P01-20240203-123350-409 | Peel the third carrot. Position the carrot on top of the bowl so the peel falls into the bowl. Again, peel the skin off the carrot by holding the carrot with the left hand, holding the peel with the right hand, and then pushing and sliding the peel along the edge of the carrot to peel it, rotating it with the left hand so all its sides are peeled, continuously sliding the peel across the length of the carrot.
P01-20240203-123350-41 | Using the left hand, insert the hand into the bag and take a handful of flour from the bag.
P01-20240203-123350-411 | Pick up the fourth carrot from the bag.
P01-20240203-123350-412 | Peel the fourth carrot. Position the carrot on top of the bowl so the peel falls into the bowl. Again, peel the skin off the carrot by holding the carrot with the left hand, holding the peel with the right hand, and then pushing and sliding the peel along the edge of the carrot to peel it, rotating it with the left hand so all its sides are peeled, continuously sliding the peel across the length of the carrot.
P01-20240203-123350-414 | Pick up the fifth carrot from the bag. The hand needs to access deeper into the bag this time to get this carrot.
P01-20240203-123350-415 | Peel the fifth carrot using the same method.
P01-20240203-123350-418 | Pick up the sixth carrot from the plastic bag using the left hand.
P01-20240203-123350-419 | Peel the sixth carrot in the same way.
P01-20240203-123350-42 | Throw the handful of flour onto the dough mix. The dough is too wet, thus decreasing its wetness.
P01-20240203-123350-422 | Pick up the seventh carrot from the bag using the left hand.
P01-20240203-123350-423 | Peel the seventh carrot using the same method. During peeling this carrot as its shape is different than the others, it's not straight, the peeler is struggling to reach the end of the carrot.
P01-20240203-123350-426 | Try to peel the carrot upside down, moving the peeler against its length. Again, the odd shape of the carrot is making peeling this particular carrot difficult.
P01-20240203-123350-43 | Combine the added flour with the dough by kneading and mixing.
P01-20240203-123350-430 | Pick up the lid of the pan using the left hand. You can see steam coming out of the meat being cooked.
P01-20240203-123350-433 | Stir the meat in the pan by turning it upside down and also moving the wooden spoon inside the meat.
P01-20240203-123350-436 | Pour the stock from the mug to the pan by holding the mug on top of the pan and tilting it for the liquid inside it to pour into the pan and moving the mug around while doing so to spread the water around the pan.
P01-20240203-123350-439 | mix the chicken stock that has been poured into the pan with the pan's content. Some of the chicken stock has not dissolved fully, so it can be visibly seen. So, mixing also that with the meat, holding the handle of the pan with the left hand and moving it, rotating it to access all the pan's content.
P01-20240203-123350-44 | Knead the dough while rotating the bowl clockwise.
P01-20240203-123350-443 | cover the pan again with the lid, allowing it to continue to cook with the left hand, The pan is slightly sliding off the rim, so fixing it carefully to be stable.
P01-20240203-123350-445 | Pick up the eighth carrot from the bag using the right hand
P01-20240203-123350-448 | Peel the eighth carrot in the same way.
P01-20240203-123350-449 | Hold this carrot, turn it 180 degrees and peel its top end, rotating it. This is different to how other carrots have been peeled. This is done in short strokes of the peeler.
P01-20240203-123350-45 | Clear the hand from the stuck dough using the left hand scrape one finger at a time of the right hand to to get rid of the added dough and add it to the mixture
P01-20240203-123350-451 | Pick up the ninth and final carrot from the bag. The right hand has to hold the bag as it's now empty and doesn't have any weight to get the carrot using the left hand from inside it.
P01-20240203-123350-452 | Peel the ninth carrot by holding it, turning it 180 degrees and peeling its top end, rotating it.
P01-20240203-123350-455 | Pick up a very small remaining cut out from the bag using the left hand.
P01-20240203-123350-456 | Peel the last small tenth carrot by hold ing it, turning it 180 degrees and peeling its top end, rotating it
P01-20240203-123350-457 | Rotate the carrot 180 degrees to peel it in the other direction as it's small and struggling to keep hold of it, peeling it in short strokes.
P01-20240203-123350-458 | Rotate again 100 degrees and continue peeling its end.
P01-20240203-123350-46 | Continue kneading the dough, while turning the bowl clockwise.
P01-20240203-123350-461 | Using the left hand, remove the remaining peel stuck to the peeler, which is being held with the right hand, and drop that into the tupperware.
P01-20240203-123350-465 | Pick up the tupperware from the counter top, this action is mostly off screen.
P01-20240203-123350-466 | Shake the tupperware so all the peel inside it are loose and well inside.
P01-20240203-123350-468 | Turn the tupperware on top of the food waste bin to drop all the peel inside it into the bin.
P01-20240203-123350-469 | Hit the tupperware multiple times with the edge of the bin to drop any of the stuck peel inside the tupperware into the bin.
P01-20240203-123350-47 | Scrape the stuck dough on the right hand using the left hand by scraping one finger at a time.
P01-20240203-123350-48 | Continue kneading the dough and turning the bowl clockwise.
P01-20240203-123350-49 | Scrape the stuck dough on the hand using the other hand. One finger at a time.
P01-20240203-123350-55 | Pick up a smaller bowl from the upper shelf of the cupboard. The bowl has a plastic bag inside it.
P01-20240203-123350-56 | Hold the bowl with the left hand, remove the plastic bag from inside the bowl, using the right hand.
P01-20240203-123350-59 | On top of the sink, turn the the bowl upside down to empty some of the pink powder that has fallen inside it.
P01-20240203-123350-6 | Pick up the bottle of olive oil from the shelf.
P01-20240203-123350-60 | Turn the bowl upright and position it under the nozzle of the tap.
P01-20240203-123350-61 | Open the tap.
P01-20240203-123350-62 | Rinse the bowl.
P01-20240203-123350-64 | Open the tap.
P01-20240203-123350-65 | Rinse the bowl again.
P01-20240203-123350-67 | Pick up the end of the white towel of the handrail of the oven and dry the inside of the bowl using the towel. The bowl is held with the left hand and the end of the towel with the right hand, moving it against the inner surface of the bowl.
P01-20240203-123350-69 | Pick up the bottle of oil from the countertop.
P01-20240203-123350-7 | Return the bottle of vegetable oil that's being held in the left hand back on the shelf.
P01-20240203-123350-70 | Open the bottle of oil. The bottle is held with the right hand. Using the left hand, hold the lid and rotate it counterclockwise to open the bottle.
P01-20240203-123350-71 | Hold the cap with the left hand, pour some oil from the bottle into the smaller bowl.
P01-20240203-123350-74 | Using the right hand, spread the oil to the surfaces of the bowl to cover the inside surface, holding the bowl with the left hand to steady it. Oiling the bowl is to make it ready to put the dough inside it.
P01-20240203-123350-75 | Using the right hand, gather the dough so as to pick it up from the bigger bowl.
P01-20240203-123350-76 | Lift the bowl containing the dough and turn it upside down on top of the smaller bowl so as to slide the dough from it to the oiled bowl.
P01-20240203-123350-77 | Slide the dough from the big bowl onto the small oiled bowl to prepare for its fermentation, using the right hand to assist in sliding any stuck parts of the dough.
P01-20240203-123350-79 | Flatten the dough on the smaller oiled bowl using the right hand, by tapping it.
P01-20240203-123350-8 | Move the bowl of flour and dry mixture slightly on the countertop.
P01-20240203-123350-80 | Pick up the olive oil bottle from the countertop using the left hand. Notice that the bottle is already opened so the lid is not on it.
P01-20240203-123350-81 | Pour olive oil from the bottle into the smaller bowl on top of the dough to cover it with oil.
P01-20240203-123350-82 | Spread the poured oil on the surface of the dough to cover it using the right hand, by moving the hand around the dough inside the small bowl.
P01-20240203-123350-84 | Rotate the small bowl using the left hand to help with spreading the oil evenly on the surface of the dough using the right hand.
P01-20240203-123350-9 | Put down the bottle of oil on the countertop.
P01-20240203-123350-92 | Cover the bowl with dough using the blue towel. Using both hands, stretch the towel on top of the bowl, covering it fully, just stopping air from accessing the dough.
P01-20240203-123350-98 | Cover the bowl which is already covered with the blue towel with the bigger white towel, again stopping the air from accessing the dough, during proofing.
