P01-20240203-184214-1 | Pick up a lid from the top right burner of the hob.
P01-20240203-184214-50 | Open the upper cupboard using the left hand holding the handle.
P01-20240203-184214-51 | Move a jar in the second cupboard to look behind it using the right hand.
P01-20240203-184214-52 | return the jar to its place in the second shelf.
P01-20240203-184214-53 | Pick up a packet from the top shelf using the right hand to look behind it.
P01-20240203-184214-54 | return the packet back to its place. I'm clearly searching for something in the cupboard but cannot find it.
P01-20240203-184214-55 | Walk to the other room.
P01-20240203-184214-56 | Pick the small ladder that is between another ladder and the shelf, holding it from its upper handle using the right hand. The ladder will be used to look into the upper shelves of the cupboard.
P01-20240203-184214-57 | walk back into the kitchen, positioning the ladder under the cupboard with the jars.
P01-20240203-184214-58 | open the ladder by moving one of its legs so that it forms a triangle and the upper platform locks both legs together making it a usable ladder rather than a flattened one.
P01-20240203-184214-59 | Step on the ladder, holding the handle of both hands and stepping up both steps.
P01-20240203-184214-60 | Pick up the packet at the upper shelf of the cupboard using the right hand.
P01-20240203-184214-61 | Put the packet in the second shelf.
P01-20240203-184214-62 | Hold a pile of cardboard boxes using the left hand so they don't fall and insert the right hand inside the shelf.
P01-20240203-184214-63 | Pick up a bottle of vinegar from the upper shelf, from the depth of the shelf, bringing it up.
P01-20240203-184214-64 | Step down from the ladder.
P01-20240203-184214-65 | Open the bottle of vinegar, holding the bottle with the left hand, the lid with the right hand, and rotating the lid counterclockwise.
P01-20240203-184214-66 | Position the lid under the bottle and pour one amount filling the lid from the vinegar bottle into the lid of the vinegar bottle, holding the bottle with the left hand and the lid with the right hand.
P01-20240203-184214-67 | Sprinkle the vinegar inside the bowl containing chicken by tilting the lid and moving it around the bowl to distribute the vinegar that is in the lid inside the bowl.
P01-20240203-184214-68 | position the lid again under the nozzle of the bottle and pour another amount filling the lid with vinegar from the bottle.
P01-20240203-184214-69 | Sprinkle the vinegar into the bowl by tilting the lid and moving it around the bowl.
P01-20240203-184214-70 | Fill the lid again with vinegar, in the same way, by positioning the lid again under the nozzle of the bottle and pouring another amount of vinegar from the bottle.
P01-20240203-184214-71 | Sprinkle the vinegar by tilting the lid and moving it around the bowl.
P01-20240203-184214-72 | Fill the lid again, by positioning the lid again under the nozzle of the bottle and pouring another amount of vinegar from the bottle.
P01-20240203-184214-73 | Sprinkle the vinegar by tilting the lid and moving it around the bowl.
P01-20240203-184214-74 | shake the lid on top of the bowl to drop any remaining vinegar in the lid inside the bowl.
P01-20240203-184214-75 | Close the bottle by holding the bottle with the left hand, positioning the lid with the right hand and rotating clockwise.
P01-20240203-184214-76 | Move the ladder slightly, positioning it closer to the countertop.
P01-20240203-184214-77 | Step on the ladder again to access the upper shelf.
P01-20240203-184214-78 | Put the vinegar bottle into the upper shelf using the right hand, pushing it inside in the shelf.
P01-20240203-184214-79 | Close the cupboard.
P01-20240203-184214-80 | step down from the ladder.
P01-20240203-184214-81 | flatten the lather by pulling up the platform so that the two sides of the ladder drop to the side, flattening the ladder to ease its storage.
P01-20240203-184214-82 | steady the ladder by leaning it against the wall.
P01-20240203-184214-83 | Open the cupboard using the left hand.
P01-20240203-184214-84 | open the drawer using the left hand only to realize the lemons are not in the drawer.
P01-20240203-184214-85 | pick up the two halves of lemon from the lower shelf of the cupboard using the right hand.
P01-20240203-184214-86 | One plastic bag falls slightly in the cupboard.
P01-20240203-184214-87 | pick up the bag and return it inside the lower shelf of the cupboard.
P01-20240203-184214-88 | pick up one lemon from the drawer of the fridge by pulling it with the mesh and then releasing it from the mesh by finding the opening of the mesh using both hands, leaving the mesh in the drawer and picking up one lemon.
P01-20240203-184214-89 | Close the drawer.
P01-20240203-184214-90 | pick up a bottle of soya sauce from the shelf of the door of the fridge, using the right hand.
P01-20240203-184214-91 | Close the fridge's door.
P01-20240203-184214-92 | Put down the soy sauce bottle on the counter top next to the bowl.
P01-20240203-184214-93 | Pick up the soy sauce bottle almost immediately.
P01-20240203-184214-94 | tilt the soy sauce bottle on top of the bowl, pouring soy sauce from it into the bowl, shaking the soya sauce bottle while pouring to sprinkle or distribute the soya dropping from it in the bowl.
P01-20240203-184214-95 | tilt the bottle up to look into the bottle and see how much was poured basically to figure out how much was decreased from the bottle.
P01-20240203-184214-96 | tilt the soy sauce bottle again to pour more soy sauce into the bowl, moving the bottle and shaking it a little while pouring.
P01-20240203-184214-97 | put the soy sauce bottle on the countertop.
P01-20240203-184214-98 | Put the uncut lemon on the chopping board next to the bowl.
P01-20240203-184214-99 | put the two already cut halves of the lemon also on the chopping board next to the bowl.
P01-20240203-184214-100 | Open the second drawer.
P01-20240203-184214-101 | pick up the lemon squeezer from the second drawer.
P01-20240203-184214-102 | Pick up one of the two halves of lemons from the chopping board using the right hand.
P01-20240203-184214-103 | Hold the squeezer with the left hand and the lemon with the right hand and then bring these together pulling the lemon into the squeezer To squeeze lemon both the squeezer and the lemon are positioned on top of the bowl so the lemon juice falls into the bowl with chicken to marinate it with lemon juice
P01-20240203-184214-104 | squeeze and rotate the lemon in the right hand so that you pass all of its content and edges around the lemon squeezer, repeating multiple times going all around the lemon.
P01-20240203-184214-105 | Tilt the lemon juicer to drop any of the juice inside it into the bowl.
P01-20240203-184214-106 | open the food trash bin
P01-20240203-184214-107 | throw the half lemon that had already been squeezed into the trash bin, discarding it.
P01-20240203-184214-108 | Pick up the second half of lemon from the chopping board.
P01-20240203-184214-109 | position the lemon squeezer and the lemon on top of the bowl, holding the lemon squeezer with the left hand and the lemon with the right hand, pressing the lemon into the squeezer.
P01-20240203-184214-110 | Squeeze and rotate the lemon using the right hand to squeeze it, passing all its sides around the squeezer, so that to pour the juice from it into the bowl to marinate the chicken.
P01-20240203-184214-111 | Move one chicken inside the bowl, piling it on top of other chicken, to access the bottom of the bowl as one seed has fallen into the bowl.
P01-20240203-184214-112 | Retrieve the seed of lemon that has fallen into the bowl using the hand, sliding it across the side of the bowl all the way to the edge of the bowl to retrieve it and remove it from the marination. It's a mistake that the seed had fallen into the bowl.
P01-20240203-184214-113 | Throw the bowl on the chopping board.
P01-20240203-184214-114 | Continue squeezing the lemon.
P01-20240203-184214-115 | Tilt the juicer so the lemon juice falls into the bowl.
P01-20240203-184214-116 | use the right index finger to move the juice and the bits of lemon that are in the lemon juicer around so that the juice drops into the pores of the lemon juicer and into the bowl basically allowing the juice that is still stuck around the lemon bits to get into the bowl for marination
P01-20240203-184214-117 | Continue squeezing the lemon.
P01-20240203-184214-118 | Use the index finger to get the juice into the bowl by moving the juice and the bits of lemon that are in the lemon juicer around so that the juice drops into the pores of the lemon juicer and into the bowl basically allowing the juice that is still stuck around the lemon bits to get into the bowl for marination.
P01-20240203-184214-119 | Put down the lemon juicer on the chopping board.
P01-20240203-184214-121 | throw the second half lemon that has already been squeezed.
P01-20240203-184214-120 | Open the food trash bin.
P01-20240203-184214-122 | Close the bin by releasing the lid with the left hand.
P01-20240203-184214-123 | pick up the knife from a plate on the countertop.
P01-20240203-184214-124 | Move the lemon on the chopping board positioning it closer to the countertop to be able to cut it
P01-20240203-184214-125 | cut the lemon by holding the lemon with the left hand holding the knife with the right hand and cutting the lemon into two halves in a sawing like motion
P01-20240203-184214-126 | Put the knife on the plate.
P01-20240203-184214-127 | Separate the two halves of the lemon as they're still very slightly attached by holding both with both hands and pulling apart.
P01-20240203-184214-128 | Lift one of the lemon halves looking at whether it has any seeds.
P01-20240203-184214-129 | Pick up the lemon juicer from the chopping board.
P01-20240203-184214-131 | Press, rotate and squeeze the lemon around the juicer so that to get the lemon juice off the lemon and allow it to fall into the bowl for chicken marination.
P01-20240203-184214-130 | Position the lemon juicer and the lemon on top of the bowl, holding the juicer with the left hand and the lemon with the right hand.
P01-20240203-184214-132 | Put down the half lemon on the chopping board.
P01-20240203-184214-133 | Using the index finger, clear the lemon juice from the lemon pits inside the lemon juicer, allowing only the juice to fall into the bowl.
P01-20240203-184214-134 | Open the food trash bin using the left hand holding the lid.
P01-20240203-184214-135 | hit the lemon squeezer against the edge of the food trash bin, allowing all the seeds and the lemon bits to fall into the trash bin, discarding these.
P01-20240203-184214-136 | Close the trash bin by releasing its lid.
P01-20240203-184214-137 | position the lemon squeezer under the nozzle of the tap in order to rinse it.
P01-20240203-184214-138 | Open the tap.
P01-20240203-184214-139 | Rinse the lemon squeezer, getting rid of any of the remaining bits that have not fallen into the food trash bin.
P01-20240203-184214-140 | Close the tap. This action is off-screen.
P01-20240203-184214-141 | put the lemon squeezer on the drainer.
P01-20240203-184214-142 | Dry both hands by holding the edge of the towel that is on the handrail of the oven using both hands.
P01-20240203-184214-143 | Lift the lid off the pot on the hob, using the left hand.
P01-20240203-184214-144 | Pick up the plastic spoon from the plate on the countertop next to the hob.
P01-20240203-184214-145 | stir the rice inside the pot, holding the pot's handle with the left hand, in order to distribute the heat evenly, basically bringing the cold rice at the top to the bottom and lifting the hot rice to the top etc.
P01-20240203-184214-146 | Using the left hand's index finger, touch the rice's surface to measure how hot it is.
P01-20240203-184214-147 | hit the plastic spoon against the rim of the pot to drop any rice that stuck to it.
P01-20240203-184214-148 | Put the plastic spoon on the plate on the countertop.
P01-20240203-184214-149 | Move the chicken pieces in the bowl distributing them.
P01-20240203-184214-150 | Pick up the soy sauce bottle from the countertop.
P01-20240203-184214-151 | Open the fridge.
P01-20240203-184214-152 | Place the soy sauce bottle on the shelf at the door of the fridge.
P01-20240203-184214-153 | Close the fridge's door.
P01-20240203-184214-154 | Pick up the plastic package containing rosemary from the countertop using the right hand.
P01-20240203-184214-155 | Pick up the scissors from the countertop using the right hand.
P01-20240203-184214-156 | Put the package on the countertop to support it.
P01-20240203-184214-157 | Open the package by cutting one of its ends, holding the package with the left hand, the scissor with the right hand, cut the scissor across the width of one of the ends of the package, opening it.
P01-20240203-184214-158 | put down the scissors on the countertop.
P01-20240203-184214-159 | Pick up the package using the left hand from the countertop.
P01-20240203-184214-160 | Insert the right hand inside the package.
P01-20240203-184214-161 | pick multiple strands of rosemary from inside the package using the right hand
P01-20240203-184214-162 | throw the rosemary into the bowl with a chicken for marination.
P01-20240203-184214-163 | Pick up more of the rosemary by inserting the right hand into the package being held with the left hand.
P01-20240203-184214-164 | throw more strands of rosemary into the bowl with chicken.
P01-20240203-184214-165 | pick up more rosemary from the package.
P01-20240203-184214-166 | Throw the rosemary into the bowl, effectively putting it into some of the edges of the bowl so it goes in.
P01-20240203-184214-167 | Pick up more rosemary from the package.
P01-20240203-184214-168 | throw rosemary into the bowl.
P01-20240203-184214-169 | distribute the rosemary strands around the bowl using the right hand.
P01-20240203-184214-170 | Close the rosemary package by folding its top.
P01-20240203-184214-171 | Open the upper cupboard using the left hand holding the handle.
P01-20240203-184214-172 | put the rosemary inside the cupboard in the lower shelf, inside the shelf by putting it behind some of the jars, using the right hand.
P01-20240203-184214-173 | Pick up one spice jar from the lower shelf of the countertop.
P01-20240203-184214-174 | Lift one jar inside the lower shelf of the countertop to read its label, then return it back.
P01-20240203-184214-175 | Pick up another spice jar from the lower shelf of the cupboard to read its label.
P01-20240203-184214-176 | Pick up the spice jar from the cupboard.
P01-20240203-184214-177 | Return the first spice jar back into the lower shelf of the cupboard.
P01-20240203-184214-178 | Move the jars around, rotating them to read their labels.
P01-20240203-184214-179 | Pick up another spice jar from the lower shelf using the right hand.
P01-20240203-184214-180 | Check the two labels on the two jars. On the left hand you have the jar with thyme that's actually closed, so hasn't been opened before. On the right hand there is a jar with oregano. This actually has been opened before and basically is hiding between them.
P01-20240203-184214-181 | return the jar with thyme into the lower shelf of the cupboard, effectively choosing the oregano.
P01-20240203-184214-182 | Open the thumb jar by holding the jar with the left hand and then flipping the lid with the right hand up to open the jar's top.
P01-20240203-184214-183 | Tilt and shake the jar on top of the bowl where chicken and marination has been put. Shaking the jar to sprinkle some of the oregano from the jar into the chicken, moving the jar around to distribute the oregano. The jar is being shaken very quickly and with force.
P01-20240203-184214-184 | Close the jar. This action is off screen.
P01-20240203-184214-185 | put the jar on the lower shelf of the cupboard using the right hand. Notice that the cupboard's door is still open.
P01-20240203-184214-186 | Pick up another jar of spice from the lower shelf of the cupboard from behind other jars by inserting the hand in, holding the jar from top and lifting it above the other jars.
P01-20240203-184214-187 | Open the jar by holding the jar with the left hand, holding the lid with the right hand, and rotating the lid counterclockwise.
P01-20240203-184214-188 | position the lid under the jar and tilt the jar, pouring spice mix from the jar into the lid.
P01-20240203-184214-189 | Tilt the lid, pouring the spice from the lid into the bowl with jar and moving the lid around the jar to distribute the spice around the jar. The spice is being added to marinate the chicken.
P01-20240203-184214-190 | shake the lid on top of the bowl to drop any of the additional spice or remaining spice into the bowl.
P01-20240203-184214-191 | Close the jar by holding the jar with the left hand, putting the lid with the right hand and rotating clockwise.
P01-20240203-184214-192 | put the jar on the lower shelf of the cupboard, pushing the other jars at the front towards the back to place it inside.
P01-20240203-184214-193 | Pick up the garlic head from the shelf that's under the countertop using the right hand.
P01-20240203-184214-194 | break the garlic head by holding both sides with both hands and then pressing and pulling apart to separate a few cloves from the garlic head.
P01-20240203-184214-195 | Put down the garlic in the right hand on the countertop.
P01-20240203-184214-196 | Peel the outer cover of the garlic cloves by holding the edge with the right hand, peeling outside so the three garlic cloves actually fall off into the left hand.
P01-20240203-184214-197 | Open the trash bin's lid with the left hand.
P01-20240203-184214-198 | Throw the cover of garlic into the trash bin.
P01-20240203-184214-199 | Close the bin by releasing the lid from the left hand.
P01-20240203-184214-200 | Put the garlic cloves on the chopping board next to the bowl on the countertop.
P01-20240203-184214-201 | pick up the two halves of lemon from the chopping board using both hands.
P01-20240203-184214-202 | open the food trash bin using the left hand
P01-20240203-184214-203 | throw the lemon half that is in the right hand into the trash bin. It had already been squeezed.
P01-20240203-184214-204 | Close the trash bin by releasing the lid with the left hand.
P01-20240203-184214-205 | Open the fridge.
P01-20240203-184214-206 | place the half of the lemon that has not been squeezed into the lower shelf of the door of the fridge using the left hand.
P01-20240203-184214-207 | Close the fridge.
P01-20240203-184214-208 | Close the cupboard's door that has been opened before.
P01-20240203-184214-209 | open the first drawer then change my mind as I located a knife that is on the countertop. So close it again.
P01-20240203-184214-210 | Pick up the knife on the counter top using the right hand.
P01-20240203-184214-211 | Pick up one clove of garlic from the chopping board using the left hand.
P01-20240203-184214-212 | Peel the garlic clove by holding it with the left hand, holding the knife with the right hand, cutting one end of it by placing the thumb on the end and then pressing the knife into the thumb passing through the edge of the garlic clove to break the edge, then peel the rest of the garlic clove.
P01-20240203-184214-213 | throw the peel on the chopping board.
P01-20240203-184214-214 | Remove some of the peel of the garlic clove using the knife.
P01-20240203-184214-215 | Peel more of the garlic clove using the knife.
P01-20240203-184214-216 | Peel more of the garlic clove using the knife.
P01-20240203-184214-217 | Place the peeled garlic clove on the chopping board using the left hand.
P01-20240203-184214-218 | Pick up another garlic clove from the chopping board using the left hand.
P01-20240203-184214-219 | Peel the garlic clove by holding it with the left hand, holding the knife with the right hand, cutting one end of it by placing the thumb on the end and then pressing the knife into the thumb passing through the edge of the garlic clove to break the edge, then peel the rest of the garlic clove.
P01-20240203-184214-220 | Gather the peel on the chopping board using the right hand.
P01-20240203-184214-221 | Cut some of the end of the garlic clove using the knife, holding the garlic clove with the left hand and the knife with the right hand and discard that part.
P01-20240203-184214-222 | coarsely cut the garlic clove into thick slices by holding the garlic clove with the left hand, the knife with the right hand, positioning these on top of the bowl so the sliced garlic falls into the bowl with a chicken to be added to the marination.
P01-20240203-184214-223 | Pick up the peeled garlic clove from the chopping board.
P01-20240203-184214-224 | cut the garlic clove into coarse pieces by holding the clove with the left hand, holding the knife with the right hand, cutting into pieces, positioning this on top of the bowl with chicken so the pieces fall into the bowl and be added to the marination.
P01-20240203-184214-225 | put down the knife on the chopping board.
P01-20240203-184214-226 | Pick up the bowl containing the chicken and all the marination using both hands from the countertop.
P01-20240203-184214-227 | Put the bowl on the countertop next to the sink.
P01-20240203-184214-228 | Release the nozzle of the tap from its holder by moving the tap to the right, pulling the nozzle away, positioning the nozzle on top of the tap. This is to add water to the bowl for marination. Now the nozzle of the tap is on top of the bowl with chicken and marination, holding it with the left hand.
P01-20240203-184214-229 | Pass the nozzle from the left hand to the right hand and hold it on top of the bowl.
P01-20240203-184214-230 | Open the tap. So water is now filling the bowl with chicken and marination.
P01-20240203-184214-231 | Move the nozzle around the bowl to distribute the water, filling the bowl.
P01-20240203-184214-232 | Keep filling the water until all the chicken and marination are fully covered with water.
P01-20240203-184214-233 | Close the tap.
P01-20240203-184214-234 | Return the nozzle of the tap to its holder, locking it in place.
P01-20240203-184214-235 | separate the two pieces of chicken that were still attached to each other by holding each with one hand and then pressing and twisting until they actually break separating.
P01-20240203-184214-236 | Push the chicken pieces into the bowl so they submerge under the water, using both hands.
P01-20240203-184214-237 | Move the tap back to the center.
P01-20240203-184214-238 | Open the tap.
P01-20240203-184214-239 | Rinse the two hands, washing them from the marination.
P01-20240203-184214-240 | Close the tap.
P01-20240203-184214-241 | shake the two hands on top of the sink to drop any excess water.
P01-20240203-184214-242 | Close the lower cupboard that was still open.
P01-20240203-184214-243 | dry the hands using the towel on the handrail of the oven by picking up its end and drying both hands.
P01-20240203-184214-244 | pick up the plastic spoon from the plate on the countertop.
P01-20240203-184214-245 | stir the rice in the pot using the spoon by moving the rice that is at the bottom of the pan to the top to make sure it all heats up evenly, holding the handle of the pot with the left hand to steady it.
P01-20240203-184214-246 | using the left finger, test the temperature of the rice to check it's hot enough.
P01-20240203-184214-247 | Continue stirring the rice.
P01-20240203-184214-248 | Hit the plastic spoon against the rim of the pot a few times to drop any of the rice that's stuck to it.
P01-20240203-184214-249 | Put the plastic spoon on the plate next to the oven.
P01-20240203-184214-251 | Cover the pot again to allow the rice to continue heating.
P01-20240203-184214-250 | pick up the lid from the hob.
P01-20240203-184214-252 | Open the second drawer.
P01-20240203-184214-253 | pick up the box of cling film from the drawer, I'm checking the box name by rotating it while pulling it out of the side of the drawer.
P01-20240203-184214-254 | Close the drawer by pushing it in using the leg.
P01-20240203-184214-255 | Open the cardboard box by unfolding its cover, holding the box with the left hand and opening it with the right hand.
P01-20240203-184214-256 | pull the cling film from inside the cardboard tube, holding the cardboard tube with the box with the left hand and pulling the cling film with the right hand out.
P01-20240203-184214-257 | Put down the box on the countertop, standing upright, leaning it against the wall to stay standing.
P01-20240203-184214-258 | unroll the cling film from the tube of a cling film by finding the edge of the film and then using the right hand and then pulling it out, rotating the tube with the left hand while unrolling the cling film with the right hand.
P01-20240203-184214-259 | Cover the bowl of chicken using cling film by placing it on top of the cling film with the roll being held with the left hand. By placing the rolled out cling film on top of the bowl.
P01-20240203-184214-260 | Hold the edge of the cling film holding the tube with the left hand and breaking the edge with the right hand in order to separate the rolled out cling film from the tube.
P01-20240203-184214-261 | tear the remaining of the cling film by holding the cling film with the right hand and tearing by pulling away the tube with the left hand.
P01-20240203-184214-262 | Pick up the cardboard box with the left hand from the countertop.
P01-20240203-184214-263 | Insert the cling film tube into the card box by holding the box vertically with the left hand, placing the tube at the top of it with the right hand and letting it drop inside the box.
P01-20240203-184214-264 | Open the second drawer.
P01-20240203-184214-265 | Put the box of cling film into the second drawer.
P01-20240203-184214-266 | Close the drawer.
P01-20240203-184214-267 | seal the cling film around the bowl containing the chicken marinated to block any air coming into it by tucking the ends of the cling film around the edge of the bowl, going around with both hands.
P01-20240203-184214-268 | Carry the bowl containing chicken marinades then covered in cling film from the countertop using both hands, lifting it from the bottom as it's heavy.
P01-20240203-184214-269 | Put the bowl on the counter top, because it's not possible to open the fridge while holding it.
P01-20240203-184214-270 | Open the fridge's door.
P01-20240203-184214-271 | Move the container of soup from the top shelf to the second shelf to empty space on the top shelf.
P01-20240203-184214-272 | Move the jars on the top shelf to the right, tucking them away, emptying space on the top shelf.
P01-20240203-184214-273 | Pick up the bowl from the counter top using both hands.
P01-20240203-184214-274 | put the bowl on the upper shelf of the fridge. It just fits, so fitting it in place and sliding it in.
P01-20240203-184214-275 | Close the fridge's door.
P01-20240203-184214-276 | Pick up two chopping boards from the lower drawer of the dishwasher.
P01-20240203-184214-277 | Pick up another chopping board from the lower drawer of the dishwasher.
P01-20240203-184214-278 | Pile the chopping boards in the left hand.
P01-20240203-184214-279 | Open the second drawer.
P01-20240203-184214-280 | put all the chopping boards in the second drawer.
P01-20240203-184214-281 | Close the drawer using the hand.
P01-20240203-184214-282 | Pick up a bowl from the lower drawer of the dishwasher.
P01-20240203-184214-283 | Turn the bowl upside down.
P01-20240203-184214-284 | Open the lower cupboard.
P01-20240203-184214-285 | Put the bowl in the top shelf of the cupboard.
P01-20240203-184214-286 | Close the cupboard.
P01-20240203-184214-287 | Pick up a pan from the lower drawer of the dishwasher.
P01-20240203-184214-288 | Pick up a pot from the lower drawer of the dishwasher.
P01-20240203-184214-289 | on top of the sink, turn the pot upside down, drop any water into the sink.
P01-20240203-184214-290 | pile the pot on top of the pan in the left hand.
P01-20240203-184214-291 | Pick up another pot from the lower drawer of the dishwasher.
P01-20240203-184214-292 | pile the pot on top of the other pot and the pan in the left hand.
P01-20240203-184214-293 | open the lower cupboard, the lower hits the open door of the dishwasher so can't be opened fully.
P01-20240203-184214-294 | Pick up one pot from the upper shelf of the cupboard.
P01-20240203-184214-295 | pile that pot on top of the pile of two pots and pan.
P01-20240203-184214-296 | Insert the pile of pan and pots into the upper shelf of the cupboard, moving things around to fit them in place.
P01-20240203-184214-297 | Close the cupboard.
P01-20240203-184214-298 | Pick up one bowl from the lower drawer of the dishwasher.
P01-20240203-184214-299 | pick up another bowl from the lower drawer of the dishwasher
P01-20240203-184214-300 | pile the bowls.
P01-20240203-184214-301 | Open the cupboard.
P01-20240203-184214-302 | Place the pile of two bowls in the second shelf of the cupboard, pushing them inside the shelf to its end.
P01-20240203-184214-303 | Pick up a bowl from the lower drawer of the dishwasher.
P01-20240203-184214-304 | Pick up a glass from the lower drawer of the dishwasher.
P01-20240203-184214-305 | put the bowl in the second shelf of the cupboard, putting it closer to the edge of the shelf, hiding the two bowls behind.
P01-20240203-184214-306 | open the other cupboard using the right hand.
P01-20240203-184214-307 | place the mug made of glass on the lower shelf of the cupboard, pushing it into the cupboard and in doing so pushing other mugs further inside.
P01-20240203-184214-308 | Pick up two plates from the lower drawer of the dishwasher.
P01-20240203-184214-309 | Pick up two more plates from the lower cupboard of the dishwasher.
P01-20240203-184214-310 | pile the plates on top of one another. This action is off screen.
P01-20240203-184214-311 | Put all four plates in the lower shelf of the cupboard, piling them on top of other plates using both hands.
P01-20240203-184214-312 | Close the lower drawer of the dishwasher.
P01-20240203-184214-313 | Open the second drawer of the dishwasher. That's the middle drawer.
P01-20240203-184214-314 | pick up three small dishes together from the dishwasher, piling them together.
P01-20240203-184214-315 | put the pile of three dishes in the lower shelf of the cupboard, piling them on top of a big pile of plates, of larger plates.
P01-20240203-184214-316 | pick up two plates from the middle drawer, second drawer of the dishwasher, piling them together.
P01-20240203-184214-317 | pick up two bowls from the second drawer of the dishwasher piling them together.
P01-20240203-184214-318 | put the two bowls picked up later on the counter top.
P01-20240203-184214-319 | put the first two bowls on top of them, piling them together, so we have a pile of four plates.
P01-20240203-184214-320 | pick up two bowls from the second drawer of the dishwasher.
P01-20240203-184214-321 | put the two plates on the countertop next to the pile of bowls and plates.
P01-20240203-184214-322 | pick up the first pile of bowls and plates made up of four plates and then put it on the two other plates so we have a pile of six bowls and plates.
P01-20240203-184214-323 | Pick up this tower of bowls and plates from the countertop using both hands.
P01-20240203-184214-324 | Place the pile or tower of bowls and plates on the second shelf of the cupboard, using both hands, placing them and then sliding them in.
P01-20240203-184214-325 | pick up a tupperware from the second shelf of the cupboard.
P01-20240203-184214-326 | shake the Tupperware a little to drop any water that's stuck to it.
P01-20240203-184214-327 | Turn the Tupperware upside down.
