P01-20240204-121042-1 | open the fridge
P01-20240204-121042-249 | move the block of butter around the pot by holding it with the spatula moving the spatula around so the butter moves around the pot
P01-20240204-121042-25 | open the tap from the left handle
P01-20240204-121042-250 | put down the spatula on the countertop
P01-20240204-121042-251 | pick up the food processor bowl from the drainer using the right hand holding it from its handle
P01-20240204-121042-252 | turn the bowl to point upright
P01-20240204-121042-253 | shake the bowl on top of the drainer to drop any water stuck to its surface
P01-20240204-121042-254 | pick up a plastic piece of the food processor from the drainer
P01-20240204-121042-255 | put the food processor bowl on the food processor motor by sliding it around the center from the top and then locking it in place.
P01-20240204-121042-256 | pick up the food processor from the upper shelf holding it using both hands. While moving, the mesh with two oranges actually falls from the top shelf to the countertop this is an unintentional motion
P01-20240204-121042-257 | put the food processor on the countertop next to the socket
P01-20240204-121042-258 | plug the food processor into the socket by finding the end of the wire holding the plug putting it in front of the socket and pushing it in place using the left hand
P01-20240204-121042-26 | wash the dates by holding them with both hands and rubbing them against one another under the tap
P01-20240204-121042-260 | Pick up the wooden spatula from the counter top
P01-20240204-121042-261 | move the butter block around the pot by holding the wooden spatula on top of the butter and moving the butter using the spatula
P01-20240204-121042-262 | adjust the temperature on the hob by holding the dial and rotating it counterclockwise to decrease the temperature
P01-20240204-121042-27 | close the tap
P01-20240204-121042-272 | pick up the blade of the food processor by holding it carefully from the plastic center avoiding the blades from the drainer
P01-20240204-121042-274 | pick up a plastic center piece of the blade from the counter top using the right hand
P01-20240204-121042-275 | turn the blade upright
P01-20240204-121042-276 | insert the center piece into the middle of the blade the plastic component by pushing it in and twisting to lock it in place
P01-20240204-121042-277 | insert the blade with its center piece into the middle of the food processor bowl,rotating it to the right to lock it in place
P01-20240204-121042-278 | pick up an already opened package with biscuits from the shelf under the countertop
P01-20240204-121042-279 | open the package by holding it with the right hand and unfolding its top with the left hand
P01-20240204-121042-28 | put the dates in the bowl
P01-20240204-121042-280 | Shake the package of biscuits holding it with the right hand, shaking it so that the biscuits inside it fall inside the food processor bowl, having positioned it on top of the bowl.
P01-20240204-121042-282 | distribute the biscuits inside the bowl by pushing the tower of biscuits so some of the biscuits fall into the bowl
P01-20240204-121042-283 | pick up the two biscuits that have fallen on the countertop using the right hand
P01-20240204-121042-284 | throw the two biscuits also inside the food processor bowl
P01-20240204-121042-289 | pick up the wooden spatula from the countertop
P01-20240204-121042-290 | stir the already melted butter inside the pot using the spatula by moving it in circular motions clockwise
P01-20240204-121042-291 | pick up the bowl with pitted dates from the countertop using the right hand
P01-20240204-121042-292 | tilt the bowl slowly on top of the pot so all pitted dates fall inside the pot with butter
P01-20240204-121042-294 | stir the dates inside the pot with the butter trying to coat all the dates with butter using the spatula held in the right hand to move the dates around and holding the pot's handle with the left hand to steady it
P01-20240204-121042-295 | hit the spatula against the rim of the pot to drop any dates that are stuck to it into the pot
P01-20240204-121042-296 | Put the spatula inside the empty bowl. The spatula has been touching dates so it's probably sticky so best not to put it back on the counter top. The bowl is there to just support the spatula which will be used later.
P01-20240204-121042-299 | pick up a new packet of biscuits from the upper shelf using the right hand
P01-20240204-121042-3 | pick up the pot containing the weighed butter from the scale using the left hand holding it from its handle
P01-20240204-121042-30 | move the bag on the counter top further from the edge using the left hand
P01-20240204-121042-300 | rotate the packet of biscuits around both hands to check where the best place to open it from is
P01-20240204-121042-301 | put the packet of biscuits standing upright on the countertop
P01-20240204-121042-302 | open the packet of biscuit by holding the two sides from one end using both hands and pulling away so the packet opens
P01-20240204-121042-303 | remove one of the two packets of biscuit inside the big packaging using the right hand
P01-20240204-121042-305 | pick the second packet of biscuits from the big packaging holding the packaging with the left hand and pulling this plastic packaging using the right hand
P01-20240204-121042-310 | pick up the wooden spatula that's resting on the plate on the countertop
P01-20240204-121042-311 | stir the dates inside the pot using the spatula moving the dates around basically getting the one to the bottom to the top and the other way around while holding both the handle of the pot and the plastic package with the left hand
P01-20240204-121042-312 | hit the spatula against the rim of the pot to drop any excess dates on it
P01-20240204-121042-313 | rest the spatula again on the bowl on the countertop
P01-20240204-121042-314 | turn the biscuit packaging around to check where best to open it from
P01-20240204-121042-315 | open the packaging by holding the edge of the strip that allows it to open pinching it with the thumb and the index finger of the right hand and then pulling away so the strip opens around the edge of the packaging supporting the packaging with the left hand
P01-20240204-121042-316 | lift the end of the packaging to access the biscuits inside using the right hand
P01-20240204-121042-317 | drop two biscuits from the packaging into the food processor bowl
P01-20240204-121042-318 | pick one biscuit from the biscuit packaging and throw it into the food processor bowl
P01-20240204-121042-319 | using the thumb of the left hand that's holding the packaging push a few biscuits out of the packaging by inserting the thumb under them and pushing them up
P01-20240204-121042-320 | pick four biscuits from the packaging using the right hand and throw them in the food processor bowl
P01-20240204-121042-321 | put the packaging with the remaining biscuits on the countertop standing upright using the right hand
P01-20240204-121042-322 | pick the lid of the food processor from the upper shelf using the right hand
P01-20240204-121042-323 | close the food processor by putting the lid in place and rotating it clockwise to lock it in place
P01-20240204-121042-324 | switch on the food processor by turning the dial on its motor using the right hand side clockwise
P01-20240204-121042-325 | hold the top of the lid with the right palm and the lid with the left hand to support the food processor while it's operating
P01-20240204-121042-327 | increase the speed of the food processor by turning the dial on the motor clockwise using the left hand
P01-20240204-121042-328 | decrease the speed of the food processor by turning the dial using the left hand counter-clockwise
P01-20240204-121042-329 | switch off the food processor by turning the dial on the motor of the food processor using the left hand counterclockwise
P01-20240204-121042-330 | look inside the food processor once it settles to check how soft the biscuits have been crumbled into
P01-20240204-121042-331 | turn on the food processor by turning the dial on the motor using the left hand clockwise, the biscuits need to be broken into smaller pieces
P01-20240204-121042-332 | switch off the food processor by turning the dial on the motor counterclockwise using the left hand
P01-20240204-121042-334 | pick a white plastic bowl from the upper shelf of the cupboard using the right hand
P01-20240204-121042-335 | put the bowl on the countertop
P01-20240204-121042-336 | pick an empty glass from the countertop using the right hand
P01-20240204-121042-337 | place the glass inside the bowl to use it to measure the biscuits
P01-20240204-121042-34 | pick a bowl from the second shelf from a pile of two bowls picking the bowl at the top using the right hand
P01-20240204-121042-340 | pick up the scale from the countertop
P01-20240204-121042-341 | lift the bowl with the glass from the countertop
P01-20240204-121042-342 | put the scale on the counter top
P01-20240204-121042-343 | put the bowl with the glass inside it on the countertop
P01-20240204-121042-344 | turn on the scale to start the weighing of the biscuits
P01-20240204-121042-345 | open the food processor by unlocking the lid turning it counterclockwise and lifting it up
P01-20240204-121042-346 | hit the sides of the lid using the left hand while turning it around to drop any biscuits that are stuck to the lid into the food processor bowl
P01-20240204-121042-347 | shake the top of the lid by moving the plastic part up and down to drop any biscuits that are stuck inside the tower inside the lid into the bowl
P01-20240204-121042-349 | pick up the blade from the food processor bowl using the right hand
P01-20240204-121042-350 | hit the blade against the rim of the food processor bowl to drop any biscuits that are stuck into it into the bowl
P01-20240204-121042-352 | pick up the food processor bowl by rotating it counterclockwise to unlock it then lifting it up
P01-20240204-121042-353 | shake the food processor bowl to settle the biscuits inside it
P01-20240204-121042-354 | lift the food processor bowl
P01-20240204-121042-355 | tilt the food processor bowl on top of the plastic bowl with the glass inside it to pour biscuits from the food processor bowl into the glass
P01-20240204-121042-356 | fill the glass with crumbled biscuits measuring one full glass of biscuits
P01-20240204-121042-357 | turn the food processor upside down and tap it on the side to drop any biscuit stuck to it inside the bowl
P01-20240204-121042-36 | put the empty bowl on the counter top
P01-20240204-121042-365 | lift the glass from inside the bowl filled with crumbled biscuits
P01-20240204-121042-366 | tilt and turn the glass upside down to empty all the biscuits inside the bowl
P01-20240204-121042-367 | hit the glass on its side shaking it to drop any biscuit that are stuck inside it (fine biscuits) into the bowl
P01-20240204-121042-369 | pick up the packet containing the remaining biscuits from the countertop using the right hand
P01-20240204-121042-37 | move both bowls the one with the dates with the right hand and the empty bowl with the left hand to the other countertop putting them closer to the food waste bin to help with removing the pits
P01-20240204-121042-373 | insert the packet of biscuits inside the plastic bag to store it away
P01-20240204-121042-375 | put the biscuits inside the plastic bag in the shelf under the countertop to store it away
P01-20240204-121042-376 | pick up the spatula that is resting on the wall on the countertop
P01-20240204-121042-377 | stir the dates that are slowly melting with the butter by turning them upside down inside the pot using the spatula and holding the pot's handle with the left hand to steady it,turning the content of the pot upside down and then pressing with the spatula down to assist the softening and the melting of the dates so turn and tap turn and tap multiple times
P01-20240204-121042-378 | hit the spatula against the rim of the pot
P01-20240204-121042-379 | rest the spatula on the bowl on the countertop
P01-20240204-121042-38 | pick up one date from the bowl filled with dates using the right hand
P01-20240204-121042-39 | break the date in two by holding the date with both hands and then tearing the date apart into two pieces
P01-20240204-121042-4 | pull the bag out of the other bag by picking it up with the right hand
P01-20240204-121042-40 | drop one half of the dates that does not contain the pit into the empty bowl
P01-20240204-121042-41 | remove the pit from the second half of the date
P01-20240204-121042-42 | throw the second half of the date into the bowl with pitted dates
P01-20240204-121042-443 | pick up the spatula from the bowl on the countertop
P01-20240204-121042-444 | stir the dates in the pot to continue softening them melting them by again turning them and then tapping them with the spatula holding the pot's handle with the left hand
P01-20240204-121042-445 | hit the spatula against the rim of the pot to drop excess dates
P01-20240204-121042-446 | slide the spatula against the rim of the pan as the dates are now soft so they don't drop so actually sliding them back into the pot
P01-20240204-121042-447 | put the spatula on the bowl on the countertop
P01-20240204-121042-45 | pick up another date (unpitted) from the right hand bowl
P01-20240204-121042-46 | break the date in two by holding the date with both hands and tearing it apart
P01-20240204-121042-47 | throw the half that doesn't have a pit into the second bowl
P01-20240204-121042-48 | remove the pit from the date
P01-20240204-121042-49 | put the second half of the date pitted into the second bowl
P01-20240204-121042-5 | put the bowl (the empty bowl) on the countertop
P01-20240204-121042-51 | pick up a date from the first bowl
P01-20240204-121042-52 | break the date into halves by holding the date with both hands and tearing it apart
P01-20240204-121042-53 | put one half into the second bowl
P01-20240204-121042-531 | pick up the spatula that's resting on the bowl next to the hob
P01-20240204-121042-532 | stir the content of the pot containing the dates as they soften so turn them upside down and then tap using the spatula to press them holding the pot with the left hand to steady it
P01-20240204-121042-533 | slide the spatula against the rim of the pot to drop all the soft dates that are stuck to it on both sides
P01-20240204-121042-534 | pick up a bit of date that had fallen on the hob using the spatula and pushing it with the index of the left hand
P01-20240204-121042-535 | hit the spatula against the rim of the pot to drop dates from it into the pot
P01-20240204-121042-536 | rest the spatula on the bowl on the countertop next to the hob
P01-20240204-121042-54 | remove the pit from the second half
P01-20240204-121042-55 | put the second half into the second bowl and throw the pit into the food waste bin at the same time
P01-20240204-121042-56 | pick up a date from the first bowl
P01-20240204-121042-57 | break the date into two halves by holding the date with both hands and tearing it apart
P01-20240204-121042-58 | remove the pit
P01-20240204-121042-6 | pick a handful of dates from the bag by inserting the right hand into the bag and then getting a handful of dates
P01-20240204-121042-60 | put the date both halves together into the second bowl
P01-20240204-121042-602 | pick up this spatula from the wall on the countertop next to the hob
P01-20240204-121042-603 | stir the dates which by now soften inside the pot by turning them and then pressing them using the spatula while holding the pot's handle with the left hand
P01-20240204-121042-604 | rest the spatula on the edge of the pot keeping it inside the pot
P01-20240204-121042-61 | pick up a date from the first bowl
P01-20240204-121042-612 | pick up the empty tupperware from the top of the toaster using the left hand this action is mostly off screen
P01-20240204-121042-613 | put the empty tupperware on the countertop this will be used to put the date balls once ready inside
P01-20240204-121042-615 | pick up the spatula that has been resting inside the pot
P01-20240204-121042-616 | stir the dates again you can see that they're now fairly sticking to each other by turning them inside the pot holding the pot with the left-hand handle to steady it
P01-20240204-121042-617 | stir the dates turning them around the pot,and pressing them in place
P01-20240204-121042-618 | rest this spatula on in the pot on the edge of the pot
P01-20240204-121042-619 | turn off the burner by rotating the dial clockwise to switch it off
P01-20240204-121042-62 | break the date into two halves by holding the date with both hands and tearing it apart
P01-20240204-121042-620 | pick up the plastic bowl containing crumbled biscuits from the countertop using both hands
P01-20240204-121042-621 | put down the plastic bowl on the countertop
P01-20240204-121042-622 | shake the bowl to steady the biscuits inside it
P01-20240204-121042-623 | using the right hand create a well inside the biscuits by moving them to the edges leaving a hole in the center to put the dates inside
P01-20240204-121042-624 | hold the handle of the pot using the left hand
P01-20240204-121042-625 | pick up the spatula from the pot using the right hand
P01-20240204-121042-626 | slide the spatula on the rim of the pot to drop the dates that are stuck to the spatula back into the pot
P01-20240204-121042-627 | pick up the pot from the hob
P01-20240204-121042-628 | tilt the pot on top of the plastic bowl containing crumbled biscuits holding the pot with the left hand the spatula with the right hand
P01-20240204-121042-629 | pour the lump of softened sticky dates from the pot into the bowl
P01-20240204-121042-63 | remove the pit
P01-20240204-121042-630 | rest the spatula on the rim of the plastic bowl
P01-20240204-121042-632 | hold the spatula that has been resting inside the bowl
P01-20240204-121042-633 | hit the spatula against the rim of the bowl, holding the bowl with the left hand to steady it
P01-20240204-121042-634 | start mixing the dates with the biscuits pushing the biscuits up and breaking the lump of dates using the spatula to try to mix these together notice that the dates are fairly hot,repeating the action many times bringing the biscuits up and breaking the dates into pieces trying to mix them together and repeating for a number of times
P01-20240204-121042-635 | change the hold on the spatula as the dates get hardened it is harder to mix them so hold the spatula with a different grip to start beating into the hardening dates to mix them with the biscuits
P01-20240204-121042-636 | turn the dates and press with the spatula to break the dates into smaller pieces
P01-20240204-121042-637 | hold the spatula with the left hand
P01-20240204-121042-638 | tap the surface of the mixture using the index of the right hand to measure its temperature
P01-20240204-121042-639 | rest the spatula on the rim of the plastic bowl
P01-20240204-121042-640 | pick up the water filter jug from the countertop using the right hand
P01-20240204-121042-641 | pour water into the glass that is sitting on the countertop by tilting the jug on top of the water. Water pours into the glass. The glass is resting on the surface top on the countertop and the jug is being held with the right hand from its handle
P01-20240204-121042-643 | pick up the glass filled with water with your left hand
P01-20240204-121042-644 | drink water from the glass
P01-20240204-121042-645 | put down the glass on the countertop
P01-20240204-121042-65 | put the date that has been pitted into the second bowl
P01-20240204-121042-653 | pick up the spatula that has been resting inside the white bowl
P01-20240204-121042-654 | continue breaking the mixture in two parts by pushing the spatula vertically inside it holding the bowl with the left hand to steady it
P01-20240204-121042-655 | slide any of the mixture that had stuck on the spatula into the bowl by holding the spatula with the left hand and using the right hand index to slide over the spatula's surface to drop the mixture back into the bowl
P01-20240204-121042-657 | using the right hand continue mixing the mixture by putting the hand under the mixture turning it over and then pressing it in continue repeating multiple times
P01-20240204-121042-658 | rotate the bowl with the left hand to access different parts of the mixture
P01-20240204-121042-66 | pick up a date from the first bowl
P01-20240204-121042-660 | continue breaking the mixture into pieces using the spatula being pushed inside the mixture at various places inside the bowl while holding the bowl with the left hand to steady it,and rotating the bowl a few times in the process to access various sides
P01-20240204-121042-661 | rest the spatula inside the bowl
P01-20240204-121042-67 | break the date into two halves by holding the date with both hands and tearing it apart
P01-20240204-121042-68 | remove the pit
P01-20240204-121042-70 | put the pitted date into the second bowl
P01-20240204-121042-71 | pick a date from the first bowl
P01-20240204-121042-72 | break the date into two halves
P01-20240204-121042-73 | remove the pit
P01-20240204-121042-74 | put the pitted date into the second bowl
P01-20240204-121042-76 | pick up a date from the first bowl
P01-20240204-121042-77 | break the date into two halves
P01-20240204-121042-78 | remove the pit from the date
P01-20240204-121042-8 | open the tap
P01-20240204-121042-80 | put the pitted dates into the bowl
P01-20240204-121042-81 | pick up a date from the first bowl
P01-20240204-121042-82 | break the date into two halves
P01-20240204-121042-83 | remove the pit from the date
P01-20240204-121042-85 | put the pitted date into the second bowl
P01-20240204-121042-86 | pick up a date from the first bowl
P01-20240204-121042-87 | break the date into two halves
P01-20240204-121042-88 | put the half that doesn't have the pit into the second bowl
P01-20240204-121042-89 | remove the pit from the second half
P01-20240204-121042-9 | wash the dates by holding them with both hands and rubbing them against one another under the tap
P01-20240204-121042-91 | put the second half of the date now pitted it into the second bowl
P01-20240204-121042-92 | pick up a date from the first bowl
P01-20240204-121042-93 | break the date into two halves
P01-20240204-121042-94 | put one half that doesn't have the pit into the second bowl
P01-20240204-121042-95 | remove the pit
P01-20240204-121042-97 | put the second half into the second bowl
P01-20240204-121042-98 | pick up a date from the first bowl
P01-20240204-121042-99 | break the date into two halves
