# Video: P04-20240414-072251
# Narrations: 426
# Format: narration_id | timestamp | narration
#===========================================================

P04-20240414-072251-1 | 5.35s | With the left hand, pick up the pan that is on the electric hob.
P04-20240414-072251-105 | 349.45s | Scrub the backside of the plastic lid with a dish sponge held by the right hand.
P04-20240414-072251-106 | 356.02s | Turn the lid again in the left hand.
P04-20240414-072251-107 | 356.89s | Scrub the plastic lid with the sponge held by the right hand.
P04-20240414-072251-108 | 362.56s | Place the lid in the kitchen sink with the left hand.
P04-20240414-072251-109 | 364.00s | Pick up the teaspoon from the kitchen sink with the left hand.
P04-20240414-072251-110 | 365.26s | Use the sponge in the right hand to clean the teaspoon held in the left hand by scrubbing it.
P04-20240414-072251-111 | 371.61s | Put down the teaspoon back into the kitchen sink with the left hand.
P04-20240414-072251-112 | 373.35s | With the left hand, pick up the plastic measuring cup from the kitchen sink.
P04-20240414-072251-113 | 374.60s | Scrub the plastic measuring cup with the dish sponge held by the right hand.
P04-20240414-072251-114 | 381.53s | Turn over the plastic measuring cup held in the left hand to scrub the outside parts of the cup with the dish sponge held by the right hand.
P04-20240414-072251-115 | 385.88s | Put down the plastic measuring cup in the kitchen sink with the left hand.
P04-20240414-072251-116 | 387.49s | With the left hand, pick up the plastic white coloured chopping board from the kitchen sink.
P04-20240414-072251-117 | 388.69s | Clean the chopping board by scrubbing it with the dish sponge held by the right hand.
P04-20240414-072251-118 | 399.29s | Put down the dish sponge back into the kitchen sink with the right hand.
P04-20240414-072251-119 | 400.76s | Turn on the tap with the right hand.
P04-20240414-072251-120 | 402.19s | Wash the chopping board under the running tap water with both hands to clean it as well as to get the soap off it.
P04-20240414-072251-121 | 408.75s | Turn off the tap with the right hand.
P04-20240414-072251-122 | 409.65s | With the left hand, shake the chopping board over the kitchen sink to get the excess water off it.
P04-20240414-072251-123 | 411.12s | With both hands, place the chopping board behind the tap on the countertop so as to allow it to dry there.
P04-20240414-072251-124 | 414.47s | With the left hand, pick up the plastic container's lid from the kitchen sink.
P04-20240414-072251-125 | 415.84s | Turn on the tap with the right hand.
P04-20240414-072251-126 | 417.56s | Rinse the plastic container lid under the running tap water with the left hand.
P04-20240414-072251-127 | 418.41s | Decrease the amount of hot water by pushing the left side lever of the tap with the right hand.
P04-20240414-072251-128 | 419.53s | Increase the amount of cold water by turning on the lever that is on the right side of the tap with the right hand.
P04-20240414-072251-129 | 422.09s | Continue rinsing and washing the plastic container's lid held by both hands under the running tap water and get the soap off it.
P04-20240414-072251-130 | 424.49s | Reduce the amount of hot water by pushing the lever that is to the left side of the tap with the right hand as the water might have been too hot for washing.
P04-20240414-072251-131 | 426.50s | Continue rinsing and washing the plastic container's lid held by both hands under the running tap water.
P04-20240414-072251-132 | 429.70s | Increase the amount of cold water through the tap by pulling on the lever that is to the right side of the tap with the right hand.
P04-20240414-072251-133 | 431.12s | Continue washing the plastic container's lid with both hands under the running tap water.
P04-20240414-072251-134 | 436.71s | In the right hand, shake the plastic container's lid over the kitchen sink to remove the excess water on it.
P04-20240414-072251-135 | 437.67s | Place the plastic container's lid on the drying rack next to the kitchen sink with the right hand.
P04-20240414-072251-136 | 438.05s | With the left hand, pick up the plastic measuring cup from the kitchen sink.
P04-20240414-072251-137 | 439.10s | With both hands, wash the measuring cup under the running tap water so as to clean it and to get off the soap on it.
P04-20240414-072251-138 | 443.03s | Pour out the liquid in the measuring cup by tipping it with the left hand.
P04-20240414-072251-139 | 444.67s | Shake the cup with the right hand over the kitchen sink to get rid of the excess water.
P04-20240414-072251-141 | 445.08s | With the left hand, pick up the teaspoon from the kitchen sink.
P04-20240414-072251-140 | 445.33s | Place the measuring cup on the drying rack next to the tap.
P04-20240414-072251-142 | 446.60s | Wash it under the tap water so as to clean it and get rid of the excess soap that might be on it.
P04-20240414-072251-143 | 448.20s | Turn off the hot water and the cold water with the right hand.
P04-20240414-072251-144 | 450.44s | Shake the spoon in the left hand over the kitchen sink to get rid of the excess water on it.
P04-20240414-072251-145 | 452.88s | Move the spoon from the left hand to the right hand.
P04-20240414-072251-146 | 453.42s | Place the spoon in the right hand in the spoon holder that is next to the drying rack.
P04-20240414-072251-147 | 455.87s | With the left hand, pick up the coffee mug that is on the counter top next to the kitchen sink. We can wash this next.
P04-20240414-072251-148 | 458.01s | Place the coffee mug in the kitchen sink with the left hand.
P04-20240414-072251-149 | 460.48s | With the left hand, pick up the serving bowl from the drying mat at the corner of the countertop.
P04-20240414-072251-150 | 461.73s | Place the bowl in the kitchen sink with the left hand.
P04-20240414-072251-151 | 464.51s | With the left hand, pick up the spatula with the rubber blue tip from the pan in which it was resting.
P04-20240414-072251-152 | 465.45s | Pick the bits of food that stuck to the rubber spatula with the right hand.
P04-20240414-072251-153 | 469.09s | Place the rubber spatula in the bowl in the kitchen sink with the left hand.
P04-20240414-072251-154 | 471.14s | Open the lid of the rubbish bin with the left hand.
P04-20240414-072251-155 | 472.14s | Throw away the bits of food in the right hand into the rubbish bin below.
P04-20240414-072251-156 | 473.00s | Close the lid of the rubbish bin with the left hand.
P04-20240414-072251-157 | 474.23s | With the left hand, pick up the rubber spatula from the kitchen sink.
P04-20240414-072251-158 | 476.34s | Turn on the hot water tap with the right hand.
P04-20240414-072251-159 | 478.36s | Wash and rinse the rubber spatula with both hands under the nozzle of the tap so as to clean it with the running tap water.
P04-20240414-072251-160 | 483.85s | Turn off the tap with the right hand.
P04-20240414-072251-161 | 484.98s | With the right hand, pick up the dish sponge from the kitchen sink.
P04-20240414-072251-162 | 485.95s | Use the dish sponge in the right hand to scrub and clean the rubber spatula held by the left hand.
P04-20240414-072251-163 | 495.40s | Put down the spatula in the left hand back in the kitchen sink.
P04-20240414-072251-164 | 497.00s | With the left hand, pick up the serving bowl from the kitchen sink.
P04-20240414-072251-165 | 498.70s | Use the sponge in the right hand to scrub and clean the bowl held by the left hand.
P04-20240414-072251-166 | 508.97s | With the left hand, invert the bowl so as to reveal its back side.
P04-20240414-072251-167 | 510.30s | Scrub and clean the back side of the bowl with a dish sponge held in the right hand.
P04-20240414-072251-168 | 519.05s | Turn the position of the bowl again with the left hand.
P04-20240414-072251-169 | 520.44s | Continue scrubbing the surface of the bowl with the sponge in the right hand.
P04-20240414-072251-170 | 523.50s | Put down the bowl held by the left hand back in the kitchen sink.
P04-20240414-072251-171 | 526.00s | With the left hand, pick up the coffee mug that is in the kitchen sink.
P04-20240414-072251-172 | 527.00s | Scrub the coffee mug with the dish sponge held by the right hand.
P04-20240414-072251-173 | 528.50s | Place the mug back in the kitchen sink with the left hand.
P04-20240414-072251-174 | 530.62s | Use the left hand to press the nozzle of the soap dispenser and get some soap on the dish sponge held by the right hand.
P04-20240414-072251-175 | 533.12s | Pick up the coffee mug from the kitchen sink with the left hand.
P04-20240414-072251-176 | 533.63s | Scrub the coffee mug with the dish sponge held in the right hand to clean it and also to work up a lather of soap.
P04-20240414-072251-177 | 548.69s | Rotate the cup with the left hand in order to clean the handle of the cup with the sponge in the right hand.
P04-20240414-072251-178 | 555.39s | Put the cup back in the kitchen sink with the left hand after scrubbing it.
P04-20240414-072251-179 | 558.27s | Turn on the tap with the right hand.
P04-20240414-072251-180 | 560.54s | Pick up the coffee mug from the kitchen sink with the left hand.
P04-20240414-072251-182 | 562.99s | Hold the coffee mug and clean it with both hands under the running tap water.
P04-20240414-072251-181 | 563.05s | Turn on the cold water tap with the right hand.
P04-20240414-072251-183 | 570.79s | With the right hand, pull the lever that is on the right side of the tap in order to increase the amount of cold water through the tap as the water might be too hot.
P04-20240414-072251-184 | 572.58s | Continue washing the coffee mug with both hands under the running tap water.
P04-20240414-072251-185 | 588.54s | With the right hand, shake the coffee mug over the kitchen sink after washing it to get rid of the excess water on it.
P04-20240414-072251-186 | 593.26s | With the right hand, place the coffee mug on the surface beside the drying rack so as to keep it there and allow it to dry over time.
P04-20240414-072251-187 | 596.23s | With the left hand, pick up the serving bowl from the kitchen sink.
P04-20240414-072251-188 | 597.15s | With both hands, wash the serving bowl under the running tap water to clean it and to get rid of the soap on it.
P04-20240414-072251-189 | 608.09s | Shake the serving bowl with both hands over the kitchen sink in order to get rid of the excess water on it.
P04-20240414-072251-190 | 609.89s | Place the serving bowl in an inverted position on the drying mat with the left hand so as to keep it there and allow it to dry.
P04-20240414-072251-191 | 611.88s | With the right hand, pick up the rubber spatula from the kitchen sink.
P04-20240414-072251-192 | 612.65s | With both hands, hold the rubber spatula under the running tap water and clean it to get the soap off of it.
P04-20240414-072251-193 | 618.55s | With the right hand, turn off the tap by pushing on both levers.
P04-20240414-072251-194 | 620.54s | With the right hand, shake the rubber spatula over the kitchen sink in order to get rid of the excess water on it.
P04-20240414-072251-195 | 622.38s | Place the rubber spatula in the spoon holder next to the drying rack in order to keep it there and allow it to dry.
P04-20240414-072251-196 | 624.54s | Shake both hands over the kitchen sink in order to get rid of the excess water on them.
P04-20240414-072251-197 | 626.35s | With the left hand, pick up the dirty pan that is on a plate next to the kitchen sink by grabbing its handle.
P04-20240414-072251-198 | 627.85s | With the right hand, pick up a bit of food stuck to the pan.
P04-20240414-072251-199 | 629.31s | Place the pan in the kitchen sink so that it can be washed next.
P04-20240414-072251-200 | 633.30s | With the right hand, lift up the lid of the rubbish bin.
P04-20240414-072251-201 | 633.50s | Throw the bit of food in the rubbish bin and close the rubbish bin with the right hand.
P04-20240414-072251-202 | 637.28s | With the left hand, pull on the hot water lever of the kitchen tap.
P04-20240414-072251-203 | 638.85s | Close the tap with the left hand.
P04-20240414-072251-204 | 640.45s | With the left hand, pick up the pan and, with the right hand, pick up the dish sponge from the kitchen sink.
P04-20240414-072251-205 | 643.59s | Pour out the water in the pan by tilting it over the kitchen sink with the left hand.
P04-20240414-072251-206 | 644.63s | Use the dish sponge in the right hand to scrub the inner part of the pan held by the left hand to clean it.
P04-20240414-072251-207 | 664.87s | Invert the pan held in the left hand in order to reveal its backside.
P04-20240414-072251-208 | 666.55s | Scrub the backside of the pan with the dish sponge held in the right hand.
P04-20240414-072251-209 | 678.13s | Flip the pan again in the left hand and continue scrubbing the inner parts of it with the dish sponge held in the right hand.
P04-20240414-072251-210 | 687.33s | Place a pan in the kitchen sink with the left hand.
P04-20240414-072251-211 | 690.59s | With the left hand, pick up the plate from the counter top next to the kitchen sink so that we can wash it next.
P04-20240414-072251-212 | 692.44s | Turn on the hot water by pulling on the left side lever of the tap with the right hand.
P04-20240414-072251-213 | 693.98s | Close the tap with the right hand.
P04-20240414-072251-214 | 694.72s | Scrub the plate with the dish sponge held in the right hand in order to clean it and to work up a lather of soap.
P04-20240414-072251-215 | 712.14s | Rotate the plate with both hands to reveal its back side.
P04-20240414-072251-216 | 715.18s | Scrub the back side of the plate with the dish sponge held by the right hand in order to clean it and to work up a lather of soap.
P04-20240414-072251-217 | 723.13s | Put down the sponge in the kitchen sink with the right hand.
P04-20240414-072251-218 | 723.78s | Rotate the plate with both hands.
P04-20240414-072251-219 | 724.69s | Turn on the tap with your right hand.
P04-20240414-072251-220 | 727.21s | Turn on the cold water lever with the right hand in order to increase the amount of cold water through the tap.
P04-20240414-072251-221 | 730.51s | Clean the plate with both hands under the running tap water in order to rinse it and to also to get the soap off of it.
P04-20240414-072251-222 | 743.83s | Flip over the plate with both hands.
P04-20240414-072251-223 | 744.63s | Continue cleaning the backside of the plate with both hands under the running tap water.
P04-20240414-072251-224 | 750.50s | Turn off the tap with the right hand by turning off both levers of the tap.
P04-20240414-072251-225 | 752.41s | Flip the plate with both hands.
P04-20240414-072251-226 | 753.17s | While holding the plate with both hands, shake it over the kitchen sink in order to get rid of the excess water on it.
P04-20240414-072251-227 | 758.98s | With the left hand, pick up the plastic containers from the drying rack next to the kitchen sink.
P04-20240414-072251-228 | 762.41s | With the right hand, place the plate on the drying rack next to the kitchen sink in order to allow it to dry after it has been washed out.
P04-20240414-072251-229 | 766.04s | Put down the plastic containers next to the serving bowl on the drying mat at the corner of the countertop.
P04-20240414-072251-230 | 769.07s | With the right hand, adjust the position of the plate on the drying rack so that it is more stable.
P04-20240414-072251-231 | 771.54s | With the right hand, pick up and reposition the plastic measuring cup on the drying rack.
P04-20240414-072251-232 | 773.58s | With the left hand, pick up and pour out the water in the pan into the kitchen sink.
P04-20240414-072251-233 | 775.31s | Turn on the tap with the right hand.
P04-20240414-072251-234 | 776.79s | Wash the pan under the running tap water with both hands to clean it as well as to get the soap off of it.
P04-20240414-072251-235 | 780.85s | Invert the pan and wash the pan with both hands under the running tap water.
P04-20240414-072251-236 | 789.83s | Invert the pan again with the left hand and continue washing the top side of the pan with the right hand under the running tap water.
P04-20240414-072251-237 | 794.53s | Invert the pan again and wash the backside under the running tap water with the right hand.
P04-20240414-072251-238 | 797.06s | Turn off the tap with the right hand.
P04-20240414-072251-239 | 797.89s | Shake the pan over the kitchen sink by holding the handle with the left hand in order to remove the excess water on it after washing.
P04-20240414-072251-240 | 804.14s | Pick up the lid of the plastic container from the drying rack with the right hand to make some space on the drying rack for the pan.
P04-20240414-072251-241 | 804.67s | Shake the plastic container's lid over the kitchen sink with the right hand to remove the excess water.
P04-20240414-072251-242 | 806.12s | Place the plastic container's lid next to the bowl and the plastic containers on the drying mat with the right hand.
P04-20240414-072251-243 | 807.25s | With the right hand, pick up the plastic measuring cup from the drying rack next to the kitchen sink.
P04-20240414-072251-244 | 808.29s | Shake the plastic measuring cup with the right hand over the kitchen sink to get rid of the excess water.
P04-20240414-072251-245 | 809.34s | Place the plastic measuring cup on the plastic container's lid with the right hand.
P04-20240414-072251-246 | 810.13s | With both hands, carefully place the pan on the drying rack next to the kitchen sink to allow it to dry there.
P04-20240414-072251-247 | 812.69s | Adjust the position of the pan on the drying rack as it is not stable to stand on its own.
P04-20240414-072251-248 | 821.73s | Pick up the pan from the drying rack as it was not stable there.
P04-20240414-072251-249 | 822.35s | Shake the pan with both hands over the kitchen sink to get rid of the excess water on it.
P04-20240414-072251-250 | 823.67s | Place the pan on the counter top next to the kitchen sink to allow it to dry there.
P04-20240414-072251-251 | 826.79s | Shake both hands over the kitchen sink to get rid of the excess water on them.
P04-20240414-072251-252 | 828.45s | With the left hand, pick up the smiley faced dish sponge from the kitchen sink.
P04-20240414-072251-253 | 829.36s | Turn on the tap with the right hand.
P04-20240414-072251-254 | 830.78s | Wash the sponge under the running tap water with the right hand to get rid of the excess soap that might still be on it.
P04-20240414-072251-255 | 832.18s | Squeeze the sponge over the strainer of the kitchen sink to get rid of the excess soap in it.
P04-20240414-072251-256 | 833.63s | Bring it under the running tap water again with the right hand to clean it.
P04-20240414-072251-257 | 835.72s | Squeeze it over the kitchen sink strainer to get rid of the excess soap and the water in the sponge.
P04-20240414-072251-258 | 837.03s | Shake the sponge over the kitchen sink to get rid of the excess water on it.
P04-20240414-072251-259 | 837.92s | Place the sponge that is in the right hand over the drying rack next to the kitchen tap.
P04-20240414-072251-260 | 838.64s | Turn off the kitchen tap with the right hand.
P04-20240414-072251-261 | 840.65s | Shake both hands over the kitchen sink to get rid of the excess water on them.
P04-20240414-072251-262 | 844.62s | With the right hand, grab the kitchen towel that is hanging by the drawer.
P04-20240414-072251-263 | 845.21s | Wipe the hands against the kitchen towel to dry them.
P04-20240414-072251-264 | 853.80s | With the right hand, open the door to the cabinet above revealing the coffee mugs and other glassware.
P04-20240414-072251-265 | 855.86s | With the right hand, grab a new coffee mug from the lower shelf of the upper cabinet.
P04-20240414-072251-266 | 858.63s | With the left hand, place the washed coffee mug on the bottom shelf of the upper cabinet.
P04-20240414-072251-267 | 861.84s | Transfer the coffee mug from the right hand to the left hand.
P04-20240414-072251-268 | 862.70s | Place the coffee mug on the wooden chopping board below with the left hand.
P04-20240414-072251-269 | 864.39s | Close the door to the cabinet above with the right hand.
P04-20240414-072251-270 | 870.03s | With the left hand, pick up the orange kitchen towel from the basket of other kitchen towels.
P04-20240414-072251-271 | 871.62s | With the right hand, pick up the coffee mug that is on the wooden chopping board below.
P04-20240414-072251-272 | 873.84s | Place the coffee mug on the drip tray of the water cooler.
P04-20240414-072251-273 | 875.19s | With the right hand, press the button on the water cooler which pours out hot water.
P04-20240414-072251-274 | 876.69s | Transfer the kitchen towel from the left hand to the right hand.
P04-20240414-072251-275 | 878.94s | With the left hand, pick up the rubber spatula from the spoon holder.
P04-20240414-072251-276 | 879.88s | Dry the rubber spatula in the left hand with the kitchen towel held in the right hand.
P04-20240414-072251-277 | 888.41s | Place the rubber spatula on the counter top after drying it with the left hand.
P04-20240414-072251-281 | 890.00s | Hold the whisk in the left hand and dry it with the kitchen towel in the right hand.
P04-20240414-072251-278 | 890.08s | With the left hand, pick up the whisk from the spoon holder next to the kitchen sink.
P04-20240414-072251-279 | 891.09s | Transfer the whisk from the left hand to the right hand.
P04-20240414-072251-280 | 891.59s | Shake the whisk over the kitchen sink with the right hand to get rid of the excess water on it.
P04-20240414-072251-282 | 895.35s | Place the whisk next to the rubber spatula on the countertop after it has been dried.
P04-20240414-072251-283 | 896.95s | With the left hand, pick up a spoon from the spoon holder next to the drying rack.
P04-20240414-072251-284 | 899.30s | Use the kitchen towel in the right hand to dry the spoon held by the left hand.
P04-20240414-072251-285 | 902.65s | Place the spoon next to the other utensils on the countertop.
P04-20240414-072251-286 | 904.00s | With the left hand, pick up the other spoon from the spoon holder.
P04-20240414-072251-287 | 905.90s | Clean and dry the spoon held by the left hand with the kitchen towel in the right hand.
P04-20240414-072251-288 | 908.70s | Place the spoon on top of the other spoon over the counter after it has been dried with the left hand.
P04-20240414-072251-289 | 910.30s | With the left hand, pick up a knife from the drying rack next to the kitchen sink.
P04-20240414-072251-290 | 912.90s | Shake the knife over the kitchen sink with the left hand to get rid of the excess water that might still be on it.
P04-20240414-072251-291 | 913.84s | Use the orange coloured kitchen towel in the right hand to dry the knife held in the left hand.
P04-20240414-072251-292 | 916.82s | With the right hand, place the knife on the countertop next to the other utensils.
P04-20240414-072251-293 | 920.43s | With the left hand, pick up the coffee mug that is kept next to the drying rack.
