# Video: P03-20240218-202148
# Narrations: 344
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240218-202148-1 | 0.00s | With my right hand, pick up a plastic lid from the table.
P03-20240218-202148-59 | 112.26s | Scoop more stroganoff leftovers using the metal spoon that I'm holding in my right hand.
P03-20240218-202148-60 | 115.25s | Tap the metal spoon against the edge of the food container to drop the stroganoff leftovers in the left compartment of the food container.
P03-20240218-202148-61 | 118.72s | With my left hand, put down the now empty plate on the table.
P03-20240218-202148-62 | 120.87s | With my right hand, pick up the wooden spoon from the plate standing on the right hand side of the table.
P03-20240218-202148-63 | 125.65s | With my right hand, place the wooden spoon in the sink.
P03-20240218-202148-64 | 127.48s | Pick up two forks from the two bowls on the kitchen top next to the sink and pick up one fork per hand at the same time.
P03-20240218-202148-65 | 129.34s | With my left hand, pull the dishwasher door down to open the dishwasher.
P03-20240218-202148-66 | 130.19s | With my right hand, pull the dishwasher bottom rack out of the dishwasher.
P03-20240218-202148-67 | 132.60s | With my right hand, place the fork in the dishwasher cutlery tray located at the bottom left corner of the dishwasher bottom rack.
P03-20240218-202148-68 | 133.98s | With my left hand, put the spoon in the dishwasher cutlery tray located at the bottom left corner of the dishwasher bottom rack.
P03-20240218-202148-69 | 134.84s | With my right hand, place the fork in the dishwasher cutlery tray located at the bottom left corner of the dishwasher bottom rack.
P03-20240218-202148-71 | 138.57s | With my left hand, pick up the dirty plate from the table. This plate contained the stroganoff earlier.
P03-20240218-202148-70 | 139.98s | With my right hand, move the food container containing the mashed potatoes and stroganoff leftovers on the table. I initially picked up the container to put it away, but I will do that later as I will instead pick up the dirty plate now.
P03-20240218-202148-72 | 140.25s | With my right hand, pick up the dirty plate from the table. This plate contained the mashed potato earlier.
P03-20240218-202148-73 | 144.01s | With my right hand, put down the plate on the kitchen top next to the sink.
P03-20240218-202148-74 | 145.45s | With my right hand, pick up the dishwasher brush from the small rack attached inside the sink.
P03-20240218-202148-75 | 146.33s | Scrub the dirty plate to remove the stroganoff residue from the plate. I scrub the plate which I'm holding in my left hand using the dishwasher brush which I'm holding in my right hand.
P03-20240218-202148-76 | 149.22s | With my right hand, drop the dishwasher brush into the sink.
P03-20240218-202148-77 | 154.70s | With my left hand, pick up the metal colander from the dishwasher bottom rack to make room for the dirty plate which I'm holding in my right hand.
P03-20240218-202148-78 | 158.13s | Place the metal colander on the kitchen top above the dishwasher with my left hand.
P03-20240218-202148-81 | 158.64s | With my right hand, put down the dirty plate on the kitchen top next to the saucepan.
P03-20240218-202148-79 | 159.05s | With my left hand, pick up the dirty saucepan from the dishwasher bottom rack to make room for the dirty plate which I am holding in my right hand.
P03-20240218-202148-80 | 160.81s | With my left hand, put down the dirty saucepan on the kitchen top above the dishwasher.
P03-20240218-202148-82 | 162.43s | With my left hand, pick up the frying pan from the hob.
P03-20240218-202148-83 | 164.53s | With my right hand, grab the spatula from the frying pan.
P03-20240218-202148-84 | 165.27s | With my right hand, put the dirty spatula in the sink.
P03-20240218-202148-85 | 166.37s | With my right hand, pick up the dishwasher brush from the sink.
P03-20240218-202148-86 | 166.52s | Scrub the dirty frying pan to remove the food residue from the pan. I scrubbed the pan using the dishwasher brush which I'm holding in my right hand.
P03-20240218-202148-87 | 202.05s | With my right hand, drop the dishwasher brush in the sink.
P03-20240218-202148-88 | 203.13s | With my right hand, I try to place the frying pan on the dishwasher bottom rack, while with my left hand I move a plate and a saucepan to try to make room for the frying pan. However, I fail to place the frying pan because there isn't enough room and I need to rearrange the crockery in the bottom rack of the dishwasher.
P03-20240218-202148-89 | 206.67s | Pick up the frying pan from the dishwasher bottom rack because I'm not happy with the way it is positioned. So we'll continue rearranging the crockery on the dishwasher bottom rack.
P03-20240218-202148-90 | 211.62s | With my left hand, pick up the plate from the top right corner of the dishwasher bottom rack to make room for the frying pan.
P03-20240218-202148-91 | 214.91s | With my right hand, place again the frying pan on the dishwasher bottom rack. This time succeeding.
P03-20240218-202148-92 | 216.89s | With my left hand, pull the dishwasher bottom rack out of the dishwasher while holding the dirty plate in the left hand. The dishwasher bottom rack slid a little bit while placing the frying pan on it.
P03-20240218-202148-93 | 223.69s | Place the dirty plate on the top right corner of the dishwasher bottom rack using both hands, struggling at the beginning as there isn't much room in the corner, but still managing to position the plate.
P03-20240218-202148-94 | 228.97s | With my right hand, pick up the plate from the kitchen top next to the sink.
P03-20240218-202148-95 | 230.38s | With my right hand, pick up the dishwasher brush from the sink.
P03-20240218-202148-96 | 231.74s | Scrape the plate to remove the mashed potato residue. I'm holding the plate with my left hand and I'm scrubbing the plate using the brush that I'm holding in my right hand.
P03-20240218-202148-97 | 233.27s | With my right hand, drop the dishwasher brush in the sink.
P03-20240218-202148-98 | 235.05s | With my left hand, move the frying pan in the dishwasher bottom rack to make room for the plate which I'm holding in my right hand.
P03-20240218-202148-99 | 237.59s | With my right hand, I try to put the plate in the dishwasher bottom rack next to the other identical plate. Struggling because there isn't much room at the moment.
P03-20240218-202148-100 | 244.87s | Move the plates on the left hand side of the dishwasher bottom rack to try to rearrange the crockery in the bottom rack to make more room. While moving the plates also grab the frying pan by its handle and try to move it a little bit to make more room.
P03-20240218-202148-101 | 258.66s | With my right hand, pull the dishwasher top rack out of the dishwasher.
P03-20240218-202148-102 | 261.28s | Pick up the outer part of the plastic colander from the dishwasher top rack.
P03-20240218-202148-103 | 264.34s | Put the outer part of the plastic colander on the kitchen top above the dishwasher.
P03-20240218-202148-104 | 265.24s | With my right hand, pick up the small bowl from the dishwasher top rack.
P03-20240218-202148-105 | 266.56s | With my right hand, move the cup on the right hand side of the dishwasher top rack to turn the handle and make more room for the small bowl which I'm holding in my left hand.
P03-20240218-202148-106 | 268.27s | With my left hand, place the small bowl on the dishwasher top rack next to other three identical small bowls.
P03-20240218-202148-107 | 269.28s | Pick up the inner part of the plastic colander from the dishwasher top rack.
P03-20240218-202148-108 | 270.05s | Place the inner part of the plastic colander into the metal colander, which is standing on the kitchen top above the dishwasher.
P03-20240218-202148-109 | 271.45s | With my right hand, pick up the bowl from the kitchen top next to the sink.
P03-20240218-202148-110 | 272.15s | With my right hand, pick up the dishwasher brush from the sink.
P03-20240218-202148-111 | 273.34s | Scrub the bowl to remove the stroganoff residue. I'm holding the bowl above the sink with my left hand and I scrub it using the brush that I'm holding in my right hand.
P03-20240218-202148-112 | 277.50s | Drop the dishwasher brush in the sink with my right hand.
P03-20240218-202148-113 | 279.15s | Place the bowl in the bottom left corner of the dishwasher top rack.
P03-20240218-202148-114 | 282.05s | With my right hand, pick up the potato masher from the dishwasher top rack.
P03-20240218-202148-115 | 283.60s | Place the potato masher at the center of the dishwasher top rack to make room for more crockery.
P03-20240218-202148-116 | 285.45s | With my left hand, pick up another dirty bowl from the kitchen top next to the sink.
P03-20240218-202148-117 | 286.15s | With my right hand, pick up the dishwasher brush from the sink.
P03-20240218-202148-118 | 286.85s | Scrub the dirty bowl to remove the stroganoff residue from the bowl. I'm holding the bowl above the sink with my left hand and I scrub it using the dishwasher brush that I'm holding in my right hand.
P03-20240218-202148-119 | 289.55s | Drop the dishwasher brush in the sink with my right hand.
P03-20240218-202148-120 | 291.00s | Try to put the dirty bowl on the dishwasher top rack next to another identical bowl, failing to do so as there isn't enough room in this corner of the dishwasher top rack.
P03-20240218-202148-121 | 293.62s | With my left hand, pick up the bowl from the bottom left corner of the dishwasher top rack to try to make room for the identical ball which I'm holding in my right hand.
P03-20240218-202148-122 | 294.89s | With my left hand, put down the bowl in the bottom left corner of the dishwasher top rack, placing the bowl in a slanted position so the other bowl fits as well.
P03-20240218-202148-123 | 296.30s | With my right hand, put down the dirty bowl on the dishwasher top rack next to the other identical bowl.
P03-20240218-202148-124 | 297.84s | Grab the other bowl at the bottom left corner of the dishwasher top rack and move it a little bit with both hands to make sure the bowl is well positioned.
P03-20240218-202148-125 | 301.02s | With my right hand, pick up the plate from the kitchen top.
P03-20240218-202148-126 | 303.00s | Put the plate on the dishwasher top rack using both hands.
P03-20240218-202148-127 | 308.52s | Try to find a better position for the plate in the dishwasher top rack, moving it around and trying different positions in the rack.
P03-20240218-202148-128 | 317.26s | With my right hand, pick up the saucepan from the kitchen top above the dishwasher.
P03-20240218-202148-129 | 318.82s | With my left hand, push the dishwasher top rack inside the dishwasher.
P03-20240218-202148-130 | 321.07s | With my right hand, put down the saucepan on the kitchen top above the dishwasher.
P03-20240218-202148-131 | 321.49s | With my left hand, pull the dishwasher top rack out of the dishwasher.
P03-20240218-202148-132 | 322.35s | Pick up the spatula from the sink.
P03-20240218-202148-133 | 324.31s | With my right hand, pick up the dishwasher brush from the sink.
P03-20240218-202148-134 | 326.34s | Scrub the spatula to remove the food residue from the spatula. I'm holding the spatula above the sink with my left hand and I scrub it using the brush that I'm holding in my right hand.
P03-20240218-202148-135 | 331.72s | Drop the dishwasher brush in the sink with my right hand.
P03-20240218-202148-136 | 332.26s | With my right hand, pick up a sponge from the sink.
P03-20240218-202148-137 | 332.66s | Because the food residue is stubbornly stuck to the spatula, I now scrub the spatula with the abrasive part of the sponge that I'm holding in my right hand.
P03-20240218-202148-138 | 338.49s | Put the sponge down on the sink with my right hand.
P03-20240218-202148-139 | 338.89s | With my right hand, pick up the dishwasher brush from the sink.
P03-20240218-202148-140 | 339.64s | Scrape the spatula, which I'm holding in my left hand, with the handle of the dishwasher brush, which I'm holding in my right hand. There is some stubborn food left over on the spatula, so I try to scrape it off with the hard plastic of the dishwasher brush handle.
P03-20240218-202148-141 | 341.63s | With my right hand, put the dishwasher brush in the sink.
P03-20240218-202148-142 | 344.10s | With my right hand, pick up the knife from the dishwasher cutlery tray located at the bottom left corner of the dishwasher bottom rack.
P03-20240218-202148-143 | 345.65s | Since the stubborn food residue is still attached to the spatula, I now scrape the spatula with the knife that I'm holding with my right hand.
P03-20240218-202148-144 | 352.16s | Scrape now the knife that I'm holding in my right hand with the spatula that I'm holding in my left hand. I managed to remove the food residue from the spatula, but now the knife is dirty, so I wipe it off with the spatula.
P03-20240218-202148-145 | 355.75s | With my left hand, place the spatula on the dishwasher top rack.
P03-20240218-202148-146 | 356.83s | With my right hand, place the knife in the dishwasher cutlery tray located at the bottom left corner of the dishwasher bottom rack.
P03-20240218-202148-147 | 358.58s | With my right hand, pick up the saucepan from the kitchen top above the dishwasher.
P03-20240218-202148-148 | 359.32s | With my left hand, pick up the plate from the dishwasher top rack to make room for the saucepan which I'm about to place on the dishwasher top rack.
P03-20240218-202148-149 | 360.80s | With my right hand, place the saucepan on the dishwasher top rack, turning the handle until it fits properly in the rack.
P03-20240218-202148-150 | 364.65s | With my right hand, pick up the spatula from the dishwasher top rack.
P03-20240218-202148-151 | 365.13s | With my right hand, put the spatula on another part of the dishwasher top rack where it will be better washed.
P03-20240218-202148-152 | 368.03s | Put the plate on the dishwasher top rack using both hands, sliding it between the bowls and the saucepan.
P03-20240218-202148-153 | 369.49s | Push the dishwasher top rack inside the dishwasher.
P03-20240218-202148-154 | 372.61s | Pick up the metal colander from the kitchen top above the dishwasher with my right hand. Inside the metal colander there is the inner part of the plastic colander.
P03-20240218-202148-155 | 373.28s | With my left hand, pick up the inner part of the plastic colander from the metal colander.
P03-20240218-202148-156 | 376.48s | Place the metal colander in the dishwasher bottom rack using my right hand.
P03-20240218-202148-157 | 377.52s | With my right hand, grab the frying pan from the dishwasher bottom rack, I initially wanted to put the inner part of the plastic colander, which I'm holding in my left hand, underneath the pan but I changed my mind as there isn't enough room.
P03-20240218-202148-158 | 379.98s | Place the inner part of the plastic colander on the bottom right corner of the dishwasher bottom rack.
P03-20240218-202148-159 | 384.60s | Pull the dishwasher top rack out of the dishwasher.
P03-20240218-202148-160 | 387.64s | With my right hand, pick up the outer part of the plastic colander from the kitchen top above the dishwasher.
P03-20240218-202148-161 | 387.98s | Place the outer part of the plastic colander on the top right corner of the dishwasher top rack using my right hand.
P03-20240218-202148-162 | 389.40s | With my left hand, push the dishwasher top rack inside the dishwasher.
P03-20240218-202148-163 | 390.53s | With my left hand, push the dishwasher bottom rack inside the dishwasher.
P03-20240218-202148-164 | 392.94s | With my right hand, pick up the dishwasher brush from the sink.
P03-20240218-202148-165 | 396.62s | Shake the dishwasher brush above the sink to remove the residue from the dishwasher brush.
P03-20240218-202148-166 | 398.12s | Place the dishwasher brush in the dishwasher cutlery tray located on the bottom left corner of the dishwasher bottom rack.
P03-20240218-202148-167 | 399.16s | With my left hand, lift the dishwasher door up without fully closing the dishwasher yet as there is some crockery in the dishwasher that needs repositioning.
P03-20240218-202148-168 | 401.89s | With my left hand, pull the dishwasher door down. I notice that the inner part of the plastic colander is not well positioned. So before closing the dishwasher, I will move it to a better location.
P03-20240218-202148-169 | 404.02s | With my right hand, pull the dishwasher bottom rack out of the dishwasher.
P03-20240218-202148-170 | 405.72s | With my right hand, pick up the inner part of the plastic colander from the bottom right corner of the dishwasher bottom rack.
P03-20240218-202148-171 | 406.72s | Put the inner part of the plastic colander on the opposite corner, on the top left of the dishwasher bottom rack using my right hand. I move the inner part of the plastic colander there because there it will be washed better.
P03-20240218-202148-172 | 407.22s | With my left hand, push the dishwasher bottom rack inside the dishwasher.
P03-20240218-202148-173 | 409.98s | With my right hand, turn on the tap.
P03-20240218-202148-174 | 411.01s | Wash my hands under the running water, rubbing my fingers against each other to remove the food residue from my fingers.
P03-20240218-202148-175 | 414.37s | With my right hand, turn off the tap.
P03-20240218-202148-176 | 415.22s | Shake my hands above the sink to remove the water from my hands.
P03-20240218-202148-177 | 417.10s | With my left hand, pick up the cloth from the kitchen top next to the hob.
P03-20240218-202148-178 | 418.77s | Dry my hands, rubbing them against the cloth.
P03-20240218-202148-179 | 421.54s | With my left hand, drop the cloth on the kitchen top next to the hob.
P03-20240218-202148-180 | 422.61s | With my right hand, open the cupboard under the sink.
P03-20240218-202148-181 | 423.00s | Pick up the dishwasher tablet from the box located on the bottom shelf of the cupboard under the sink.
P03-20240218-202148-182 | 430.83s | With my left hand, open the dishwasher tablet tray by pressing the lever at the top of the tray.
P03-20240218-202148-183 | 432.81s | There is already a tablet inside the dishwasher tablet tray. In the previous cycle the dishwasher tablet tray didn't open so the tablet is still there. I won't put a new tablet in the tray and instead I will flip the tablet in the tray so that it is not stuck on the tray hoping that it will open this time.
P03-20240218-202148-184 | 436.03s | Put the dishwasher tablet back in the box, located on the bottom shelf of the cupboard under the sink.
P03-20240218-202148-185 | 437.50s | Close the dishwasher tablet tray by pressing down the tray lid with my left hand.
P03-20240218-202148-186 | 438.80s | With my left hand, pull the dishwasher door up to close the dishwasher.
P03-20240218-202148-187 | 442.83s | With my right hand, pick up the orange cloth hanging from the top above the sink.
P03-20240218-202148-188 | 444.83s | With my left hand, pull the dishwasher door slightly down as I prepare to wipe the top part of the dishwasher door.
P03-20240218-202148-189 | 445.87s | Wipe the top part of the dishwasher door using the orange cloth I'm holding in my right hand.
P03-20240218-202148-191 | 449.00s | Pull the dishwasher door up to close the dishwasher using my left hand.
P03-20240218-202148-190 | 449.11s | Pull the dishwasher door down with my left hand to have another look inside the dishwasher to make sure the crockery inside the dishwasher is well positioned.
P03-20240218-202148-192 | 452.40s | Press the dishwasher door using both hands to fully close the dishwasher.
P03-20240218-202148-193 | 455.05s | Wipe the top part of the dishwasher using the orange cloth I'm holding with my right hand.
P03-20240218-202148-194 | 459.95s | Turn on the dishwasher by pressing the button on the left hand side of the dishwasher door with my right hand.
P03-20240218-202148-195 | 460.72s | Continue wiping the dishwasher with the orange cloth that I'm holding in my right hand.
P03-20240218-202148-196 | 465.93s | Select the dishwasher program, pushing the buttons on the dishwasher door with my right hand.
P03-20240218-202148-197 | 469.49s | Start the dishwasher pressing a button on the right hand side of the dishwasher door with my right hand.
P03-20240218-202148-198 | 472.28s | With my left hand, close the cupboard under the sink.
P03-20240218-202148-199 | 472.65s | Wipe the kitchen top next to the sink using the orange cloth I'm holding in my right hand.
P03-20240218-202148-200 | 473.95s | Put the orange cloth on the sink with my right hand.
P03-20240218-202148-201 | 475.58s | With my left hand, push the washing machine door so that it is out of the way as I prepare to clear the kitchen top and wipe it clean.
P03-20240218-202148-202 | 476.67s | Get the kitchen paper by pulling the kitchen paper from its roll, then tearing the paper to detach it from the roll.
P03-20240218-202148-203 | 479.71s | Wipe the floor next to the dishwasher below the sink using the kitchen paper that I'm holding in my right hand. I wipe the floor to gather food residue and peels that spilled on the floor earlier when I prepared food.
P03-20240218-202148-204 | 498.00s | With my left hand, open the general waste bin by lifting the bin lid up.
P03-20240218-202148-205 | 498.53s | With my right hand, throw the kitchen paper into the general waste bin.
P03-20240218-202148-206 | 498.89s | With my left hand, close the general waste bin by pushing down the lid.
P03-20240218-202148-207 | 501.99s | With my right hand, pick up the cloth from the kitchen top next to the hob.
P03-20240218-202148-208 | 503.47s | Find the cloth hook by turning and unfolding the cloth midair using both hands.
P03-20240218-202148-209 | 507.67s | Hang the cloth on the cupboard under the sink with my right hand.
P03-20240218-202148-210 | 509.60s | With my left hand, pick up the wooden spoon from the sink.
P03-20240218-202148-211 | 509.63s | With my right hand, turn on the tap.
P03-20240218-202148-212 | 510.48s | With my right hand, pick up the sponge from the sink.
P03-20240218-202148-213 | 511.06s | I briefly wet the wooden spoon with running tap water while scrubbing the spoon with the sponge that I'm holding in my right hand.
P03-20240218-202148-214 | 511.66s | With my right hand, turn off the tap.
P03-20240218-202148-215 | 512.17s | Wash the wooden spoon to remove the mashed potato residue from the spoon. I scrub the back of the spoon using the sponge that I'm holding in my right hand while holding the spoon above the sink with my left hand. I wash the spoon by hand because it's made of wood and it cannot be washed in the dishwasher.
P03-20240218-202148-216 | 521.14s | With my right hand, drop the sponge in the sink.
P03-20240218-202148-217 | 521.72s | With my right hand, turn on the tap.
P03-20240218-202148-218 | 522.88s | Rinse the wooden spoon under the running water rubbing my hands against the spoon to make sure it is well rinsed.
P03-20240218-202148-219 | 532.96s | With my right hand, put the now washed wooden spoon in the cutlery stand located in the small sink.
P03-20240218-202148-220 | 534.03s | With my left hand, pick up the orange cloth from the sink.
P03-20240218-202148-221 | 534.41s | Rinse the orange cloth under the running water, squeezing it as I rinse it to remove dirt from the cloth.
P03-20240218-202148-222 | 536.34s | With my left hand, turn off the tap.
P03-20240218-202148-223 | 536.72s | Squeeze the orange cloth above the sink to remove excess water from the cloth.
P03-20240218-202148-224 | 538.85s | Shake my hands above the sink to remove water both from my hands and the orange cloth.
P03-20240218-202148-225 | 539.60s | With my right hand, drop the orange cloth on the kitchen top above the washing machine.
P03-20240218-202148-226 | 540.50s | With my right hand, pick up the recipe card from the kitchen top next to the orange cloth.
P03-20240218-202148-227 | 546.30s | With my right hand, pick up the orange cloth from the kitchen top above the washing machine.
P03-20240218-202148-228 | 546.76s | With my left hand, put down the recipe card on the kitchen top next to the sink.
P03-20240218-202148-229 | 547.61s | Wipe the recipe card with the orange cloth that I'm holding with my right hand, while holding the recipe card on the kitchen top with my left hand. I wipe the card because it needs to be clean in order to be recycled.
P03-20240218-202148-230 | 552.01s | With my left hand, pick up the now clean recipe card from the kitchen top next to the sink.
P03-20240218-202148-231 | 556.68s | With my left hand, put the recipe card on the high table next to the fridge.
P03-20240218-202148-232 | 560.83s | With my right hand, turn the light above the hob by flicking the switch on the extractor hood.
P03-20240218-202148-233 | 563.07s | Wipe the kitchen top next to the hob using the orange cloth that I'm holding in my right hand. At the moment I'm just picking up food residue with the cloth and then I will use the cleaner product to clean the kitchen top thoroughly.
P03-20240218-202148-234 | 568.85s | Fold the orange cloth so that I can continue wiping the kitchen top with the clean side of the cloth.
P03-20240218-202148-235 | 569.55s | Continue wiping the kitchen top with the folded orange cloth, which I'm holding in my right hand.
P03-20240218-202148-236 | 575.58s | With my left hand, pull the cupboard under the sink to open it.
P03-20240218-202148-237 | 577.09s | With my right hand, pick up the cleaner from the top shelf of the cupboard under the sink.
P03-20240218-202148-238 | 578.14s | With my left hand, close the cupboard under the sink.
P03-20240218-202148-239 | 579.29s | With my left hand, quickly wipe the kitchen top above the dishwasher. I'm just collecting food residue now and I will later spray the cleaner product on the kitchen top to wipe and clean the kitchen top thoroughly.
P03-20240218-202148-240 | 580.86s | Unfold the orange cloth and shake it briefly above the sink using my left hand. I do this to drop the food residue that I gathered with the orange cloth as I prepare to continue wiping the countertop with the cloth.
P03-20240218-202148-241 | 581.69s | Spray the cleaner product on the kitchen top, squeezing the lever at the top of the cleaner bottle while moving the bottle along the kitchen top to spray the product evenly on the kitchen top.
P03-20240218-202148-242 | 584.98s | Spray now the cleaner product on the hob and the two sides of the kitchen top next to the hob by squeezing the lever at the top of the cleaner bottle while moving the bottle above the hob and the kitchen top to spread the product evenly.
P03-20240218-202148-243 | 589.67s | With my left hand, pull the cupboard under the sink to open the cupboard.
P03-20240218-202148-244 | 591.01s | With my right hand, put the cleaner product on the top shelf of the cupboard under the sink.
P03-20240218-202148-245 | 591.64s | With my left hand, close the cupboard under the sink.
P03-20240218-202148-246 | 592.62s | With my right hand, turn on the tap.
P03-20240218-202148-247 | 593.44s | With my right hand, pick up the sponge from the sink.
P03-20240218-202148-248 | 594.16s | Rinse the sponge under the running water, squeezing it with my right hand as I rinse it to remove dirt from the sponge.
P03-20240218-202148-249 | 597.21s | With my right hand, place the sponge in the small rack attached inside the sink.
P03-20240218-202148-250 | 597.86s | Rinse the orange cloth under the running water, rubbing the cloth with my hands to remove dirt from the cloth.
P03-20240218-202148-251 | 601.92s | With my right hand, squeeze the orange cloth to remove the excess water from the cloth.
P03-20240218-202148-252 | 604.65s | With my left hand, turn off the tap.
P03-20240218-202148-253 | 605.12s | Shake both hands above the sink to remove the water both from my hands and the cloth which I'm holding in my right hand.
