# Video: P03-20240217-210126
# Narrations: 75
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240217-210126-1 | 2.63s | Pick up chocolate wrapper.
P03-20240217-210126-63 | 155.66s | Place saucepan into the dishwasher rack.
P03-20240217-210126-64 | 159.88s | Put down bowl onto kitchen top.
P03-20240217-210126-65 | 161.17s | Pull dishwasher top drawer.
P03-20240217-210126-66 | 163.34s | Inspect top dishwasher rack to figure out how to rearrange items and make room for the small bowl.
P03-20240217-210126-67 | 165.62s | Pick up plate from the dishwasher rack
P03-20240217-210126-68 | 166.07s | Move plate within the dishwasher rack to make more room for the bowl.
P03-20240217-210126-69 | 167.68s | Pick up other plate and move it to make more room for the little bowl.
P03-20240217-210126-70 | 170.66s | Cloth top dishwasher tray realizing there is not enough room for the little bowl.
P03-20240217-210126-71 | 173.81s | Pick up saucepan from the bottom dishwasher rack.
P03-20240217-210126-72 | 175.06s | pick up the other saucepan from the bottom dishwasher rack.
P03-20240217-210126-73 | 175.33s | place the saucepan in my left hand back into the dishwasher rack.
P03-20240217-210126-74 | 180.57s | Place the other saucepan back into the dishwasher rack.
P03-20240217-210126-75 | 184.04s | Pick up bowl from the counter top.
