# Video: P03-20240217-150310
# Narrations: 216
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240217-150310-1 | 9.56s | reach inside the top shelf of the cupboard with my left hand to pick up a food container
P03-20240217-150310-21 | 210.79s | with my right hand pick up the dishwasher brush from the sink.
P03-20240217-150310-22 | 211.48s | Using the dishwasher brush I'm holding in my right hand, scrub the small dirty bowl I'm holding in my left hand to remove food bits and drop them into the sink.
P03-20240217-150310-23 | 214.72s | with my right hand put down dishwasher brush into the sink.
P03-20240217-150310-24 | 223.99s | with my left hand pick a bowl containing mango peels from the table.
P03-20240217-150310-25 | 238.24s | quickly grab the food waste paper bag to fold the bag and partially close it.
P03-20240217-150310-26 | 239.69s | while holding an empty bowl in my left hand with my right hand pick up the food waste bin from the floor.
P03-20240217-150310-27 | 240.50s | place the food waste bin in the upper shelf of the cupboard under the sink
P03-20240217-150310-28 | 250.56s | place the small bowl with my right hand on the dishwasher top rack while holding the ladle in my left hand.
P03-20240217-150310-29 | 251.35s | let go of the ladle in my left hand to drop it on top of the small bowl located in the dishwasher top rack.
P03-20240217-150310-30 | 254.81s | with my right hand pick up pan lid from the kitchen top next to the cutting board
P03-20240217-150310-31 | 255.97s | With my left hand push the dishwasher top rack to close it and make way to place the pan lid I'm holding in my right hand.
P03-20240217-150310-32 | 257.34s | place the pan lid in the dishwasher bottom rack by sliding it in the top right slot.
P03-20240217-150310-33 | 260.14s | With my right hand, pick up knife placed partially on the kitchen top and partially on the cutting board.
P03-20240217-150310-34 | 260.86s | while still holding the knife in my right hand pick up spatula from the chopping board
P03-20240217-150310-35 | 268.87s | pull the dishwasher top rack with my left hand while holding the spatula in my right hand.
P03-20240217-150310-36 | 308.85s | while holding the chopping board above the sink with my left hand using the right hand pick up dishwasher brush from the sink.
P03-20240217-150310-37 | 315.00s | place the chopping board into the dishwasher bottle rack where the lid was previously located.
P03-20240217-150310-38 | 320.02s | With my left hand, push the dishwasher bottom rack to close the rack.
P03-20240217-150310-39 | 321.59s | With my left hand pull the dishwasher door to close the dishwasher.
P03-20240217-150310-40 | 325.07s | With my left hand pick up the V60 coffee filter from the sink.
P03-20240217-150310-41 | 342.96s | With my left hand pull the dishwasher top rack
P03-20240217-150310-42 | 353.14s | With my left hand pick up the V60 coffee filter stand from the sink.
P03-20240217-150310-43 | 355.62s | put the small plate into the sink
P03-20240217-150310-44 | 367.06s | With my left hand pull the dishwasher top rack while holding the small coffee cup in my right hand.
P03-20240217-150310-45 | 369.34s | With my left hand pick up dirty ladle from the dishwasher top rack to make room for the small coffee cup I'm holding in my right hand.
P03-20240217-150310-46 | 384.62s | Push the dishwasher top rack with both hands slowly because it's fully loaded.
P03-20240217-150310-47 | 400.12s | with my right hand pick up small plate full of water from the sink.
P03-20240217-150310-48 | 406.78s | with my left hand pull down the small plate i just washed with my right hand pick up the other small plate that needs washing
P03-20240217-150310-49 | 445.04s | With my right hand place the rinse coffee filter stand into the drying rack next to the sink.
P03-20240217-150310-50 | 445.87s | With my left hand, rinse the coffee jug and the running tap water.
P03-20240217-150310-51 | 448.07s | Rotate the coffee jug under running tap water to rinse the jug thoroughly.
P03-20240217-150310-52 | 458.46s | With my right hand pick up dishwasher brush from the sink.
P03-20240217-150310-53 | 461.17s | Using my left hand, quickly roll up my right arm sleeve.
P03-20240217-150310-54 | 462.15s | with my right hand pick up sponge from the bottom of the sink.
P03-20240217-150310-55 | 462.69s | While still holding the sponge in my right hand, using the right hand turn on tap.
P03-20240217-150310-56 | 463.64s | Rinse the sponge in my right hand under running tap water, squeezing it to remove excess water.
P03-20240217-150310-57 | 485.20s | with my left hand pick up cloth hanging from the cupboard under the sink.
P03-20240217-150310-58 | 486.04s | Dry both hands using the cloth I just picked up.
P03-20240217-150310-59 | 509.80s | With my left hand touch the food container containing food leftovers without actually lifting the container.
P03-20240217-150310-60 | 515.59s | With my right hand open the fridge by pulling the door.
P03-20240217-150310-61 | 524.74s | Close the fridge by pulling each door towards me.
P03-20240217-150310-62 | 534.85s | with my right hand pick up box containing cling film from the drawer.
P03-20240217-150310-63 | 540.97s | place the cling film that I pulled from the roll on top of a piece of bread that is lying on the table.
P03-20240217-150310-64 | 550.05s | With my left hand, put down the cling film box on top of the table.
P03-20240217-150310-65 | 551.00s | Finish wrapping the bread in the cling film, first by holding the piece of bread midair, then putting it down on the table to make my job easier.
P03-20240217-150310-66 | 565.86s | Place a piece of bread I just wrapped in cling film on the top shelf of a plastic rack near the fridge.
P03-20240217-150310-67 | 567.88s | Pick up cling film box from the table with the right hand.
P03-20240217-150310-68 | 570.50s | While holding the cling film box in my left hand, using my right index finger pull the top drawer near the hob.
P03-20240217-150310-69 | 571.14s | place the cling film box into the drawer on its right hand side while keeping my right index finger placed on the drawer.
P03-20240217-150310-70 | 572.53s | Close the drawer by pushing it with my right hand.
P03-20240217-150310-71 | 574.40s | Push the left chair under the table slightly towards the left so that I can wrap the tea towels more easily.
P03-20240217-150310-72 | 575.72s | using both hands fold the left tea towel leaving it on top of the table
P03-20240217-150310-73 | 579.80s | Fold the tea towel from the table with both hands.
P03-20240217-150310-74 | 582.69s | Unfold the tea towel above the sink and shake it to remove breadcrumbs from the tea towel.
P03-20240217-150310-75 | 585.26s | Crumple the tea towel with both hands as I'm going to throw it into the washing machine later.
P03-20240217-150310-76 | 587.01s | With my left hand open the washing machine by pulling the door.
P03-20240217-150310-77 | 587.59s | Using my right hand, throw the tea towel I just crumpled into the washing machine.
P03-20240217-150310-78 | 587.95s | Close the washing machine by pushing the door with the left hand.
P03-20240217-150310-79 | 590.79s | Grab the other tea towel located on the right hand side of the table and move it slightly towards the center of the table to facilitate the folding.
P03-20240217-150310-80 | 592.34s | Fold the tea towel using both hands, leaving the tea towel on top of the table.
P03-20240217-150310-81 | 594.15s | Grab the tea towel with both hands to move it towards the sink.
P03-20240217-150310-82 | 597.60s | Unfold the tea towel above the sink and shake it to remove breadcrumbs from the tea towel.
P03-20240217-150310-83 | 602.19s | Using both hands, crumple the tea towel as I'm going to throw it into the washing machine in a second.
P03-20240217-150310-84 | 603.79s | Using the left hand, open the washing machine by pulling the door towards me.
P03-20240217-150310-85 | 604.40s | Using my right hand, I throw the crumpled tea towel inside the washing machine.
P03-20240217-150310-86 | 604.82s | Using my left hand, close the washing machine by pushing the door.
P03-20240217-150310-87 | 606.98s | Pick up the orange cloth hanging from the tap using my right hand.
P03-20240217-150310-88 | 608.98s | Wipe the kitchen hob using the orange cloth I just picked up, moving it slowly in horizontal motion.
P03-20240217-150310-89 | 610.52s | Fold the orange cloth on itself to make it a square.
P03-20240217-150310-90 | 611.20s | Continue wiping the kitchen hob and the kitchen countertop to collect crumbs and other food bits using the orange cloth.
P03-20240217-150310-91 | 611.51s | Using the orange cloth move the collected breadcrumbs and other food bits from the kitchen top into my left hand.
P03-20240217-150310-92 | 615.34s | I throw the food bits and breadcrumbs I collected in my left hand into the sink.
P03-20240217-150310-93 | 616.07s | Collect a single large breadcrumb from the kitchen hob by tapping the orange cloth on top of the crumb.
P03-20240217-150310-94 | 618.50s | flip the orange cloth above the sink to drop the crumb into the sink
P03-20240217-150310-95 | 619.19s | switch on the extraction fan lights above the kitchen hob so that i can later see better while i clean the hob
P03-20240217-150310-96 | 622.07s | while holding the orange cloth below the kitchen tap, with the right hand turn on the tap.
P03-20240217-150310-97 | 624.36s | Rinse the orange cloth under running tap water by repeatedly squeezing the cloth, then filling it with more water to rinse it thoroughly, finally squeezing it again.
P03-20240217-150310-98 | 628.75s | while holding the orange cloth in my right hand using the same hand turn off the tap with the back of the hand
P03-20240217-150310-99 | 629.70s | Squeeze the orange cloth with both hands above the sink to release excess water.
P03-20240217-150310-100 | 631.82s | Shake the cloth with both hands above the sink to remove the last bits of water.
P03-20240217-150310-101 | 633.72s | Using the left hand, open the cupboard under the sink.
P03-20240217-150310-102 | 634.59s | Using my right hand and the orange cloth, wipe the closed cupboard under the sink to remove a stain from the surface.
P03-20240217-150310-103 | 635.92s | Shake the orange cloth vigorously above the sink to remove the food bit I just removed from the cupboard under the sink.
P03-20240217-150310-104 | 637.55s | using my right hand pick up cleaning product from the top shelf of the cupboard under the sink.
P03-20240217-150310-105 | 639.01s | Try to spray the cleaning product on the kitchen hob, failing because the bottle is too tilted.
P03-20240217-150310-106 | 640.13s | Having moved the bottle to an upright position, successfully spray the cleaning product on the kitchen hob and the kitchen countertop.
P03-20240217-150310-107 | 646.31s | Place the cleaning product back on the top shelf of the cupboard under the sink.
P03-20240217-150310-108 | 646.87s | Close the cupboard under the sink with my left hand.
P03-20240217-150310-109 | 648.20s | Wipe the kitchen countertop using the orange cloth by rubbing the cloth repeatedly against the surface.
P03-20240217-150310-110 | 649.02s | While wiping the countertop with my right hand, with my left hand move a plastic water bottle out of the way so that I can clean the kitchen top properly.
P03-20240217-150310-111 | 650.66s | while still wiping the kitchen top with my right hand, put down the plastic bottle I just picked up with my left hand.
P03-20240217-150310-112 | 657.60s | wipe the top part of the dishwasher located just under the kitchen top.
P03-20240217-150310-113 | 659.78s | Continue wiping the kitchen countertop, this time the section between the sink and the kitchen hob.
P03-20240217-150310-114 | 661.06s | While I wipe the kitchen top with my right hand, using my left hand lift a small flower pot briefly to put it out of the way while I wipe the surface.
P03-20240217-150310-115 | 661.60s | put down the small flower pot I just picked up while continuing wiping the surface with my right hand.
P03-20240217-150310-116 | 662.34s | I see using the orange cloth in my right hand, move to my right to wipe the remaining part of the kitchen top.
P03-20240217-150310-117 | 668.00s | Wipe the tiles located between the extraction fan and the hob using the orange cloth.
P03-20240217-150310-118 | 673.65s | Wipe the wooden surfaces that are orthogonal to the tiles using the orange cloth and my right hand.
P03-20240217-150310-119 | 676.23s | Still using the orange cloth and my right hand, now wipe the kitchen hob initially in horizontal motion, then vertical motion and then motion in no particular direction.
P03-20240217-150310-120 | 685.32s | With my left hand lift a small cup containing garlic to put it out of the way while I wipe the kitchen top next to the hob.
P03-20240217-150310-121 | 687.46s | Put down the small cup I just picked up while still wiping the kitchen surface with my right hand.
P03-20240217-150310-122 | 688.10s | Finish off the wiping by doing a last pass around the kitchen top.
P03-20240217-150310-123 | 703.17s | Using my right hand turn on the tap while holding the orange cloth in the same hand.
P03-20240217-150310-124 | 703.83s | Rinse the orange cloth under running tap water by repeatedly filling it with water, then squeezing it and repeating the process over again.
P03-20240217-150310-125 | 711.30s | Using my right hand, turn off the tap.
P03-20240217-150310-126 | 711.92s | Squeeze the orange cloth above the sink to remove excess water.
P03-20240217-150310-127 | 714.14s | Shake hands and cloth above the kitchen sink. This is done to remove excess water from the sink.
P03-20240217-150310-128 | 716.22s | Using the rinsed orange cloth, wipe again the kitchen hob, mainly in horizontal motion, to prevent streaks forming on the surface.
P03-20240217-150310-129 | 719.95s | Flip the orange cloth so that I can use the other side that is still clean to rinse the kitchen hob to avoid streaks on the surface.
P03-20240217-150310-130 | 720.74s | Quickly wipe again the kitchen surface with the orange cloth in the section between the kitchen hob and around the sink.
P03-20240217-150310-131 | 728.39s | reach towards a hand wash bottle with my left hand without actually picking it up.
P03-20240217-150310-132 | 729.13s | lift washing up liquid bottle with my left hand so that I can wipe the windowsill by the sink with my right hand.
P03-20240217-150310-133 | 729.75s | With my right hand, wipe a small portion of the windowsill by the kitchen sink where the washing up liquid bottle was located. This small patch contains washing up liquid residue.
P03-20240217-150310-134 | 737.87s | Put the washing up liquid back on the window sill by the kitchen sink.
P03-20240217-150310-135 | 738.93s | Using the orange cloth, wipe the top part of the tiles located below the window sill near the kitchen sink.
P03-20240217-150310-136 | 740.80s | while wiping the tiles with my right hand using my left hand move hand wash bottle so that it's out of the way while I wipe the tiles.
P03-20240217-150310-137 | 744.25s | Wipe now the small part of kitchen top located between the tiles below the windowsill and the kitchen sink.
P03-20240217-150310-138 | 746.15s | Using both hands, squeeze the orange cloth above the sink to remove dirty water from it.
P03-20240217-150310-139 | 748.81s | Wipe again the top part of the tiles located under the windowsill near the kitchen sink.
P03-20240217-150310-140 | 752.30s | drop the orange cloth into the sink.
P03-20240217-150310-141 | 752.87s | with my right hand pick up sponge from the little rack inside the kitchen sink.
P03-20240217-150310-142 | 753.20s | Because the orange cloth left some small pieces on the wall, use the sponge to remove these orange bits from the walls and the tiles.
P03-20240217-150310-143 | 761.55s | Place the small sponge into the little rack located inside the kitchen sink.
P03-20240217-150310-144 | 761.77s | with my left hand pick up the orange cloth from the sink.
P03-20240217-150310-145 | 762.24s | Using the orange cloth and my right hand, wipe the small sink located on the right hand side.
P03-20240217-150310-146 | 769.65s | With my left hand, pick up the round cutlery tray so that I can both clean the tray and the part of the kitchen sink where the cutlery tray is located.
P03-20240217-150310-147 | 770.40s | While holding the round cutlery tray above the sink with my left hand, using my right hand and the orange cloth, wipe the outer surface of the cutlery tray.
P03-20240217-150310-148 | 773.93s | while holding the round cutlery tray above the sink with my left hand using my right hand and the orange cloth while the part of the kitchen sink where the cutlery tray was.
P03-20240217-150310-149 | 776.87s | Wipe again the small sink on the right hand side with the orange cloth while still holding the round covered tray above the sink with my left hand.
P03-20240217-150310-150 | 780.70s | With my left hand, put back the round cutlery tray on the sink where it was located before. With my right hand, continue wiping the rest of the sink.
P03-20240217-150310-151 | 781.57s | Wipe now using the orange cloth in my right hand, the largest sink located on the left hand side.
P03-20240217-150310-152 | 783.56s | With my left hand, lift the dishwasher brush located in the small brackets in the kitchen sink so that it's out of the way while I wipe. The kitchen sink with the orange cloth using my right hand.
P03-20240217-150310-153 | 784.38s | wipe the rest of the sink using the orange cloth and my right hand.
P03-20240217-150310-154 | 784.69s | with my left hand let go of the dishwasher brush so that it's back in place in the small rack in the kitchen sink.
P03-20240217-150310-155 | 790.94s | With my left hand, hold the folded orange cloth under the kitchen tap. With my right hand, turn on the tap.
P03-20240217-150310-156 | 792.15s | I rinse the orange cloth without squeezing it so that it absorbs more water that I will use later to rinse the sink as well. At the same time, I also briefly rinse my hands.
P03-20240217-150310-157 | 798.62s | while keeping the tap on. Rinse the sink with running tap water, wiping the wet orange cloth around the sink.
P03-20240217-150310-158 | 799.48s | With my left hand, lift again the dishwasher brush that is out of the way while I wipe the sink with my right hand.
P03-20240217-150310-159 | 800.16s | Let go of the dishwasher brush so that its back in place in the small rack inside the kitchen sink.
P03-20240217-150310-160 | 800.60s | Continue wiping the kitchen sink with water and using the orange cloth.
P03-20240217-150310-161 | 803.76s | Quickly rinse the orange cloth without squeezing it so that it stays wet.
P03-20240217-150310-162 | 804.53s | Continue wiping the sink using the wet orange cloth while the water is still running.
P03-20240217-150310-163 | 806.75s | Rinse again the orange cloth and the running water, this time squeezing the cloth.
P03-20240217-150310-164 | 809.34s | Continue wiping the sink using running tap water and the orange cloth in my right hand.
P03-20240217-150310-165 | 811.76s | quickly rinse the orange cloth under running tap water without squeezing it.
P03-20240217-150310-166 | 812.53s | Continue wiping the sink using the orange cloth and the running tap water.
P03-20240217-150310-167 | 813.31s | Rinse the orange cloth under running water, squeezing it this time.
P03-20240217-150310-168 | 816.17s | Using my left hand, lift the round cutlery tray located near the kitchen tap on the kitchen sink.
P03-20240217-150310-169 | 816.73s | while keeping the cutlery tray lifted with my left hand using my right hand wipe the kitchen sink using the orange cloth
P03-20240217-150310-170 | 817.34s | Put down the round cutlery tray with my left hand while wiping the other part of the sink with my right hand.
P03-20240217-150310-171 | 819.04s | Rinse the orange cloth and the running tap water.
P03-20240217-150310-172 | 821.50s | Move the round cutlery tray from the top of the sink into the small sink on the right hand side so that the water dripping from the tray won't accumulate on the kitchen surface.
P03-20240217-150310-173 | 823.54s | Continue rinsing and squeezing the cloth under running tap water.
P03-20240217-150310-174 | 824.33s | Do a final pass of the orange cloth to rinse the sink with water.
P03-20240217-150310-175 | 826.79s | while holding the orange cloth in my right hand using the same right hand turn off tap.
P03-20240217-150310-176 | 827.41s | Squeeze the orange cloth with both hands above the sink to release excess water.
P03-20240217-150310-177 | 830.02s | using my right thumb and index finger, check that all the hot and cold water ducts are fully shut.
P03-20240217-150310-178 | 830.66s | using both hands squeeze the orange cloth above the sink to remove more water
P03-20240217-150310-179 | 832.31s | shake hands and cloth to remove excess water above the sink.
P03-20240217-150310-180 | 835.34s | Wipe the part of the sink below the drying rack using the orange cloth.
P03-20240217-150310-181 | 839.61s | I pick something from the kitchen top or the sink with my right hand.
P03-20240217-150310-182 | 840.69s | Wipe now the surface around the sink with the orange cloth using my right hand.
P03-20240217-150310-183 | 843.60s | drop the thing I just picked up with my right hand probably for residue into the sink black hole
P03-20240217-150310-184 | 844.18s | With my right hand, move food residues from the sink towards the sink strainer, so that I can later on dispose of these food bits into the food waste bin.
P03-20240217-150310-185 | 849.72s | Drop the orange cloth in my left hand on the kitchen top left of the thing.
P03-20240217-150310-186 | 850.40s | with my right hand pick up the sink strainer from the sink
P03-20240217-150310-187 | 851.23s | While holding the sink strainer in my left hand, with my right hand pick up other bits of food from the sink hole and move them into the sink strainer.
P03-20240217-150310-188 | 858.66s | while holding the sink strainer in my right hand, with my left hand open the cupboard under the sink.
P03-20240217-150310-189 | 860.57s | With my left hand, rotate the food waste bin located on the top shelf of the cupboard under the sink so that I can open the food bin.
P03-20240217-150310-191 | 864.03s | throw the food bits from the sink strainer into the food waste bin by repeatedly tapping the food strainer against the brim of the food waste bin.
P03-20240217-150310-190 | 864.23s | open the food was bin by lifting its lid
P03-20240217-150310-192 | 867.19s | Close the food waste bin by letting go of the lid.
P03-20240217-150310-193 | 868.27s | While holding the sink strainer in my right hand with the left hand close the cupboard under the sink.
P03-20240217-150310-194 | 869.39s | while holding the sink strainer under the tap with my left hand using the right hand turn on the tap.
P03-20240217-150310-195 | 871.10s | quickly rinse the right hand under running tap water.
P03-20240217-150310-196 | 871.69s | Rinse the sink strainer by rotating it under running the water and rubbing both thumbs against the slots of the strainer to remove food bits.
P03-20240217-150310-197 | 874.12s | I use my right hand to redirect water from the tap along the kitchen sink and also rub the back of my hand along the sink to remove the food bits I just removed from the sink strainer.
P03-20240217-150310-198 | 877.46s | Rinse again the sink strainer by rubbing my thumbs around the strainer slots and running tap water.
P03-20240217-150310-199 | 879.77s | Flip the sink strainer and rinse the bottom part of the strainer under running tap water.
P03-20240217-150310-200 | 880.90s | Rinse my left hand under running tap water.
P03-20240217-150310-201 | 883.18s | lower the sink strainer towards the sink hole without actually placing it.
P03-20240217-150310-202 | 884.26s | adjust the position of the tap by pulling it towards me.
P03-20240217-150310-203 | 885.40s | Push a small bit of food residue into the sink hole with my right hand while the water is still running.
P03-20240217-150310-204 | 886.51s | Place the sink strainer with both hands into the sink hole.
P03-20240217-150310-205 | 887.61s | Quickly rinse both hands under running tap water.
P03-20240217-150310-206 | 888.45s | Using the back of my right hand, turn off the tap.
P03-20240217-150310-207 | 888.88s | Pick up the orange cloth with my left hand.
P03-20240217-150310-208 | 889.42s | Squeeze the orange cloth above the sink to remove water.
P03-20240217-150310-209 | 892.53s | hang the orange cloth on top of the tap above the sink
P03-20240217-150310-210 | 894.28s | shake hands above the sink to remove excess water
P03-20240217-150310-211 | 895.47s | With my right hand pick up dishwasher brush from the little rack located inside the sink.
P03-20240217-150310-212 | 896.36s | With my left hand open the dishwasher by pulling the door.
P03-20240217-150310-213 | 897.41s | place the dishwasher brush into the dishwasher cutlery tray
P03-20240217-150310-214 | 901.48s | close the dishwasher by pushing the door with my left hand
P03-20240217-150310-215 | 903.10s | Dry both hands using the cloth hanging from the cardboard by the sink.
P03-20240217-150310-216 | 908.18s | switch off the extractor fan light above the kitchen hob using my right index finger.
