# Video: P03-20240217-100448
# Narrations: 147
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240217-100448-1 | 2.98s | pick up fork
P03-20240217-100448-70 | 128.98s | Wipe sink using the sponge by moving it in a rotating motion along the sink.
P03-20240217-100448-71 | 132.05s | pick up jug while I keep washing the sink with the other hand
P03-20240217-100448-72 | 134.22s | Rinse the sponge in the right hand and squeeze it to remove excess water.
P03-20240217-100448-73 | 135.25s | drop sponge into the sink.
P03-20240217-100448-74 | 135.30s | rinse jug under running tap water by quickly rotating the jug horizontally.
P03-20240217-100448-75 | 135.68s | Move jug from left hand to right hand.
P03-20240217-100448-76 | 137.05s | Move jug from right hand to left hand.
P03-20240217-100448-77 | 137.60s | Rinse right hand
P03-20240217-100448-78 | 138.40s | Move the jug from left hand to right hand and continue rinsing the jug by rotating it horizontally.
P03-20240217-100448-79 | 140.69s | empty jug into the sink
P03-20240217-100448-81 | 142.00s | Gently shake the jug to remove excess water.
P03-20240217-100448-80 | 142.25s | Pick a sponge from the sink.
P03-20240217-100448-82 | 142.42s | Rinse sponge and the running tap water.
P03-20240217-100448-83 | 144.13s | Place jug into the drying rack.
P03-20240217-100448-84 | 145.66s | Move plastic bag along the drying rack bottom part.
P03-20240217-100448-85 | 147.27s | Rinse hand
P03-20240217-100448-86 | 148.98s | move fingers along the sink to remove foot bits from it.
P03-20240217-100448-87 | 149.76s | Rinse hand.
P03-20240217-100448-88 | 150.27s | Rinse hands and squeeze sponge.
P03-20240217-100448-89 | 152.04s | place sponge into the small drying rack
P03-20240217-100448-90 | 152.83s | pick up cloth with my right hand.
P03-20240217-100448-91 | 153.17s | Pick up dishwasher brush with my left hand.
P03-20240217-100448-92 | 153.77s | Place dishwasher brush into the small drying rack into the sink.
P03-20240217-100448-93 | 155.22s | Rinse cloth with a little water to make it softer
P03-20240217-100448-94 | 156.52s | Turn off tap
P03-20240217-100448-95 | 157.52s | squeeze cloth to remove excess water
P03-20240217-100448-96 | 160.00s | quickly shake cloth to remove excess water
P03-20240217-100448-97 | 161.61s | Wipe kitchen top with cloth.
P03-20240217-100448-98 | 162.27s | With my left hand move the white cloth out of the way so that I can wipe the kitchen top with my right hand with the other cloth.
P03-20240217-100448-99 | 167.20s | Wipe the top part of the dishwasher.
P03-20240217-100448-100 | 172.68s | Pick up white cloth which is dry to dry my hands.
P03-20240217-100448-101 | 172.83s | dry hands with white cloth.
P03-20240217-100448-102 | 175.79s | put down white cloth on the kitchen top while grabbing the orange cloth with my other hand.
P03-20240217-100448-103 | 176.99s | Hand cloth on top of tap to let it dry.
P03-20240217-100448-104 | 178.32s | pick up kettle
P03-20240217-100448-105 | 180.13s | Place kettle on top of its base.
P03-20240217-100448-106 | 184.87s | fold tea towel on the table. This is to prevent the breadcrumbs on the tea towel from falling onto the floor.
P03-20240217-100448-107 | 192.04s | Unfold tea towel above the sink to drop the breadcrumbs into the sink.
P03-20240217-100448-108 | 192.62s | Shake the tea towel above the sink to make sure all the breadcrumbs are removed from the tea towel.
P03-20240217-100448-109 | 197.27s | Fold tea towel.
P03-20240217-100448-110 | 200.04s | Lay the towel onto the countertop and continue folding it.
P03-20240217-100448-111 | 206.68s | open cupboard
P03-20240217-100448-112 | 207.74s | Place tea towel on top of the other tea towels inside the cupboard.
P03-20240217-100448-113 | 210.43s | Fold the towel on the table. This is to prevent the breadcrumbs on the tea towel from falling on the floor.
P03-20240217-100448-114 | 214.71s | Shake tea towel above the sink to drop all the breadcrumbs into the sink.
P03-20240217-100448-115 | 217.22s | Unfold tea towel.
P03-20240217-100448-116 | 218.42s | Fold tea towel
P03-20240217-100448-117 | 221.13s | Lay the towel on the kitchen top and continue folding it.
P03-20240217-100448-118 | 226.38s | place the towel inside the cupboard
P03-20240217-100448-119 | 227.01s | Close cupboard.
P03-20240217-100448-120 | 229.80s | Unplug toaster.
P03-20240217-100448-121 | 232.16s | Pick up toaster!
P03-20240217-100448-122 | 234.78s | open cupboard
P03-20240217-100448-123 | 236.27s | Place toaster inside the cupboard.
P03-20240217-100448-124 | 240.37s | Close cupboard
P03-20240217-100448-125 | 244.28s | Open cupboard.
P03-20240217-100448-126 | 247.11s | Pull basket full of baking stuff.
P03-20240217-100448-127 | 250.13s | lift the yeast box to look for something inside the plastic box
P03-20240217-100448-128 | 251.47s | move yeast box from right hand to left hand
P03-20240217-100448-129 | 253.09s | move flour bag in the plastic box to continue looking for something
P03-20240217-100448-130 | 256.55s | pull plastic box and put it down the floor
P03-20240217-100448-131 | 259.03s | reach inside the cupboard and move stuff around to look for something.
P03-20240217-100448-132 | 270.83s | pick up clips from the cupboard
P03-20240217-100448-133 | 271.42s | Put clips on the countertop.
P03-20240217-100448-134 | 273.49s | move stuff within the cupboard to make room for the plastic box
P03-20240217-100448-135 | 278.64s | grab and move things in the plastic box to continue looking for something
P03-20240217-100448-136 | 283.02s | put yeast bowls into the plastic bowls Pull bag of semolina flour from the plastic box.
P03-20240217-100448-137 | 285.46s | Check bag of semolina flour.
P03-20240217-100448-138 | 288.83s | pat down a bag of semolina flour and put it back in the box.
P03-20240217-100448-139 | 290.64s | pick up plastic box
P03-20240217-100448-140 | 291.21s | put plastic box into the cupboard
P03-20240217-100448-141 | 293.68s | Close cupboard.
P03-20240217-100448-142 | 295.01s | grab clips
P03-20240217-100448-143 | 296.29s | Open cupboard.
P03-20240217-100448-144 | 297.22s | Place clips into the little paper box containing all the other clips.
P03-20240217-100448-145 | 298.00s | close cupboard
P03-20240217-100448-146 | 301.02s | Grab white cloth.
P03-20240217-100448-147 | 303.05s | lay white cloth onto the countertop so that it dries.
