P02-20240209-194141-4 | Pick up the plate containing the apple cores using both hands.
P02-20240209-194141-314 | wipe down the countertop using the sponge in the right hand while holding the food bin next to the countertop to put any excess food into it
P02-20240209-194141-320 | bring the food bin into the corner of the countertop so that any food from wiping down the countertop can be put into the food bin.
P02-20240209-194141-333 | Wipe down and clean the countertop using the sponge in the right hand whilst holding the food bin next to the edge of the countertop so any food can be pushed into the food bin.
P02-20240209-194141-336 | Wipe down and clean the countertop, using the sponge in the right hand whilst holding the food bin next to the countertop to push any excess food into it.
P02-20240209-194141-341 | Clean and wipe down the countertop using the sponge in the right hand whilst holding the food bin at the edge of the countertop so that any excess food can be pushed into it.
P02-20240209-194141-352 | Wipe down the countertop using the sponge in the right hand, pushing any excess food into the food bin that is being held in the left hand.
P02-20240209-194141-358 | Transfer the food bin from the left hand to the right hand grasping the handle.
P02-20240209-194141-359 | Close the lid of the food bin using the left hand, pushing the handle out of the way in the right hand.
P02-20240209-194141-360 | place the food bin onto the countertop with the right hand
P02-20240209-194141-361 | Wipe the edge of the countertop using the sponge in the right.
P02-20240209-194141-376 | Scrape away the food particles that are blocking the water from flowing down the drain protector.
P02-20240209-194141-378 | pick up the food bin using the left hand
P02-20240209-194141-379 | Place the food bin on the countertop, pushing this sponge out of the way.
P02-20240209-194141-380 | Push down the handle of the food bin.
P02-20240209-194141-381 | Open up the food bin with the left hand.
P02-20240209-194141-382 | Swirl the food around in the sink to make sure that the sink can drain properly through the drain protector.
P02-20240209-194141-385 | Scrape any food into the center of the sink onto the drain protector.
P02-20240209-194141-387 | Scrape any remaining food into the drain protector using the right hand.
P02-20240209-194141-388 | Pick up the drain protector in the right hand.
P02-20240209-194141-389 | Tap the drain protector against the side of the food bin to remove any food from it.
P02-20240209-194141-390 | Flip the drain protector upside down using both hands.
P02-20240209-194141-391 | Tap the drain protector against the side of the food bin to remove any food from it.
P02-20240209-194141-392 | Transfer the drain protector from the right hand to the left hand.
P02-20240209-194141-393 | pick up any larger items of food from the sink using the right hand.
P02-20240209-194141-394 | place the food into the food bin
P02-20240209-194141-426 | Pick up the drain protector from the sink to clean it and remove any food from it.
P02-20240209-194141-427 | Tap the drain protector against the side of the food bin to remove the food.
P02-20240209-194141-428 | turn over and rotate the drain protector in both hands.
P02-20240209-194141-429 | Tap the drain protector against the side of the food bin to remove any food from it.
P02-20240209-194141-430 | Turn on the hot water using the left hand whilst holding the drain protector under the flow to clean it.
P02-20240209-194141-434 | Pick up a bit of food from the bottom of the sink using the right hand.
P02-20240209-194141-435 | place the food into the food bin using the right hand
P02-20240209-194141-436 | pick up the sponge using the right hand.
P02-20240209-194141-440 | Close the lid of the food bin using the left hand.
P02-20240209-194141-448 | pick up the glass from the table.
P02-20240209-194141-449 | Place the pint glass onto the countertop using the right hand.
P02-20240209-194141-450 | Open the fridge using the right hand.
P02-20240209-194141-451 | Lift up the bottle of squash from the inside of the fridge door.
P02-20240209-194141-452 | Transfer the bottle of squash from the left hand to the right hand.
P02-20240209-194141-453 | Close the fridge door.
P02-20240209-194141-454 | Twist off the cap of the bottle of squash using the left hand whilst holding the bottle in the right hand.
P02-20240209-194141-455 | Pour squash into the glass making sure that only a small amount is used because it is quadruple strength.
P02-20240209-194141-456 | Twist on the cap with a bottle of squash to close it.
P02-20240209-194141-457 | Transfer the bottle from both hands to the left hand.
P02-20240209-194141-458 | Open the door of the fridge to place back the bottle of squash inside.
P02-20240209-194141-459 | Place the bottle squash back in its position on the inside of the door.
P02-20240209-194141-460 | close the door of the fridge.
P02-20240209-194141-461 | Pick up glass full of concentrated squash with the right hand.
P02-20240209-194141-462 | Pass the glass full of concentrated squash from the right hand to the left hand to free the right hand.
P02-20240209-194141-463 | turn on the cold water tap to fill up the glass
P02-20240209-194141-464 | test the temperature of the water as the hot water tap has been running previously
P02-20240209-194141-468 | Bring the glassful of concentrated squash up to the running water as the water is now cool enough to fill up glass.
P02-20240209-194141-469 | increase the flow of the tap using the right hand
P02-20240209-194141-470 | Turn off the tap as the glass is now full of squash.
P02-20240209-194141-472 | Taste the squash to make sure that it is not too concentrated or too weak.
P02-20240209-194141-475 | pass the glass from the left hand to the right hand
P02-20240209-194141-476 | drink the squash
P02-20240209-194141-477 | Place the squash down onto the glass countertop protector.
