P02-20240211-115653-3 | Pick up the large plastic spoon using the right hand from the side.
P02-20240211-115653-63 | Check where the seam of the bag is on the cheese using the right hand and visually
P02-20240211-115653-64 | slice off the top of the grated cheese packet using the scissors in the right hand whilst holding the packet in the left hand
P02-20240211-115653-65 | Place the scissors down onto the countertop after letting the cut bit of plastic packaging fall down onto the countertop.
P02-20240211-115653-66 | open the bag of grated cheese using both hands placing it down onto the countertop to do so
P02-20240211-115653-67 | pick up the bag of grated cheese using both hands
P02-20240211-115653-68 | reach in and grab a handful of grated cheese using the left hand to hold the packet steady.
P02-20240211-115653-69 | Sprinkle the grated cheese from the right hand evenly across the puff pastry.
P02-20240211-115653-70 | reach in and grab more of the shredded cheese from the packet using the left hand to hold the packet.
P02-20240211-115653-71 | Sprinkle the grated cheese from the right hand evenly across the puff pastry.
P02-20240211-115653-72 | Reach into the packet and grab another handful of grated cheese using the right hand whilst holding the packet in the left hand.
P02-20240211-115653-73 | Sprinkle the grated cheese from the right hand evenly across the puff pastry.
P02-20240211-115653-74 | Reach into the packet and grab another handful of grated cheese using the right hand whilst holding the packet in the left hand.
P02-20240211-115653-75 | Sprinkle the grated cheese from the right hand evenly across the puff pastry.
P02-20240211-115653-76 | spread out the grated cheese on top of the puff pastry using the right hand to make sure that it spread evenly
P02-20240211-115653-77 | Reach in and grab another handful of grated cheese using the right hand whilst holding the packet of cheese in the left hand.
P02-20240211-115653-78 | Spread the handful of grated cheese evenly across the puff pastry, filling up the holes.
P02-20240211-115653-79 | Shake the right hand over the puff pastry to remove any excess cheese from it.
P02-20240211-115653-80 | Grab hold of the grated cheese packet using both hands.
P02-20240211-115653-81 | Push and seal close the packet of grated cheese using both hands, sliding the left hand across the top.
P02-20240211-115653-82 | Place the grated cheese packet down on the left hand side of the countertop, away from the puff pastry.
P02-20240211-115653-88 | Pick up the tea towel from the radiator using the right hand.
P02-20240211-115653-89 | Grab hold of the tea towel using both hands and unfurl it.
P02-20240211-115653-91 | Pick up the grater from the draining side of the sink using the right hand.
P02-20240211-115653-90 | Transfer the tea towel from the right hand to the left hand.
P02-20240211-115653-92 | Dry the inside of the grater using the tea towel across the left hand whilst holding the grater in the right hand.
P02-20240211-115653-93 | Dry the outside of the grater using the tea towel in the left hand, making sure to go against the grater holes so that the tea towel doesn't get ripped.
P02-20240211-115653-94 | Dry the inside of the grater again with the tea towel across the left hand.
P02-20240211-115653-95 | Place the tea towel next to the sink using the left hand.
P02-20240211-115653-96 | Pass the grater from the right hand to the left hand.
P02-20240211-115653-97 | Place the grater down onto the countertop and pick up the block of cheddar cheese using the right hand.
P02-20240211-115653-98 | Open the plastic wrapping surrounding the block of cheddar cheese using the left hand whilst holding the block in the right hand.
P02-20240211-115653-99 | Grab hold and pull out the cheese from the packet using the left hand to hold the cheese block and the right hand to hold the packet.
P02-20240211-115653-100 | Pass the block of cheese and the end of the packet into the right hand from the left hand.
P02-20240211-115653-101 | Rotate the cheese grater so that the larger grating side is facing the block of cheese using the left hand.
P02-20240211-115653-102 | Pick up the cheese grater from the countertop using the left hand.
P02-20240211-115653-103 | grate cheddar cheese on top of the puff pastry and grated cheese, using the right hand to hold the cheese and the left hand to hold the grater.
P02-20240211-115653-104 | Tap the grater against the block of cheddar cheese to remove any excess cheese from inside the grater.
P02-20240211-115653-105 | Place the grater down onto the countertop using the left hand with the grating side face up so that any extra cheese doesn't fall onto the countertop.
P02-20240211-115653-106 | Pass the cheese from the right hand to the left hand.
P02-20240211-115653-107 | grab hold of the cheese using both hands and slide it back down into the packet
P02-20240211-115653-108 | Close off the top of the cheese packet using the right hand and then both hands.
P02-20240211-115653-109 | Open the fridge using the right hand.
P02-20240211-115653-110 | Place the cheese down into the fridge on top of a shelf to make sure that the packet stays closed.
P02-20240211-115653-111 | close the fridge using the right hand
P02-20240211-115653-112 | Open the utensils drawer using the right hand.
P02-20240211-115653-113 | pick up the rolling pen from the back of the utensils drawer using the right hand.
P02-20240211-115653-114 | Close the utensils drawer using the left hand.
P02-20240211-115653-115 | Pass the rolling pin from the right hand to the left hand.
P02-20240211-115653-116 | Place the rolling pin down onto the countertop using the left hand.
P02-20240211-115653-117 | adjust the position of the puff pastry using the parchment paper underneath it to make sure that it is straight
P02-20240211-115653-118 | Gently pat down the cheese on top of the puff pastry and spread it out evenly.
P02-20240211-115653-119 | Grab hold of both sides of the puff pastry using both hands and ready to flipping it over and closing it like a book.
P02-20240211-115653-121 | lift up one side of the puff pastry before realising that the cheese starts to fall across
P02-20240211-115653-120 | Rotate the puff pastry slightly to make it easier to flip closed.
P02-20240211-115653-122 | Spread the cheese out to the edge using the right hand.
P02-20240211-115653-123 | Grab hold of the edge of the puff pastry again using the right hand.
P02-20240211-115653-124 | Lift up and fold closed the puff pastry like a book using the right hand.
P02-20240211-115653-125 | lift up the top side of the puff pastry using the right hand to make sure that the cheese is spread evenly
P02-20240211-115653-126 | spread the cheese evenly across one half of the puff pastry using the left hand
P02-20240211-115653-127 | Accidentally drop the puff pastry half that will be the top using the right hand.
P02-20240211-115653-128 | Grab hold and pull off the top half of the puff pastry using both the left and right hands.
P02-20240211-115653-129 | Spread out the cheese mixture on the left half of the puff pastry, which will be the bottom half, using the left hand.
P02-20240211-115653-130 | Fold over the top half of the puff pastry using both hands.
P02-20240211-115653-131 | Push firmly down the edges of the puff pastry using both hands.
P02-20240211-115653-132 | Push down the fold of the puff pastry using both hands.
P02-20240211-115653-133 | push down the puff pastry using both hands and make sure that there's no air holes
P02-20240211-115653-134 | Test to see if the puff pastry has stuck to the parchment paper using the left hand.
P02-20240211-115653-135 | Pull the parchment paper and the puff pastry block down to the edge of the countertop using both hands.
P02-20240211-115653-136 | Grab hold of the Tupperware full of flour using both hands, pulling it closer and unclasping the lid.
P02-20240211-115653-137 | Lift off the lid of the Tupperware box containing the bag of flour using both hands.
P02-20240211-115653-138 | Place the Tupperware lid down onto the countertop next to the box using the right hand.
P02-20240211-115653-139 | Grab hold of the top of the bag of flour using the left hand whilst holding the tupperware box in the right hand.
P02-20240211-115653-140 | Rotate the tupperware containing the bag of flour using the right hand.
P02-20240211-115653-141 | Scrape off a bit of flour from the right thumb using the left hand.
P02-20240211-115653-142 | Place the bit of flour down onto the countertop using the left hand.
P02-20240211-115653-143 | open the bag of flour top using both hands
P02-20240211-115653-144 | Grab a small pinchful of flour from the bag using the right hand.
P02-20240211-115653-145 | Dust the work surface using flour in the right hand.
P02-20240211-115653-146 | Pull the parchment sheet containing the puff pastry using the left hand to give more room.
P02-20240211-115653-147 | Fold over the empty half of the parchment sheet on top of the puff pastry using the left hand again to give more room.
P02-20240211-115653-148 | Dust the work surface using flour in the right hand where the puff pastry parchment sheet was.
P02-20240211-115653-149 | Spread the flour across the surface using the right hand.
P02-20240211-115653-150 | Rub both hands to remove the excess flour from them.
P02-20240211-115653-151 | peel back the parchment paper on top of the puff pastry with the cheese inside
P02-20240211-115653-152 | Lift off the puff pastry and cheese mixture from the parchment paper using the right hand.
P02-20240211-115653-153 | Grab hold and pull the parchment paper using the left hand so that the puff pastry can come through from it.
P02-20240211-115653-154 | Place the puff pastry and cheese mixture down onto the countertop that has been floured using the right hand.
P02-20240211-115653-155 | Grab hold of the parchment paper using the right hand.
P02-20240211-115653-169 | Grab the large plastic spoon from the countertop using the right hand.
P02-20240211-115653-170 | Stir vigorously through the raspberry and lemon curd mixture to make sure that it's cooking evenly and no curds are forming.
P02-20240211-115653-171 | Grab both sides of the large mixing bowl to make sure that it's not too tight against the large saucepan below it.
P02-20240211-115653-172 | Stir through the raspberry and lemon curd mixture using the large plastic spoon in the right hand whilst holding the large mixing bowl in the left hand to keep it steady in the bain marie.
P02-20240211-115653-173 | Tap the large plastic spoon against the mixing bowl using the right hand to remove any Raspberry and Lemon Curd mixture from it.
P02-20240211-115653-174 | Place the large plastic spoon down onto the countertop using the right hand.
P02-20240211-115653-175 | Turn up the temperature of the burner using the right hand on the dial whilst visually inspecting the flame.
P02-20240211-115653-177 | Reach in and grab a small pinch of flour using the right hand whilst holding the bag open using the left hand.
P02-20240211-115653-178 | Pick up the rolling pen using the left hand.
P02-20240211-115653-179 | Sprinkle the flour from the right hand along the length of the rolling pin in the left hand.
P02-20240211-115653-180 | Rub the flour on top of the rolling pin so that it covers the rolling pin fully using the right hand.
P02-20240211-115653-181 | Place the rolling pin down on top of the puff pastry and cheese mixture.
P02-20240211-115653-182 | roll flat the puff pastry and cheese mixture using the rolling pin and also increasing the length slightly using both hands
P02-20240211-115653-183 | Push down the edge of the puff pastry to make sure that it's shut tight and no cheese is escaping using both hands.
P02-20240211-115653-184 | Grab hold of the rolling pin using both hands.
P02-20240211-115653-185 | roll flat the puff pastry and cheese mixture using the rolling pin and also increasing the length slightly using both hands
P02-20240211-115653-186 | Let go of the rolling pin down onto the countertop.
P02-20240211-115653-187 | Pick up the puff pastry and cheese mixture using both hands.
P02-20240211-115653-188 | flip the puff pastry and cheese mixture using both hands
P02-20240211-115653-189 | pick up the rolling pin using both hands.
P02-20240211-115653-190 | Place the rolling pin back down on the puff pastry.
P02-20240211-115653-191 | Crimp down the bottom of the puff pastry to make sure that the cheese mixture inside is not escaping.
P02-20240211-115653-192 | Roll flat the puff pastry and cheese mixture using the rolling pin, and also increasing the length slightly using both hands.
P02-20240211-115653-193 | Lift up the rolling pin using both hands to free the puff pastry that has stuck to it.
P02-20240211-115653-194 | Place the rolling pin down at the bottom of the puff pastry.
P02-20240211-115653-195 | Roll flat the puff pastry and cheese mixture using the rolling pin, and also increasing the length slightly using both hands.
P02-20240211-115653-196 | Crimp down the top of the puff pastry using both hands to make sure that no cheese mixture escapes.
P02-20240211-115653-197 | Roll flat the puff pastry and cheese mixture using the rolling pin, and also increasing the length slightly using both hands.
P02-20240211-115653-198 | Lift up the rolling pin using the right hand.
P02-20240211-115653-199 | Place the rolling pin down next to the puff pastry and cheese mixture using the right hand.
P02-20240211-115653-200 | Push down on the puff pastry to remove the air pocket using both hands.
P02-20240211-115653-201 | Grab one corner of the puff pastry using the left hand and lifting it up.
P02-20240211-115653-202 | Rotate the puff pastry and cheese mixture using both hands.
P02-20240211-115653-203 | Place the puff pastry and cheese mixture down onto the countertop using both hands.
P02-20240211-115653-204 | Spread out the puff pastry and cheese mixture evenly across the surface of the countertop.
P02-20240211-115653-205 | pick up the rolling pin using the right hand.
P02-20240211-115653-206 | Place the rolling pin down at the centre of the puff pastry and cheese mixture.
P02-20240211-115653-207 | roll flat the puff pastry and cheese mixture using the rolling pin and also increasing the length slightly using both hands
P02-20240211-115653-208 | Push down on the puff pastry to remove the air bubbles.
P02-20240211-115653-209 | pick up the rolling pin using both hands
P02-20240211-115653-211 | Roll flat the puff pastry and cheese mixture using the rolling pin, and also increasing the length slightly using both hands.
P02-20240211-115653-210 | Place the rolling pin vertical on the puff pastry and cheese mixture using both hands.
P02-20240211-115653-212 | Lift up and fold in the edges of the puff pastry to make sure that there's no extra corners.
P02-20240211-115653-213 | Lift up the rolling pin from next to the puff pastry using the right hand.
P02-20240211-115653-214 | Transfer the rolling pin into the left hand and place it down on the edge of the puff pastry using both hands.
P02-20240211-115653-215 | Roll flat the puff pastry and cheese mixture using the rolling pin, and also increasing the length slightly using both hands.
P02-20240211-115653-216 | Lift up the rolling pin using both hands.
P02-20240211-115653-217 | Place the rolling pin on the other side of the edge of puff pastry using both hands.
P02-20240211-115653-218 | Roll flat the puff pastry and cheese mixture using the rolling pin, and also increasing the length slightly using both hands.
P02-20240211-115653-221 | Grab hold of both top corners of the puff pastry and cheese mixture using both hands.
P02-20240211-115653-219 | Lift up the rolling pin using both hands.
P02-20240211-115653-220 | Place the rolling pin at the top of the puff pastry and cheese mixture block using both hands.
P02-20240211-115653-222 | Lift up and flip the puff pastry and cheese mixture using both hands.
P02-20240211-115653-223 | Place the puff pastry and cheese mixture down onto the countertop using both hands.
P02-20240211-115653-224 | Push down and spread out evenly the puff pastry and cheese mixture using both hands.
P02-20240211-115653-225 | pick up the rolling pin using both hands and place it on the top edge of the puff pastry.
P02-20240211-115653-226 | roll flat the puff pastry and cheese mixture using the rolling pin and also increasing the length slightly using both hands
P02-20240211-115653-227 | Lift up the rolling pin from the bottom of the puff pastry using both hands.
P02-20240211-115653-228 | Place the rolling pin down at the top of the puff pastry using the right hand.
P02-20240211-115653-229 | pick up the serrated knife from the utensil part of the drying rack using the right hand.
P02-20240211-115653-230 | Lift up the tea towel using the left hand.
P02-20240211-115653-231 | Clean the serrated knife using the tea towel in the left hand whilst holding the serrated knife in the right hand, making sure that the serrated edge is facing away from the tea towel.
P02-20240211-115653-232 | reach into the bag of flour using the left hand to grab a pinch.
P02-20240211-115653-233 | Sprinkle and rub the small pinch of flour onto the edge of the serrated knife so that it will cut cleaner and easier through the pastry.
P02-20240211-115653-234 | pick up a small bit of flour that fell from the knife using the left hand
P02-20240211-115653-235 | Rub the small bit of flour along the back surface of the knife using the left hand.
P02-20240211-115653-236 | Push down the edge of the puff pastry and cheese mixture using the left hand.
P02-20240211-115653-237 | Measure out and cut about a two centimetre strip of the puff pastry to create a first cheese straw.
P02-20240211-115653-238 | Using the previous cut as a guide, cut another 2cm wide strip for the next cheese straw.
P02-20240211-115653-239 | using the previous cut as a guide cut another two centimeter wide strip for the next cheese straw
P02-20240211-115653-240 | Using the previous cut as a guide, cut another 2cm wide strip for the next cheese straw.
P02-20240211-115653-241 | using the previous cut as a guide cut another two centimeter wide strip for the next cheese straw
P02-20240211-115653-242 | using the previous cut as a guide cut another two centimeter wide strip for the next cheese straw
P02-20240211-115653-243 | Pick up a bit of flour from the countertop using the left hand.
P02-20240211-115653-244 | Dust both sides of the knife using the flour in the left hand as the knife is starting to become caught on the puff pastry.
P02-20240211-115653-245 | using the previous cut as a guide cut another two centimeter wide strip for the next cheese straw
P02-20240211-115653-246 | Using the previous cut as a guide, cut another two Centimetre wide strip for the next cheese straw.
P02-20240211-115653-247 | Using the previous cut as a guide, cut another two Centimetre wide strip for the next cheese straw.
P02-20240211-115653-248 | Lift up a bit of flour from the countertop using the left hand.
P02-20240211-115653-249 | Dust the flour along both sides of the serrated knife as it is starting to catch on the dough when cutting.
P02-20240211-115653-250 | Using the previous cut as a guide, cut another two Centimetre wide strip for the next cheese straw.
P02-20240211-115653-251 | Using the previous cut as a guide, cut another two Centimetre wide strip for the next cheese straw.
P02-20240211-115653-252 | Using the previous cut as a guide, cut another two Centimetre wide strip for the next cheese straw.
P02-20240211-115653-253 | Using the previous cut as a guide, cut another two Centimetre wide strip for the next cheese straw.
P02-20240211-115653-254 | Using the previous cut as a guide, cut another two Centimetre wide strip for the next cheese straw.
P02-20240211-115653-255 | using the previous cut as a guide cut another two centimeter wide strip for the next cheese straw
P02-20240211-115653-256 | Lift up the small extra cheese straw using the left hand to place it above on the countertop.
P02-20240211-115653-257 | Flatten out the cheese straws that have been cut onto the countertop using both hands.
P02-20240211-115653-258 | Lift up the edged cheese straw using both hands to separate it from the others.
P02-20240211-115653-259 | push the cheese straw that was separated against the others to realise that it would be easier to cut through all of the cheese straws in one go with the serrated knife.
P02-20240211-115653-260 | Pick up the serrated knife using the right hand.
P02-20240211-115653-261 | Cut down the centre of all the cheese straws to cut them in half, using the serrated knife in the right hand whilst holding them steady using the left hand.
P02-20240211-115653-262 | Place the serrated knife down on the countertop using the right hand.
P02-20240211-115653-263 | Pick up the large plastic spoon from the countertop using the right hand.
P02-20240211-115653-264 | Stir through the raspberry and lemon curd mixture in the bain-marie using the large plastic spoon in the right hand to make sure that it's cooking evenly and there are no curds forming.
P02-20240211-115653-265 | grab hold of both sides of the large plastic bowl
P02-20240211-115653-266 | Lift up the large plastic bowl to make sure that the water is not bubbling too viciously.
P02-20240211-115653-267 | place the large plastic bowl down on top of the large saucepan using both hands
P02-20240211-115653-268 | Stir through the raspberry and lemon curd mixture in the bain-marie using the large plastic spoon in the right hand to make sure that it's cooking evenly and there are no curds forming.
P02-20240211-115653-269 | pass the large plastic spoon from the right hand to the left hand.
P02-20240211-115653-270 | turn down the burner slightly using the right hand
P02-20240211-115653-271 | pass the large plastic spoon handle from the left hand to the right hand.
P02-20240211-115653-272 | Stir the raspberry and lemon curd mixture to make sure that it's cooking evenly using the large plastic spoon in the right hand whilst holding on to the large mixing bowl in the left hand.
P02-20240211-115653-273 | Scrape down the edges of the large mixing bowl using the plastic spoon in the right hand.
P02-20240211-115653-274 | Stir the raspberry and lemon curd mixture using the large plastic spoon in the right hand to make sure that it's cooking evenly.
P02-20240211-115653-275 | Tap the large plastic spoon against the mixing bowl to remove any excess raspberry and lemon curd mixture from it.
P02-20240211-115653-276 | Using both hands, place the large plastic spoon down onto the countertop.
P02-20240211-115653-277 | Set the temperature of the oven using the right hand to twist the dial.
P02-20240211-115653-278 | turn on the oven dial using the right hand.
P02-20240211-115653-279 | Wash and rinse both hands in the sink.
